raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
36,46,Aichi,2018.05.11,28.785936
34,46,Aichi,2018.05.12,27.186718
38,39,Aichi,2018.05.13,31.404284
40,39,Aichi,2018.05.14,33.05714
36,39,Aichi,2018.05.15,29.751427
28,39,Aichi,2018.05.16,23.139997
28,39,Aichi,2018.05.17,23.139997
19,39,Aichi,2018.05.18,15.702142
21,39,Aichi,2018.05.19,17.355
21,40,Aichi,2018.05.20,17.225805
45,40,Aichi,2018.05.21,36.912441
33,40,Aichi,2018.05.22,27.069122
33,40,Aichi,2018.05.23,27.069122
15,40,Aichi,2018.05.24,12.304147
39,40,Aichi,2018.05.25,31.990782
31,40,Aichi,2018.05.26,25.42857
30,32,Aichi,2018.05.27,23.602209
23,32,Aichi,2018.05.28,18.095028
23,32,Aichi,2018.05.29,18.095028
16,32,Aichi,2018.05.30,12.587845
28,32,Aichi,2018.05.31,22.02873
17,32,Aichi,2018.06.01,13.374586
44,32,Aichi,2018.06.02,34.616573
25,28,Aichi,2018.06.03,20.493422
19,28,Aichi,2018.06.04,15.575001
26,28,Aichi,2018.06.05,21.313158
19,28,Aichi,2018.06.06,15.575001
33,28,Aichi,2018.06.07,27.051317
21,28,Aichi,2018.06.08,17.214474
9,28,Aichi,2018.06.09,7.3776317
23,39,Aichi,2018.06.10,18.917772
37,39,Aichi,2018.06.11,30.432936
40,39,Aichi,2018.06.12,32.900475
42,39,Aichi,2018.06.13,34.545498
25,39,Aichi,2018.06.14,20.562796
14,39,Aichi,2018.06.15,11.515166
30,39,Aichi,2018.06.16,24.675356
26,29,Aichi,2018.06.17,21.371338
22,29,Aichi,2018.06.18,18.083439
23,29,Aichi,2018.06.19,18.905413
20,29,Aichi,2018.06.20,16.439489
23,29,Aichi,2018.06.21,18.905413
21,29,Aichi,2018.06.22,17.261465
22,29,Aichi,2018.06.23,18.083439
26,28,Aichi,2018.06.24,20.900644
16,28,Aichi,2018.06.25,12.861935
26,28,Aichi,2018.06.26,20.900644
14,28,Aichi,2018.06.27,11.254193
27,28,Aichi,2018.06.28,21.704514
26,28,Aichi,2018.06.29,20.900644
20,28,Aichi,2018.06.30,16.077417
21,25,Aichi,2018.07.01,10.815972
32,25,Aichi,2018.07.02,16.481482
23,25,Aichi,2018.07.03,11.846066
44,25,Aichi,2018.07.04,22.662037
46,25,Aichi,2018.07.05,23.692131
24,25,Aichi,2018.07.06,12.361111
26,25,Aichi,2018.07.07,13.391204
20,29,Aichi,2018.07.08,10.323999
29,29,Aichi,2018.07.09,14.969799
29,29,Aichi,2018.07.10,14.969799
31,29,Aichi,2018.07.11,16.002199
49,29,Aichi,2018.07.12,25.293798
52,29,Aichi,2018.07.13,26.842398
40,29,Aichi,2018.07.14,20.647999
53,37,Aichi,2018.07.15,27.100777
49,37,Aichi,2018.07.16,25.055435
59,37,Aichi,2018.07.17,30.168787
44,37,Aichi,2018.07.18,22.498756
22,37,Aichi,2018.07.19,11.249378
55,37,Aichi,2018.07.20,28.123446
40,37,Aichi,2018.07.21,20.453415
46,35,Aichi,2018.07.22,23.11129
46,35,Aichi,2018.07.23,23.11129
46,35,Aichi,2018.07.24,23.11129
52,35,Aichi,2018.07.25,26.125807
42,35,Aichi,2018.07.26,21.101614
49,35,Aichi,2018.07.27,24.618547
29,35,Aichi,2018.07.28,14.570161
31,28,Aichi,2018.07.29,16.50684
43,28,Aichi,2018.07.30,22.896584
28,28,Aichi,2018.07.31,14.909403
25,28,Aichi,2018.08.01,13.311966
34,28,Aichi,2018.08.02,18.104275
47,28,Aichi,2018.08.03,25.026497
26,28,Aichi,2018.08.04,13.844444
61,33,Aichi,2018.08.05,32.106987
56,33,Aichi,2018.08.06,29.475267
31,33,Aichi,2018.08.07,16.316666
35,33,Aichi,2018.08.08,18.422043
21,33,Aichi,2018.08.09,11.053226
28,33,Aichi,2018.08.10,14.737634
47,33,Aichi,2018.08.11,24.738171
29,27,Aichi,2018.08.12,16.056911
69,27,Aichi,2018.08.13,38.204376
14,27,Aichi,2018.08.14,7.7516127
20,27,Aichi,2018.08.15,11.073732
24,27,Aichi,2018.08.16,13.288478
24,27,Aichi,2018.08.17,13.288478
37,27,Aichi,2018.08.18,20.486406
39,27,Aichi,2018.08.19,22.528124
14,27,Aichi,2018.08.20,8.087019
38,27,Aichi,2018.08.21,21.950481
39,27,Aichi,2018.08.22,22.528124
36,27,Aichi,2018.08.23,20.795193
28,27,Aichi,2018.08.24,16.174038
14,27,Aichi,2018.08.25,8.087019
40,28,Aichi,2018.08.26,20.941177
32,28,Aichi,2018.08.27,16.752941
29,28,Aichi,2018.08.28,15.182352
28,28,Aichi,2018.08.29,14.658824
28,28,Aichi,2018.08.30,14.658824
48,28,Aichi,2018.08.31,25.129412
33,28,Aichi,2018.09.01,17.27647
36,32,Aichi,2018.09.02,18.440287
28,32,Aichi,2018.09.03,14.342444
30,32,Aichi,2018.09.04,15.366905
78,32,Aichi,2018.09.05,39.953953
38,32,Aichi,2018.09.06,19.464746
35,32,Aichi,2018.09.07,17.928057
33,32,Aichi,2018.09.08,16.903597
30,23,Aichi,2018.09.09,15.352499
24,23,Aichi,2018.09.10,12.282
25,23,Aichi,2018.09.11,12.79375
21,23,Aichi,2018.09.12,10.74675
42,23,Aichi,2018.09.13,21.4935
24,23,Aichi,2018.09.14,12.282
34,23,Aichi,2018.09.15,17.3995
44,36,Aichi,2018.09.16,22.664953
27,36,Aichi,2018.09.17,13.908039
36,36,Aichi,2018.09.18,18.544052
51,36,Aichi,2018.09.19,26.270741
74,36,Aichi,2018.09.20,38.118328
43,36,Aichi,2018.09.21,22.149839
36,36,Aichi,2018.09.22,18.544052
61,34,Aichi,2018.09.23,31.392178
28,34,Aichi,2018.09.24,14.409524
26,34,Aichi,2018.09.25,13.380272
37,34,Aichi,2018.09.26,19.041157
30,34,Aichi,2018.09.27,15.438776
57,34,Aichi,2018.09.28,29.333672
55,34,Aichi,2018.09.29,28.304422
35,44,Aichi,2018.09.30,18.177717
33,44,Aichi,2018.10.01,17.138992
97,44,Aichi,2018.10.02,50.378246
68,44,Aichi,2018.10.03,35.316711
