date,raw_daily,calc_weekly,raw_weekly,weight,weighted_daily,normalized_weighted_daily
2018-12-30,0,1.7142857142857142,2.0,1.1666666666666667,0.0,0.0
2018-12-31,2,1.7142857142857142,2.0,1.1666666666666667,2.3333333333333335,1.7133333333333334
2019-01-01,1,1.7142857142857142,2.0,1.1666666666666667,1.1666666666666667,0.8566666666666667
2019-01-02,1,1.7142857142857142,2.0,1.1666666666666667,1.1666666666666667,0.8566666666666667
2019-01-03,2,1.7142857142857142,2.0,1.1666666666666667,2.3333333333333335,1.7133333333333334
2019-01-04,3,1.7142857142857142,2.0,1.1666666666666667,3.5,2.5700000000000003
2019-01-05,3,1.7142857142857142,2.0,1.1666666666666667,3.5,2.5700000000000003
2019-01-06,2,3.5714285714285716,4.0,1.1199999999999999,2.2399999999999998,1.6447999999999998
2019-01-07,3,3.5714285714285716,4.0,1.1199999999999999,3.3599999999999994,2.4671999999999996
2019-01-08,5,3.5714285714285716,4.0,1.1199999999999999,5.6,4.112
2019-01-09,4,3.5714285714285716,4.0,1.1199999999999999,4.4799999999999995,3.2895999999999996
2019-01-10,3,3.5714285714285716,4.0,1.1199999999999999,3.3599999999999994,2.4671999999999996
2019-01-11,4,3.5714285714285716,4.0,1.1199999999999999,4.4799999999999995,3.2895999999999996
2019-01-12,4,3.5714285714285716,4.0,1.1199999999999999,4.4799999999999995,3.2895999999999996
2019-01-13,4,5.142857142857143,6.0,1.1666666666666665,4.666666666666666,3.426666666666666
2019-01-14,3,5.142857142857143,6.0,1.1666666666666665,3.4999999999999996,2.57
2019-01-15,5,5.142857142857143,6.0,1.1666666666666665,5.833333333333332,4.283333333333332
2019-01-16,6,5.142857142857143,6.0,1.1666666666666665,6.999999999999999,5.14
2019-01-17,5,5.142857142857143,6.0,1.1666666666666665,5.833333333333332,4.283333333333332
2019-01-18,7,5.142857142857143,6.0,1.1666666666666665,8.166666666666666,5.996666666666666
2019-01-19,6,5.142857142857143,6.0,1.1666666666666665,6.999999999999999,5.14
2019-01-20,4,6.0,7.0,1.1666666666666667,4.666666666666667,3.4266666666666667
2019-01-21,5,6.0,7.0,1.1666666666666667,5.833333333333334,4.283333333333334
2019-01-22,7,6.0,7.0,1.1666666666666667,8.166666666666668,5.996666666666668
2019-01-23,7,6.0,7.0,1.1666666666666667,8.166666666666668,5.996666666666668
2019-01-24,7,6.0,7.0,1.1666666666666667,8.166666666666668,5.996666666666668
2019-01-25,6,6.0,7.0,1.1666666666666667,7.0,5.140000000000001
2019-01-26,6,6.0,7.0,1.1666666666666667,7.0,5.140000000000001
2019-01-27,7,7.428571428571429,10.0,1.346153846153846,9.423076923076922,6.919230769230768
2019-01-28,7,7.428571428571429,10.0,1.346153846153846,9.423076923076922,6.919230769230768
2019-01-29,8,7.428571428571429,10.0,1.346153846153846,10.769230769230768,7.907692307692307
2019-01-30,9,7.428571428571429,10.0,1.346153846153846,12.115384615384615,8.896153846153846
2019-01-31,6,7.428571428571429,10.0,1.346153846153846,8.076923076923077,5.93076923076923
2019-02-01,7,7.428571428571429,10.0,1.346153846153846,9.423076923076922,6.919230769230768
2019-02-02,8,7.428571428571429,10.0,1.346153846153846,10.769230769230768,7.907692307692307
2019-02-03,13,12.571428571428571,16.0,1.2727272727272727,16.545454545454547,12.14909090909091
2019-02-04,20,12.571428571428571,16.0,1.2727272727272727,25.454545454545453,18.69090909090909
2019-02-05,13,12.571428571428571,16.0,1.2727272727272727,16.545454545454547,12.14909090909091
2019-02-06,12,12.571428571428571,16.0,1.2727272727272727,15.272727272727273,11.214545454545455
2019-02-07,12,12.571428571428571,16.0,1.2727272727272727,15.272727272727273,11.214545454545455
2019-02-08,11,12.571428571428571,16.0,1.2727272727272727,14.0,10.280000000000001
2019-02-09,7,12.571428571428571,16.0,1.2727272727272727,8.909090909090908,6.54181818181818
2019-02-10,10,13.0,17.0,1.3076923076923077,13.076923076923077,9.602197802197802
2019-02-11,10,13.0,17.0,1.3076923076923077,13.076923076923077,9.602197802197802
2019-02-12,12,13.0,17.0,1.3076923076923077,15.692307692307693,11.522637362637363
2019-02-13,16,13.0,17.0,1.3076923076923077,20.923076923076923,15.363516483516484
2019-02-14,16,13.0,17.0,1.3076923076923077,20.923076923076923,15.363516483516484
2019-02-15,14,13.0,17.0,1.3076923076923077,18.307692307692307,13.443076923076921
2019-02-16,13,13.0,17.0,1.3076923076923077,17.0,12.482857142857142
2019-02-17,18,39.285714285714285,53.0,1.3490909090909091,24.283636363636365,17.831127272727272
2019-02-18,25,39.285714285714285,53.0,1.3490909090909091,33.72727272727273,24.765454545454546
2019-02-19,28,39.285714285714285,53.0,1.3490909090909091,37.77454545454545,27.73730909090909
2019-02-20,45,39.285714285714285,53.0,1.3490909090909091,60.70909090909091,44.57781818181819
2019-02-21,54,39.285714285714285,53.0,1.3490909090909091,72.8509090909091,53.49338181818183
2019-02-22,49,39.285714285714285,53.0,1.3490909090909091,66.10545454545455,48.54029090909091
2019-02-23,56,39.285714285714285,53.0,1.3490909090909091,75.5490909090909,55.47461818181818
2019-02-24,52,64.0,84.0,1.3125,68.25,50.114999999999995
2019-02-25,62,64.0,84.0,1.3125,81.375,59.7525
2019-02-26,97,64.0,84.0,1.3125,127.3125,93.48375
2019-02-27,75,64.0,84.0,1.3125,98.4375,72.28125
2019-02-28,46,64.0,84.0,1.3125,60.375,44.3325
2019-03-01,45,64.0,84.0,1.3125,59.0625,43.36875
2019-03-02,71,64.0,84.0,1.3125,93.1875,68.42625
2019-03-03,55,73.42857142857143,100.0,1.3618677042801557,74.90272373540856,54.99999999999999
2019-03-04,48,73.42857142857143,100.0,1.3618677042801557,65.36964980544747,48.0
2019-03-05,77,73.42857142857143,100.0,1.3618677042801557,104.86381322957199,77.0
2019-03-06,76,73.42857142857143,100.0,1.3618677042801557,103.50194552529183,76.0
2019-03-07,61,73.42857142857143,100.0,1.3618677042801557,83.07392996108949,61.0
2019-03-08,97,73.42857142857143,100.0,1.3618677042801557,132.1011673151751,97.00000000000001
2019-03-09,100,73.42857142857143,100.0,1.3618677042801557,136.18677042801556,100.0
2019-03-10,81,66.57142857142857,87.0,1.3068669527896997,105.85622317596567,77.72871244635193
2019-03-11,76,66.57142857142857,87.0,1.3068669527896997,99.32188841201717,72.93064377682404
2019-03-12,72,66.57142857142857,87.0,1.3068669527896997,94.09442060085837,69.09218884120172
2019-03-13,75,66.57142857142857,87.0,1.3068669527896997,98.01502145922747,71.97103004291846
2019-03-14,70,66.57142857142857,87.0,1.3068669527896997,91.48068669527898,67.17296137339056
2019-03-15,49,66.57142857142857,87.0,1.3068669527896997,64.03648068669528,47.02107296137339
2019-03-16,43,66.57142857142857,87.0,1.3068669527896997,56.19527896995709,41.263390557939914
2019-03-17,42,42.57142857142857,57.0,1.3389261744966443,56.23489932885906,41.29248322147651
2019-03-18,49,42.57142857142857,57.0,1.3389261744966443,65.60738255033557,48.17456375838926
2019-03-19,42,42.57142857142857,57.0,1.3389261744966443,56.23489932885906,41.29248322147651
2019-03-20,44,42.57142857142857,57.0,1.3389261744966443,58.91275167785235,43.25879194630872
2019-03-21,42,42.57142857142857,57.0,1.3389261744966443,56.23489932885906,41.29248322147651
2019-03-22,44,42.57142857142857,57.0,1.3389261744966443,58.91275167785235,43.25879194630872
2019-03-23,35,42.57142857142857,57.0,1.3389261744966443,46.86241610738255,34.410402684563756
2019-03-24,41,35.285714285714285,47.0,1.3319838056680162,54.611336032388664,40.10032388663968
2019-03-25,45,35.285714285714285,47.0,1.3319838056680162,59.93927125506073,44.01255060728745
2019-03-26,36,35.285714285714285,47.0,1.3319838056680162,47.95141700404859,35.210040485829964
2019-03-27,39,35.285714285714285,47.0,1.3319838056680162,51.94736842105263,38.14421052631579
2019-03-28,35,35.285714285714285,47.0,1.3319838056680162,46.61943319838057,34.23198380566802
2019-03-29,28,35.285714285714285,47.0,1.3319838056680162,37.29554655870445,27.38558704453441
2019-03-30,23,35.285714285714285,47.0,1.3319838056680162,30.635627530364374,22.4953036437247
2019-03-31,19,22.857142857142858,31.0,1.35625,25.76875,18.921625
2019-04-01,21,22.857142857142858,31.0,1.35625,28.48125,20.913375000000002
2019-04-02,19,22.857142857142858,31.0,1.35625,25.76875,18.921625
2019-04-03,21,22.857142857142858,31.0,1.35625,28.48125,20.913375000000002
2019-04-04,24,22.857142857142858,31.0,1.35625,32.55,23.900999999999996
2019-04-05,27,22.857142857142858,31.0,1.35625,36.61875,26.888624999999998
2019-04-06,29,22.857142857142858,31.0,1.35625,39.33125,28.880374999999997
2019-04-07,32,21.714285714285715,27.0,1.243421052631579,39.78947368421053,29.216842105263158
2019-04-08,27,21.714285714285715,27.0,1.243421052631579,33.57236842105263,24.65171052631579
2019-04-09,23,21.714285714285715,27.0,1.243421052631579,28.598684210526315,20.999605263157896
2019-04-10,18,21.714285714285715,27.0,1.243421052631579,22.38157894736842,16.434473684210527
2019-04-11,19,21.714285714285715,27.0,1.243421052631579,23.625,17.3475
2019-04-12,16,21.714285714285715,27.0,1.243421052631579,19.894736842105264,14.608421052631579
2019-04-13,17,21.714285714285715,27.0,1.243421052631579,21.138157894736842,15.521447368421054
2019-04-14,17,19.142857142857142,25.0,1.3059701492537314,22.201492537313435,16.302238805970152
2019-04-15,20,19.142857142857142,25.0,1.3059701492537314,26.11940298507463,19.17910447761194
2019-04-16,24,19.142857142857142,25.0,1.3059701492537314,31.343283582089555,23.01492537313433
2019-04-17,20,19.142857142857142,25.0,1.3059701492537314,26.11940298507463,19.17910447761194
2019-04-18,18,19.142857142857142,25.0,1.3059701492537314,23.507462686567166,17.26119402985075
2019-04-19,19,19.142857142857142,25.0,1.3059701492537314,24.813432835820898,18.220149253731343
2019-04-20,16,19.142857142857142,25.0,1.3059701492537314,20.895522388059703,15.343283582089553
2019-04-21,21,14.571428571428571,18.0,1.2352941176470589,25.941176470588236,19.048235294117646
2019-04-22,20,14.571428571428571,18.0,1.2352941176470589,24.705882352941178,18.141176470588235
2019-04-23,17,14.571428571428571,18.0,1.2352941176470589,21.0,15.42
2019-04-24,14,14.571428571428571,18.0,1.2352941176470589,17.294117647058826,12.698823529411769
2019-04-25,12,14.571428571428571,18.0,1.2352941176470589,14.823529411764707,10.884705882352943
2019-04-26,9,14.571428571428571,18.0,1.2352941176470589,11.117647058823529,8.163529411764706
2019-04-27,9,14.571428571428571,18.0,1.2352941176470589,11.117647058823529,8.163529411764706
2019-04-28,11,9.142857142857142,12.0,1.3125,14.4375,10.60125
2019-04-29,9,9.142857142857142,12.0,1.3125,11.8125,8.67375
2019-04-30,7,9.142857142857142,12.0,1.3125,9.1875,6.74625
2019-05-01,7,9.142857142857142,12.0,1.3125,9.1875,6.74625
2019-05-02,10,9.142857142857142,12.0,1.3125,13.125,9.637500000000001
2019-05-03,9,9.142857142857142,12.0,1.3125,11.8125,8.67375
2019-05-04,11,9.142857142857142,12.0,1.3125,14.4375,10.60125
2019-05-05,12,10.571428571428571,14.0,1.3243243243243243,15.891891891891891,11.669189189189188
2019-05-06,11,10.571428571428571,14.0,1.3243243243243243,14.567567567567568,10.696756756756757
2019-05-07,11,10.571428571428571,14.0,1.3243243243243243,14.567567567567568,10.696756756756757
2019-05-08,10,10.571428571428571,14.0,1.3243243243243243,13.243243243243244,9.724324324324325
2019-05-09,10,10.571428571428571,14.0,1.3243243243243243,13.243243243243244,9.724324324324325
2019-05-10,11,10.571428571428571,14.0,1.3243243243243243,14.567567567567568,10.696756756756757
2019-05-11,9,10.571428571428571,14.0,1.3243243243243243,11.91891891891892,8.751891891891892
2019-05-12,10,7.285714285714286,10.0,1.3725490196078431,13.725490196078432,10.078431372549021
2019-05-13,8,7.285714285714286,10.0,1.3725490196078431,10.980392156862745,8.062745098039215
2019-05-14,6,7.285714285714286,10.0,1.3725490196078431,8.235294117647058,6.047058823529411
2019-05-15,8,7.285714285714286,10.0,1.3725490196078431,10.980392156862745,8.062745098039215
2019-05-16,6,7.285714285714286,10.0,1.3725490196078431,8.235294117647058,6.047058823529411
2019-05-17,6,7.285714285714286,10.0,1.3725490196078431,8.235294117647058,6.047058823529411
2019-05-18,7,7.285714285714286,10.0,1.3725490196078431,9.607843137254902,7.054901960784314
2019-05-19,8,7.857142857142857,10.0,1.2727272727272727,10.181818181818182,7.4763636363636365
2019-05-20,8,7.857142857142857,10.0,1.2727272727272727,10.181818181818182,7.4763636363636365
2019-05-21,7,7.857142857142857,10.0,1.2727272727272727,8.909090909090908,6.54181818181818
2019-05-22,6,7.857142857142857,10.0,1.2727272727272727,7.636363636363637,5.607272727272727
2019-05-23,10,7.857142857142857,10.0,1.2727272727272727,12.727272727272727,9.345454545454546
2019-05-24,8,7.857142857142857,10.0,1.2727272727272727,10.181818181818182,7.4763636363636365
2019-05-25,8,7.857142857142857,10.0,1.2727272727272727,10.181818181818182,7.4763636363636365
2019-05-26,7,5.285714285714286,7.0,1.3243243243243243,9.27027027027027,6.8070270270270266
2019-05-27,8,5.285714285714286,7.0,1.3243243243243243,10.594594594594595,7.779459459459459
2019-05-28,5,5.285714285714286,7.0,1.3243243243243243,6.621621621621622,4.8621621621621625
2019-05-29,4,5.285714285714286,7.0,1.3243243243243243,5.297297297297297,3.8897297297297295
2019-05-30,5,5.285714285714286,7.0,1.3243243243243243,6.621621621621622,4.8621621621621625
2019-05-31,4,5.285714285714286,7.0,1.3243243243243243,5.297297297297297,3.8897297297297295
2019-06-01,4,5.285714285714286,7.0,1.3243243243243243,5.297297297297297,3.8897297297297295
2019-06-02,4,3.0,4.0,1.3333333333333333,5.333333333333333,3.9161904761904758
2019-06-03,3,3.0,4.0,1.3333333333333333,4.0,2.9371428571428573
2019-06-04,5,3.0,4.0,1.3333333333333333,6.666666666666666,4.895238095238095
2019-06-05,4,3.0,4.0,1.3333333333333333,5.333333333333333,3.9161904761904758
2019-06-06,2,3.0,4.0,1.3333333333333333,2.6666666666666665,1.9580952380952379
2019-06-07,2,3.0,4.0,1.3333333333333333,2.6666666666666665,1.9580952380952379
2019-06-08,1,3.0,4.0,1.3333333333333333,1.3333333333333333,0.9790476190476189
2019-06-09,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-10,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-11,3,2.2857142857142856,3.0,1.3125,3.9375,2.89125
2019-06-12,3,2.2857142857142856,3.0,1.3125,3.9375,2.89125
2019-06-13,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-14,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-15,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-16,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-17,3,2.2857142857142856,3.0,1.3125,3.9375,2.89125
2019-06-18,3,2.2857142857142856,3.0,1.3125,3.9375,2.89125
2019-06-19,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-20,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-21,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-22,2,2.2857142857142856,3.0,1.3125,2.625,1.9275
2019-06-23,2,2.0,2.0,1.0,2.0,1.4685714285714286
2019-06-24,2,2.0,2.0,1.0,2.0,1.4685714285714286
2019-06-25,3,2.0,2.0,1.0,3.0,2.202857142857143
2019-06-26,2,2.0,2.0,1.0,2.0,1.4685714285714286
2019-06-27,1,2.0,2.0,1.0,1.0,0.7342857142857143
2019-06-28,2,2.0,2.0,1.0,2.0,1.4685714285714286
2019-06-29,2,2.0,2.0,1.0,2.0,1.4685714285714286
2019-06-30,1,1.4285714285714286,2.0,1.4,1.4,1.028
2019-07-01,1,1.4285714285714286,2.0,1.4,1.4,1.028
2019-07-02,1,1.4285714285714286,2.0,1.4,1.4,1.028
2019-07-03,1,1.4285714285714286,2.0,1.4,1.4,1.028
2019-07-04,3,1.4285714285714286,2.0,1.4,4.199999999999999,3.0839999999999996
2019-07-05,2,1.4285714285714286,2.0,1.4,2.8,2.056
2019-07-06,1,1.4285714285714286,2.0,1.4,1.4,1.028
2019-07-07,36,36.714285714285715,2.0,0.054474708171206226,1.9610894941634243,1.4400000000000002
2019-07-08,34,36.714285714285715,2.0,0.054474708171206226,1.8521400778210118,1.36
2019-07-09,38,36.714285714285715,2.0,0.054474708171206226,2.0700389105058368,1.5200000000000002
2019-07-10,48,36.714285714285715,2.0,0.054474708171206226,2.614785992217899,1.9200000000000002
2019-07-11,36,36.714285714285715,2.0,0.054474708171206226,1.9610894941634243,1.4400000000000002
2019-07-12,34,36.714285714285715,2.0,0.054474708171206226,1.8521400778210118,1.36
2019-07-13,31,36.714285714285715,2.0,0.054474708171206226,1.688715953307393,1.24
2019-07-14,22,26.428571428571427,2.0,0.07567567567567568,1.664864864864865,1.2224864864864866
2019-07-15,24,26.428571428571427,2.0,0.07567567567567568,1.8162162162162163,1.3336216216216217
2019-07-16,26,26.428571428571427,2.0,0.07567567567567568,1.9675675675675677,1.444756756756757
2019-07-17,39,26.428571428571427,2.0,0.07567567567567568,2.9513513513513514,2.167135135135135
2019-07-18,24,26.428571428571427,2.0,0.07567567567567568,1.8162162162162163,1.3336216216216217
2019-07-19,29,26.428571428571427,2.0,0.07567567567567568,2.194594594594595,1.6114594594594596
2019-07-20,21,26.428571428571427,2.0,0.07567567567567568,1.5891891891891894,1.166918918918919
2019-07-21,20,21.142857142857142,2.0,0.0945945945945946,1.891891891891892,1.3891891891891894
2019-07-22,28,21.142857142857142,2.0,0.0945945945945946,2.6486486486486487,1.9448648648648648
2019-07-23,18,21.142857142857142,2.0,0.0945945945945946,1.7027027027027029,1.2502702702702704
2019-07-24,27,21.142857142857142,2.0,0.0945945945945946,2.5540540540540544,1.8754054054054055
2019-07-25,25,21.142857142857142,2.0,0.0945945945945946,2.364864864864865,1.7364864864864864
2019-07-26,16,21.142857142857142,2.0,0.0945945945945946,1.5135135135135136,1.1113513513513515
2019-07-27,14,21.142857142857142,2.0,0.0945945945945946,1.3243243243243243,0.9724324324324324
2019-07-28,23,25.571428571428573,2.0,0.0782122905027933,1.7988826815642458,1.3208938547486033
2019-07-29,29,25.571428571428573,2.0,0.0782122905027933,2.2681564245810057,1.6654748603351957
2019-07-30,35,25.571428571428573,2.0,0.0782122905027933,2.7374301675977653,2.0100558659217875
2019-07-31,28,25.571428571428573,2.0,0.0782122905027933,2.189944134078212,1.6080446927374301
2019-08-01,36,25.571428571428573,2.0,0.0782122905027933,2.815642458100559,2.067486033519553
2019-08-02,17,25.571428571428573,2.0,0.0782122905027933,1.329608938547486,0.9763128491620112
2019-08-03,11,25.571428571428573,2.0,0.0782122905027933,0.8603351955307262,0.631731843575419
