date,鼻水_trend,prefecture
2019-05-09,17.146032247034377,Hokkaido
2019-05-10,43.20800126252663,Hokkaido
2019-05-11,8.915936768457875,Hokkaido
2019-05-12,14.736454252802233,Hokkaido
2019-05-13,15.96449210720242,Hokkaido
2019-05-14,33.15702206880503,Hokkaido
2019-05-15,0.0,Hokkaido
2019-05-16,17.192529961602602,Hokkaido
2019-05-17,31.92898421440484,Hokkaido
2019-05-18,31.92898421440484,Hokkaido
2019-05-19,40.283434791443945,Hokkaido
2019-05-20,20.536653030932207,Hokkaido
2019-05-21,19.746781760511738,Hokkaido
2019-05-22,30.01510827597784,Hokkaido
2019-05-23,20.536653030932207,Hokkaido
2019-05-24,52.921375118171454,Hokkaido
2019-05-25,20.536653030932207,Hokkaido
2019-05-26,59.14933837429112,Hokkaido
2019-05-27,40.47059994030445,Hokkaido
2019-05-28,20.235299970152226,Hokkaido
2019-05-29,0.0,Hokkaido
2019-05-30,0.0,Hokkaido
2019-05-31,38.91403840413889,Hokkaido
2019-06-01,20.235299970152226,Hokkaido
2019-06-02,31.142903475738304,Hokkaido
2019-06-03,16.869072716024913,Hokkaido
2019-06-04,16.869072716024913,Hokkaido
2019-06-05,0.0,Hokkaido
2019-06-06,33.738145432049826,Hokkaido
2019-06-07,32.440524453894064,Hokkaido
2019-06-08,33.738145432049826,Hokkaido
2019-06-09,0.0,Hokkaido
2019-06-10,0.0,Hokkaido
2019-06-11,56.0287198210475,Hokkaido
2019-06-12,18.676239940349166,Hokkaido
2019-06-13,0.0,Hokkaido
2019-06-14,0.0,Hokkaido
2019-06-15,53.155452137916846,Hokkaido
2019-06-16,33.755148741418765,Hokkaido
2019-06-17,47.81979405034325,Hokkaido
2019-06-18,12.189359267734554,Hokkaido
2019-06-19,12.189359267734554,Hokkaido
2019-06-20,24.37871853546911,Hokkaido
2019-06-21,45.94450800915332,Hokkaido
2019-06-22,11.251716247139587,Hokkaido
2019-06-23,25.070668999865394,Hokkaido
2019-06-24,25.070668999865394,Hokkaido
2019-06-25,13.036747879930003,Hokkaido
2019-06-26,13.036747879930003,Hokkaido
2019-06-27,0.0,Hokkaido
2019-06-28,26.073495759860005,Hokkaido
2019-06-29,0.0,Hokkaido
2019-06-30,13.276361353557038,Hokkaido
2019-07-01,27.659086153243827,Hokkaido
2019-07-02,14.382724799686791,Hokkaido
2019-07-03,14.382724799686791,Hokkaido
2019-07-04,14.382724799686791,Hokkaido
2019-07-05,13.276361353557038,Hokkaido
2019-07-06,27.659086153243827,Hokkaido
2019-07-07,17.61396545666891,Hokkaido
2019-07-08,51.86334273352513,Hokkaido
2019-07-09,0.0,Hokkaido
2019-07-10,0.0,Hokkaido
2019-07-11,68.49875455371244,Hokkaido
2019-07-12,0.0,Hokkaido
2019-07-13,97.85536364816062,Hokkaido
2019-07-14,0.0,Hokkaido
2019-07-15,0.0,Hokkaido
2019-07-16,7.30158941337165,Hokkaido
2019-07-17,14.6031788267433,Hokkaido
2019-07-18,30.06536817270679,Hokkaido
2019-07-19,0.0,Hokkaido
2019-07-20,21.904768240114947,Hokkaido
2019-07-21,15.180887000108969,Hokkaido
2019-07-22,0.0,Hokkaido
2019-07-23,16.073880353056555,Hokkaido
2019-07-24,31.25476735316552,Hokkaido
2019-07-25,0.0,Hokkaido
2019-07-26,0.0,Hokkaido
2019-07-27,0.0,Hokkaido
2019-07-28,0.0,Hokkaido
2019-07-29,25.932252554226963,Hokkaido
2019-07-30,50.42382441099688,Hokkaido
2019-07-31,25.932252554226963,Hokkaido
2019-08-01,0.0,Hokkaido
2019-08-02,0.0,Hokkaido
2019-08-03,0.0,Hokkaido
2019-08-04,0.0,Hokkaido
2019-08-05,0.0,Hokkaido
2019-08-06,12.221195996801852,Hokkaido
2019-08-07,12.221195996801852,Hokkaido
2019-08-08,11.502302114637036,Hokkaido
2019-08-09,23.72349811143889,Hokkaido
2019-08-10,0.0,Hokkaido
2019-08-11,13.489977391579222,Hokkaido
2019-08-12,12.696449309721622,Hokkaido
2019-08-13,12.696449309721622,Hokkaido
2019-08-14,0.0,Hokkaido
2019-08-15,36.502291765449655,Hokkaido
2019-08-16,0.0,Hokkaido
