raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
16,33,Aichi,2018.05.30,12.760001
28,33,Aichi,2018.05.31,22.33
17,33,Aichi,2018.06.01,13.557501
44,33,Aichi,2018.06.02,35.090004
24,28,Aichi,2018.06.03,19.751352
19,28,Aichi,2018.06.04,15.636487
26,28,Aichi,2018.06.05,21.397299
18,28,Aichi,2018.06.06,14.813515
31,28,Aichi,2018.06.07,25.512163
21,28,Aichi,2018.06.08,17.282433
9,28,Aichi,2018.06.09,7.4067574
23,39,Aichi,2018.06.10,18.759375
36,39,Aichi,2018.06.11,29.362499
40,39,Aichi,2018.06.12,32.625
41,39,Aichi,2018.06.13,33.440624
24,39,Aichi,2018.06.14,19.575001
14,39,Aichi,2018.06.15,11.41875
30,39,Aichi,2018.06.16,24.46875
26,29,Aichi,2018.06.17,21.437254
20,29,Aichi,2018.06.18,16.490196
23,29,Aichi,2018.06.19,18.963726
20,29,Aichi,2018.06.20,16.490196
23,29,Aichi,2018.06.21,18.963726
21,29,Aichi,2018.06.22,17.314707
20,29,Aichi,2018.06.23,16.490196
26,28,Aichi,2018.06.24,20.698036
16,28,Aichi,2018.06.25,12.737254
25,28,Aichi,2018.06.26,19.90196
14,28,Aichi,2018.06.27,11.145097
26,28,Aichi,2018.06.28,20.698036
26,28,Aichi,2018.06.29,20.698036
20,28,Aichi,2018.06.30,15.921568
20,25,Aichi,2018.07.01,10.308058
31,25,Aichi,2018.07.02,15.977489
22,25,Aichi,2018.07.03,11.338863
46,25,Aichi,2018.07.04,23.708532
44,25,Aichi,2018.07.05,22.677727
23,25,Aichi,2018.07.06,11.854266
25,25,Aichi,2018.07.07,12.885072
20,29,Aichi,2018.07.08,10.340163
27,29,Aichi,2018.07.09,13.959221
31,29,Aichi,2018.07.10,16.027254
30,29,Aichi,2018.07.11,15.510245
47,29,Aichi,2018.07.12,24.299385
50,29,Aichi,2018.07.13,25.850409
39,29,Aichi,2018.07.14,20.163319
51,38,Aichi,2018.07.15,26.933865
47,38,Aichi,2018.07.16,24.821404
56,38,Aichi,2018.07.17,29.57444
43,38,Aichi,2018.07.18,22.708944
21,38,Aichi,2018.07.19,11.090415
53,38,Aichi,2018.07.20,27.990093
42,38,Aichi,2018.07.21,22.18083
44,35,Aichi,2018.07.22,22.555557
44,35,Aichi,2018.07.23,22.555557
44,35,Aichi,2018.07.24,22.555557
50,35,Aichi,2018.07.25,25.631315
40,35,Aichi,2018.07.26,20.505053
47,35,Aichi,2018.07.27,24.093435
28,35,Aichi,2018.07.28,14.353537
33,28,Aichi,2018.07.29,17.103828
41,28,Aichi,2018.07.30,21.250212
27,28,Aichi,2018.07.31,13.994041
31,28,Aichi,2018.08.01,16.067234
33,28,Aichi,2018.08.02,17.103828
45,28,Aichi,2018.08.03,23.323404
25,28,Aichi,2018.08.04,12.957446
59,33,Aichi,2018.08.05,31.252583
53,33,Aichi,2018.08.06,28.074354
30,33,Aichi,2018.08.07,15.891143
34,33,Aichi,2018.08.08,18.009964
20,33,Aichi,2018.08.09,10.594095
27,33,Aichi,2018.08.10,14.302029
48,33,Aichi,2018.08.11,25.425831
31,27,Aichi,2018.08.12,16.400677
69,27,Aichi,2018.08.13,36.50473
14,27,Aichi,2018.08.14,7.4067574
23,27,Aichi,2018.08.15,12.168243
23,27,Aichi,2018.08.16,12.168243
23,27,Aichi,2018.08.17,12.168243
39,27,Aichi,2018.08.18,20.63311
41,27,Aichi,2018.08.19,22.191015
13,27,Aichi,2018.08.20,7.0361748
40,27,Aichi,2018.08.21,21.649771
38,27,Aichi,2018.08.22,20.567282
41,27,Aichi,2018.08.23,22.191015
30,27,Aichi,2018.08.24,16.237328
14,27,Aichi,2018.08.25,7.5774193
38,28,Aichi,2018.08.26,19.695318
35,28,Aichi,2018.08.27,18.140423
27,28,Aichi,2018.08.28,13.994041
27,28,Aichi,2018.08.29,13.994041
30,28,Aichi,2018.08.30,15.548935
46,28,Aichi,2018.08.31,23.841702
32,28,Aichi,2018.09.01,16.585531
37,33,Aichi,2018.09.02,19.384489
27,33,Aichi,2018.09.03,14.145438
29,33,Aichi,2018.09.04,15.193248
75,33,Aichi,2018.09.05,39.292885
37,33,Aichi,2018.09.06,19.384489
37,33,Aichi,2018.09.07,19.384489
32,33,Aichi,2018.09.08,16.764963
28,24,Aichi,2018.09.09,15.146114
23,24,Aichi,2018.09.10,12.441451
24,24,Aichi,2018.09.11,12.982385
20,24,Aichi,2018.09.12,10.818653
40,24,Aichi,2018.09.13,21.637306
26,24,Aichi,2018.09.14,14.06425
32,24,Aichi,2018.09.15,17.309845
42,36,Aichi,2018.09.16,21.778807
29,36,Aichi,2018.09.17,15.037748
34,36,Aichi,2018.09.18,17.630465
49,36,Aichi,2018.09.19,25.408609
71,36,Aichi,2018.09.20,36.816555
42,36,Aichi,2018.09.21,21.778807
35,36,Aichi,2018.09.22,18.149006
59,34,Aichi,2018.09.23,30.404528
27,34,Aichi,2018.09.24,13.913937
25,34,Aichi,2018.09.25,12.883275
36,34,Aichi,2018.09.26,18.551916
29,34,Aichi,2018.09.27,14.944599
55,34,Aichi,2018.09.28,28.343206
56,34,Aichi,2018.09.29,28.858536
33,44,Aichi,2018.09.30,17.07081
31,44,Aichi,2018.10.01,16.036217
100,44,Aichi,2018.10.02,51.729733
65,44,Aichi,2018.10.03,33.624325
48,44,Aichi,2018.10.04,24.830271
73,44,Aichi,2018.10.05,37.762703
20,44,Aichi,2018.10.06,10.345946
30,40,Aichi,2018.10.07,15.963304
60,40,Aichi,2018.10.08,31.926607
37,40,Aichi,2018.10.09,19.688074
61,40,Aichi,2018.10.10,32.458717
51,40,Aichi,2018.10.11,27.137613
43,40,Aichi,2018.10.12,22.880733
45,40,Aichi,2018.10.13,23.944956
41,51,Aichi,2018.10.14,21.401999
66,51,Aichi,2018.10.15,34.452
67,51,Aichi,2018.10.16,34.973999
68,51,Aichi,2018.10.17,35.495998
67,51,Aichi,2018.10.18,34.973999
