date,prefecture,raw_daily,raw_weekly,symptoms_harmonized_daily
2016.05.26,Aichi,33,36,21.087
2016.05.27,Aichi,36,36,23.004
2016.05.28,Aichi,42,36,26.837999
2016.05.29,Aichi,38,38,25.846386
2016.05.30,Aichi,16,38,10.882689
2016.05.31,Aichi,34,38,23.125713
2016.06.01,Aichi,45,38,30.607561
2016.06.02,Aichi,39,38,26.526552
2016.06.03,Aichi,39,38,26.526552
2016.06.04,Aichi,27,38,18.364536
2016.06.05,Aichi,21,34,14.553299
2016.06.06,Aichi,46,34,31.878654
2016.06.07,Aichi,38,34,26.334541
2016.06.08,Aichi,30,34,20.790428
2016.06.09,Aichi,24,34,16.632343
2016.06.10,Aichi,22,34,15.246313
2016.06.11,Aichi,28,34,19.4044
2016.06.12,Aichi,45,30,30.268421
2016.06.13,Aichi,26,30,17.48842
2016.06.14,Aichi,35,30,23.542105
2016.06.15,Aichi,19,30,12.780001
2016.06.16,Aichi,16,30,10.762105
2016.06.17,Aichi,33,30,22.196842
2016.06.18,Aichi,16,30,10.762105
2016.06.19,Aichi,26,24,16.718491
2016.06.20,Aichi,32,24,20.576603
2016.06.21,Aichi,24,24,15.432451
2016.06.22,Aichi,16,24,10.288301
2016.06.23,Aichi,24,24,15.432451
2016.06.24,Aichi,24,24,15.432451
2016.06.25,Aichi,13,24,8.3592453
2016.06.26,Aichi,25,29,16.604837
2016.06.27,Aichi,38,29,25.239353
2016.06.28,Aichi,42,29,27.896128
2016.06.29,Aichi,11,29,7.306129
2016.06.30,Aichi,29,29,19.261612
2016.07.01,Aichi,17,29,11.29129
2016.07.02,Aichi,24,29,15.940645
2016.07.03,Aichi,24,24,14.433881
2016.07.04,Aichi,31,24,18.643763
2016.07.05,Aichi,34,24,20.447998
2016.07.06,Aichi,19,24,11.426823
2016.07.07,Aichi,37,24,22.252234
2016.07.08,Aichi,13,24,7.8183522
2016.07.09,Aichi,12,24,7.2169404
2016.07.10,Aichi,25,33,14.228745
2016.07.11,Aichi,40,33,22.765991
2016.07.12,Aichi,57,33,32.441536
2016.07.13,Aichi,38,33,21.627691
2016.07.14,Aichi,40,33,22.765991
2016.07.15,Aichi,25,33,14.228745
2016.07.16,Aichi,22,33,12.521296
2016.07.17,Aichi,18,29,11.287918
2016.07.18,Aichi,34,29,21.321623
2016.07.19,Aichi,31,29,19.440304
2016.07.20,Aichi,37,29,23.202942
2016.07.21,Aichi,37,29,23.202942
2016.07.22,Aichi,18,29,11.287918
2016.07.23,Aichi,22,29,13.796345
2016.07.24,Aichi,22,31,13.146244
2016.07.25,Aichi,37,31,22.109592
2016.07.26,Aichi,27,31,16.134026
2016.07.27,Aichi,31,31,18.524252
2016.07.28,Aichi,28,31,16.731583
2016.07.29,Aichi,31,31,18.524252
2016.07.30,Aichi,45,31,26.890043
2016.07.31,Aichi,41,30,23.926025
2016.08.01,Aichi,33,30,19.257532
2016.08.02,Aichi,45,30,26.260271
2016.08.03,Aichi,31,30,18.090408
2016.08.04,Aichi,31,30,18.090408
2016.08.05,Aichi,17,30,9.9205465
2016.08.06,Aichi,21,30,12.254793
2016.08.07,Aichi,28,30,17.370872
2016.08.08,Aichi,36,30,22.333981
2016.08.09,Aichi,50,30,31.019417
2016.08.10,Aichi,28,30,17.370872
2016.08.11,Aichi,25,30,15.509708
2016.08.12,Aichi,32,30,19.852427
2016.08.13,Aichi,7,30,4.3427181
2016.08.14,Aichi,26,19,15.473822
2016.08.15,Aichi,21,19,12.498087
2016.08.16,Aichi,11,19,6.546617
2016.08.17,Aichi,21,19,12.498087
2016.08.18,Aichi,24,19,14.283528
2016.08.19,Aichi,11,19,6.546617
2016.08.20,Aichi,22,19,13.093234
2016.08.21,Aichi,14,23,8.7370691
2016.08.22,Aichi,35,23,21.842672
2016.08.23,Aichi,20,23,12.481526
2016.08.24,Aichi,9,23,5.6166868
2016.08.25,Aichi,22,23,13.72968
2016.08.26,Aichi,31,23,19.346367
2016.08.27,Aichi,26,23,16.225985
2016.08.28,Aichi,32,36,19.708914
2016.08.29,Aichi,29,36,17.861202
2016.08.30,Aichi,22,36,13.549877
2016.08.31,Aichi,42,36,25.867947
2016.09.01,Aichi,62,36,38.18602
2016.09.02,Aichi,43,36,26.483852
2016.09.03,Aichi,19,36,11.702168
2016.09.04,Aichi,31,26,18.263617
2016.09.05,Aichi,32,26,18.852764
2016.09.06,Aichi,19,26,11.19383
2016.09.07,Aichi,35,26,20.620213
2016.09.08,Aichi,38,26,22.387659
2016.09.09,Aichi,13,26,7.658936
2016.09.10,Aichi,20,26,11.782978
2016.09.11,Aichi,26,27,14.952599
2016.09.12,Aichi,16,27,9.2015991
2016.09.13,Aichi,38,27,21.853798
2016.09.14,Aichi,36,27,20.703598
2016.09.15,Aichi,23,27,13.2273
2016.09.16,Aichi,42,27,24.154198
2016.09.17,Aichi,19,27,10.926899
2016.09.18,Aichi,34,24,19.099779
2016.09.19,Aichi,44,24,24.71736
2016.09.20,Aichi,23,24,12.92044
2016.09.21,Aichi,39,24,21.908569
2016.09.22,Aichi,9,24,5.0558238
2016.09.23,Aichi,20,24,11.235164
2016.09.24,Aichi,13,24,7.3028564
2016.09.25,Aichi,42,30,24.735481
2016.09.26,Aichi,30,30,17.668201
2016.09.27,Aichi,36,30,21.201839
2016.09.28,Aichi,13,30,7.6562204
2016.09.29,Aichi,29,30,17.079262
2016.09.30,Aichi,42,30,24.735481
2016.10.01,Aichi,25,30,14.723501
2016.10.02,Aichi,52,45,30.861917
2016.10.03,Aichi,40,45,23.739937
2016.10.04,Aichi,28,45,16.617956
2016.10.05,Aichi,55,45,32.642414
2016.10.06,Aichi,38,45,22.552938
2016.10.07,Aichi,57,45,33.829411
2016.10.08,Aichi,53,45,31.455416
2016.10.09,Aichi,69,61,40.383648
2016.10.10,Aichi,50,61,29.263512
2016.10.11,Aichi,54,61,31.604593
2016.10.12,Aichi,69,61,40.383648
2016.10.13,Aichi,52,61,30.434053
2016.10.14,Aichi,74,61,43.310001
2016.10.15,Aichi,76,61,44.480541
2016.10.16,Aichi,45,51,27.157497
2016.10.17,Aichi,98,51,59.142998
2016.10.18,Aichi,26,51,15.690999
2016.10.19,Aichi,36,51,21.726
2016.10.20,Aichi,54,51,32.588997
2016.10.21,Aichi,72,51,43.452
2016.10.22,Aichi,29,51,17.501499
2016.10.23,Aichi,59,54,33.429455
2016.10.24,Aichi,97,54,54.960293
2016.10.25,Aichi,56,54,31.729654
2016.10.26,Aichi,40,54,22.664038
2016.10.27,Aichi,56,54,31.729654
2016.10.28,Aichi,49,54,27.763447
2016.10.29,Aichi,49,54,27.763447
2016.10.30,Aichi,47,59,27.408302
2016.10.31,Aichi,40,59,23.326216
2016.11.01,Aichi,56,59,32.656704
2016.11.02,Aichi,90,59,52.483986
2016.11.03,Aichi,61,59,35.572479
2016.11.04,Aichi,56,59,32.656704
2016.11.05,Aichi,81,59,47.235584
2016.11.06,Aichi,100,59,57.64679
2016.11.07,Aichi,61,59,35.164539
2016.11.08,Aichi,59,59,34.011604
2016.11.09,Aichi,45,59,25.941053
2016.11.10,Aichi,78,59,44.964493
2016.11.11,Aichi,51,59,29.399862
2016.11.12,Aichi,42,59,24.211651
2016.11.13,Aichi,43,42,24.817936
2016.11.14,Aichi,49,42,28.280903
2016.11.15,Aichi,38,42,21.932129
2016.11.16,Aichi,52,42,30.012386
2016.11.17,Aichi,62,42,35.784
2016.11.18,Aichi,32,42,18.46916
2016.11.19,Aichi,34,42,19.623484
2016.11.20,Aichi,44,45,25.95323
2016.11.21,Aichi,50,45,29.492308
2016.11.22,Aichi,54,45,31.851694
2016.11.23,Aichi,32,45,18.875076
2016.11.24,Aichi,45,45,26.543077
2016.11.25,Aichi,62,45,36.570461
2016.11.26,Aichi,38,45,22.414154
2016.11.27,Aichi,21,35,12.474502
2016.11.28,Aichi,44,35,26.137051
2016.11.29,Aichi,44,35,26.137051
2016.11.30,Aichi,28,35,16.632668
2016.12.01,Aichi,49,35,29.10717
2016.12.02,Aichi,47,35,27.919123
2016.12.03,Aichi,18,35,10.69243
2016.12.04,Aichi,57,58,33.373363
2016.12.05,Aichi,60,58,35.129856
2016.12.06,Aichi,56,58,32.787865
2016.12.07,Aichi,66,58,38.642841
2016.12.08,Aichi,37,58,21.66341
2016.12.09,Aichi,81,58,47.425304
2016.12.10,Aichi,65,58,38.057343
2016.12.11,Aichi,62,55,37.633675
2016.12.12,Aichi,62,55,37.633675
2016.12.13,Aichi,55,55,33.384712
2016.12.14,Aichi,51,55,30.956736
2016.12.15,Aichi,47,55,28.528755
2016.12.16,Aichi,69,55,41.882641
2016.12.17,Aichi,40,55,24.279791
2016.12.18,Aichi,70,54,39.759998
2016.12.19,Aichi,73,54,41.463997
2016.12.20,Aichi,31,54,17.608
2016.12.21,Aichi,76,54,43.167999
2016.12.22,Aichi,53,54,30.103998
2016.12.23,Aichi,59,54,33.511997
2016.12.24,Aichi,43,54,24.424
2016.12.25,Aichi,49,44,27.664335
2016.12.26,Aichi,52,44,29.358072
2016.12.27,Aichi,31,44,17.501926
2016.12.28,Aichi,44,44,24.841446
2016.12.29,Aichi,39,44,22.018555
2016.12.30,Aichi,64,44,36.133011
2016.12.31,Aichi,53,44,29.922651
2017.01.01,Aichi,42,53,25.287357
2017.01.02,Aichi,38,53,22.879038
2017.01.03,Aichi,62,53,37.328957
2017.01.04,Aichi,44,53,26.491518
2017.01.05,Aichi,65,53,39.135197
2017.01.06,Aichi,66,53,39.737274
2017.01.07,Aichi,58,53,34.920639
2017.01.08,Aichi,32,45,18.759632
2017.01.09,Aichi,61,45,35.760548
2017.01.10,Aichi,55,45,32.243118
