date,prefecture,raw_daily,raw_weekly,pollen_harmonized_daily
2016.05.22,Aichi,17,6,6.5555058
2016.05.23,Aichi,25,6,9.6404495
2016.05.24,Aichi,15,6,5.7842698
2016.05.25,Aichi,13,6,5.0130334
2016.05.26,Aichi,6,6,2.3137078
2016.05.27,Aichi,4,6,1.5424719
2016.05.28,Aichi,9,6,3.4705617
2016.05.29,Aichi,9,4,3.4901693
2016.05.30,Aichi,5,4,1.9389831
2016.05.31,Aichi,7,4,2.7145762
2016.06.01,Aichi,8,4,3.1023729
2016.06.02,Aichi,8,4,3.1023729
2016.06.03,Aichi,13,4,5.0413556
2016.06.04,Aichi,9,4,3.4901693
2016.06.05,Aichi,7,2,2.9659259
2016.06.06,Aichi,4,2,1.6948148
2016.06.07,Aichi,6,2,2.5422223
2016.06.08,Aichi,1,2,.4237037
2016.06.09,Aichi,4,2,1.6948148
2016.06.10,Aichi,2,2,.8474074
2016.06.11,Aichi,3,2,1.2711111
2016.06.12,Aichi,5,2,2.2000003
2016.06.13,Aichi,1,2,.44000003
2016.06.14,Aichi,3,2,1.3200001
2016.06.15,Aichi,7,2,3.0799999
2016.06.16,Aichi,4,2,1.7600001
2016.06.17,Aichi,2,2,.88000005
2016.06.18,Aichi,4,2,1.7600001
2016.06.19,Aichi,6,1,1.4921738
2016.06.20,Aichi,6,1,1.4921738
2016.06.21,Aichi,2,1,.49739128
2016.06.22,Aichi,2,1,.49739128
2016.06.23,Aichi,0,1,0
2016.06.24,Aichi,2,1,.49739128
2016.06.25,Aichi,5,1,1.2434782
2016.06.26,Aichi,5,1,1.3619049
2016.06.27,Aichi,6,1,1.6342857
2016.06.28,Aichi,2,1,.5447619
2016.06.29,Aichi,3,1,.81714284
2016.06.30,Aichi,4,1,1.0895238
2016.07.01,Aichi,1,1,.27238095
2016.07.02,Aichi,0,1,0
2016.07.03,Aichi,19,1,1.1204123
2016.07.04,Aichi,13,1,.76659799
2016.07.05,Aichi,13,1,.76659799
2016.07.06,Aichi,20,1,1.1793815
2016.07.07,Aichi,13,1,.76659799
2016.07.08,Aichi,13,1,.76659799
2016.07.09,Aichi,6,1,.35381445
2016.07.10,Aichi,13,1,.94126582
2016.07.11,Aichi,13,1,.94126582
2016.07.12,Aichi,7,1,.5068354
2016.07.13,Aichi,0,1,0
2016.07.14,Aichi,39,1,2.8237972
2016.07.15,Aichi,7,1,.5068354
2016.07.16,Aichi,0,1,0
2016.07.17,Aichi,13,1,.58093745
2016.07.18,Aichi,13,1,.58093745
2016.07.19,Aichi,39,1,1.7428123
2016.07.20,Aichi,13,1,.58093745
2016.07.21,Aichi,26,1,1.1618749
2016.07.22,Aichi,18,1,.80437493
2016.07.23,Aichi,6,1,.26812497
2016.07.24,Aichi,0,1,0
2016.07.25,Aichi,19,1,.8424806
2016.07.26,Aichi,6,1,.26604652
2016.07.27,Aichi,13,1,.57643408
2016.07.28,Aichi,45,1,1.9953488
2016.07.29,Aichi,26,1,1.1528682
2016.07.30,Aichi,20,1,.88682175
2016.07.31,Aichi,7,1,.58882356
2016.08.01,Aichi,6,1,.50470585
2016.08.02,Aichi,6,1,.50470585
2016.08.03,Aichi,20,1,1.6823529
2016.08.04,Aichi,7,1,.58882356
2016.08.05,Aichi,7,1,.58882356
2016.08.06,Aichi,15,1,1.2617648
2016.08.07,Aichi,7,1,.4044444
2016.08.08,Aichi,34,1,1.9644444
2016.08.09,Aichi,14,1,.80888879
2016.08.10,Aichi,29,1,1.6755555
2016.08.11,Aichi,0,1,0
2016.08.12,Aichi,0,1,0
2016.08.13,Aichi,15,1,.86666662
2016.08.14,Aichi,15,1,1.0463414
2016.08.15,Aichi,15,1,1.0463414
2016.08.16,Aichi,15,1,1.0463414
2016.08.17,Aichi,7,1,.48829269
2016.08.18,Aichi,22,1,1.5346341
2016.08.19,Aichi,0,1,0
2016.08.20,Aichi,8,1,.55804878
2016.08.21,Aichi,15,1,.61726618
2016.08.22,Aichi,29,1,1.1933812
2016.08.23,Aichi,35,1,1.4402877
2016.08.24,Aichi,13,1,.53496403
2016.08.25,Aichi,7,1,.28805754
2016.08.26,Aichi,20,1,.82302159
2016.08.27,Aichi,20,1,.82302159
2016.08.28,Aichi,7,2,.35910314
2016.08.29,Aichi,20,2,1.026009
2016.08.30,Aichi,13,2,.66690582
2016.08.31,Aichi,40,2,2.0520179
2016.09.01,Aichi,75,2,3.8475335
2016.09.02,Aichi,55,2,2.8215246
2016.09.03,Aichi,13,2,.66690582
2016.09.04,Aichi,26,2,2.1245716
2016.09.05,Aichi,13,2,1.0622858
2016.09.06,Aichi,26,2,2.1245716
2016.09.07,Aichi,0,2,0
2016.09.08,Aichi,20,2,1.6342857
2016.09.09,Aichi,34,2,2.7782857
2016.09.10,Aichi,21,2,1.7160001
2016.09.11,Aichi,27,2,1.8495808
2016.09.12,Aichi,26,2,1.7810776
2016.09.13,Aichi,20,2,1.3700597
2016.09.14,Aichi,20,2,1.3700597
2016.09.15,Aichi,14,2,.95904183
2016.09.16,Aichi,13,2,.89053881
2016.09.17,Aichi,47,2,3.2196405
2016.09.18,Aichi,13,1,.54277372
2016.09.19,Aichi,6,1,.25051093
2016.09.20,Aichi,18,1,.75153279
2016.09.21,Aichi,7,1,.29226276
2016.09.22,Aichi,39,1,1.6283212
2016.09.23,Aichi,14,1,.58452553
2016.09.24,Aichi,40,1,1.6700729
2016.09.25,Aichi,47,3,3.716682
2016.09.26,Aichi,41,3,3.2422118
2016.09.27,Aichi,55,3,4.3493085
2016.09.28,Aichi,7,3,.55354834
2016.09.29,Aichi,20,3,1.5815667
2016.09.30,Aichi,34,3,2.6886635
2016.10.01,Aichi,13,3,1.0280184
2016.10.02,Aichi,38,3,2.5672443
2016.10.03,Aichi,39,3,2.6348033
2016.10.04,Aichi,26,3,1.7565355
2016.10.05,Aichi,19,3,1.2836221
2016.10.06,Aichi,40,3,2.7023625
2016.10.07,Aichi,53,3,3.5806298
2016.10.08,Aichi,39,3,2.6348033
2016.10.09,Aichi,13,4,.69495326
2016.10.10,Aichi,86,4,4.597383
2016.10.11,Aichi,100,4,5.3457942
2016.10.12,Aichi,62,4,3.3143923
2016.10.13,Aichi,55,4,2.940187
2016.10.14,Aichi,70,4,3.7420559
2016.10.15,Aichi,42,4,2.2452335
2016.10.16,Aichi,27,3,1.3313793
2016.10.17,Aichi,66,3,3.2544825
2016.10.18,Aichi,61,3,3.0079308
2016.10.19,Aichi,41,3,2.021724
2016.10.20,Aichi,40,3,1.9724138
2016.10.21,Aichi,59,3,2.9093101
2016.10.22,Aichi,54,3,2.6627586
2016.10.23,Aichi,27,3,1.4524137
2016.10.24,Aichi,85,3,4.572413
2016.10.25,Aichi,69,3,3.7117238
2016.10.26,Aichi,28,3,1.5062068
2016.10.27,Aichi,35,3,1.8827584
2016.10.28,Aichi,41,3,2.2055171
2016.10.29,Aichi,34,3,1.8289653
2016.10.30,Aichi,42,3,2.5467138
2016.10.31,Aichi,21,3,1.2733569
2016.11.01,Aichi,42,3,2.5467138
2016.11.02,Aichi,49,3,2.9711661
2016.11.03,Aichi,61,3,3.6987989
2016.11.04,Aichi,41,3,2.4860778
2016.11.05,Aichi,27,3,1.6371732
2016.11.06,Aichi,61,3,4.3254542
2016.11.07,Aichi,67,3,4.7509089
2016.11.08,Aichi,20,3,1.4181817
2016.11.09,Aichi,27,3,1.9145454
2016.11.10,Aichi,27,3,1.9145454
2016.11.11,Aichi,20,3,1.4181817
2016.11.12,Aichi,20,3,1.4181817
2016.11.13,Aichi,13,2,.65515423
2016.11.14,Aichi,19,2,.95753306
2016.11.15,Aichi,40,2,2.0158591
2016.11.16,Aichi,34,2,1.7134802
2016.11.17,Aichi,41,2,2.0662556
2016.11.18,Aichi,47,2,2.3686345
2016.11.19,Aichi,33,2,1.6630839
2016.11.20,Aichi,13,1,.5901587
2016.11.21,Aichi,20,1,.90793651
2016.11.22,Aichi,13,1,.5901587
2016.11.23,Aichi,13,1,.5901587
2016.11.24,Aichi,20,1,.90793651
2016.11.25,Aichi,34,1,1.5434921
2016.11.26,Aichi,13,1,.5901587
2016.11.27,Aichi,13,1,.71500003
2016.11.28,Aichi,39,1,2.1450002
2016.11.29,Aichi,13,1,.71500003
2016.11.30,Aichi,0,1,0
2016.12.01,Aichi,0,1,0
2016.12.02,Aichi,20,1,1.1000001
2016.12.03,Aichi,19,1,1.0450001
2016.12.04,Aichi,0,1,0
2016.12.05,Aichi,23,1,1.1746428
2016.12.06,Aichi,25,1,1.2767857
2016.12.07,Aichi,6,1,.30642855
2016.12.08,Aichi,26,1,1.3278571
2016.12.09,Aichi,19,1,.97035712
2016.12.10,Aichi,13,1,.66392857
2016.12.11,Aichi,19,1,1.0760396
2016.12.12,Aichi,6,1,.33980197
2016.12.13,Aichi,18,1,1.019406
2016.12.14,Aichi,25,1,1.4158416
2016.12.15,Aichi,13,1,.73623765
2016.12.16,Aichi,7,1,.39643565
2016.12.17,Aichi,13,1,.73623765
2016.12.18,Aichi,13,1,.57643408
2016.12.19,Aichi,26,1,1.1528682
2016.12.20,Aichi,19,1,.8424806
2016.12.21,Aichi,39,1,1.7293023
2016.12.22,Aichi,6,1,.26604652
2016.12.23,Aichi,6,1,.26604652
2016.12.24,Aichi,20,1,.88682175
2016.12.25,Aichi,6,1,.32377356
2016.12.26,Aichi,26,1,1.4030188
2016.12.27,Aichi,26,1,1.4030188
2016.12.28,Aichi,7,1,.37773585
2016.12.29,Aichi,14,1,.75547171
2016.12.30,Aichi,14,1,.75547171
2016.12.31,Aichi,13,1,.70150942
2017.01.01,Aichi,4,2,1.9066665
2017.01.02,Aichi,3,2,1.4299999
2017.01.03,Aichi,2,2,.95333326
2017.01.04,Aichi,3,2,1.4299999
2017.01.05,Aichi,2,2,.95333326
2017.01.06,Aichi,7,2,3.3366663
2017.01.07,Aichi,3,2,1.4299999
2017.01.08,Aichi,4,2,1.3074286
2017.01.09,Aichi,6,2,1.9611429
2017.01.10,Aichi,5,2,1.6342857
2017.01.11,Aichi,8,2,2.6148572
2017.01.12,Aichi,4,2,1.3074286
2017.01.13,Aichi,6,2,1.9611429
2017.01.14,Aichi,2,2,.6537143
2017.01.15,Aichi,5,3,2.2578948
2017.01.16,Aichi,3,3,1.3547369
2017.01.17,Aichi,4,3,1.8063159
2017.01.18,Aichi,9,3,4.0642104
2017.01.19,Aichi,8,3,3.6126318
2017.01.20,Aichi,6,3,2.7094738
2017.01.21,Aichi,3,3,1.3547369
2017.01.22,Aichi,6,4,2.2504919
2017.01.23,Aichi,7,4,2.6255736
2017.01.24,Aichi,11,4,4.1259012
2017.01.25,Aichi,8,4,3.0006557
2017.01.26,Aichi,9,4,3.3757374
2017.01.27,Aichi,10,4,3.7508194
2017.01.28,Aichi,10,4,3.7508194
2017.01.29,Aichi,16,7,5.9872894
2017.01.30,Aichi,8,7,2.9936447
2017.01.31,Aichi,17,7,6.361495
2017.02.01,Aichi,20,7,7.4841118
2017.02.02,Aichi,19,7,7.1099062
2017.02.03,Aichi,11,7,4.1162615
2017.02.04,Aichi,16,7,5.9872894
2017.02.05,Aichi,20,9,8.5090904
2017.02.06,Aichi,27,9,11.487271
2017.02.07,Aichi,19,9,8.0836353
2017.02.08,Aichi,17,9,7.2327266
2017.02.09,Aichi,12,9,5.105454
2017.02.10,Aichi,14,9,5.9563632
2017.02.11,Aichi,12,9,5.105454
2017.02.12,Aichi,13,10,4.8921056
2017.02.13,Aichi,24,10,9.031579
2017.02.14,Aichi,21,10,7.9026318
2017.02.15,Aichi,24,10,9.031579
2017.02.16,Aichi,22,10,8.2789478
2017.02.17,Aichi,25,10,9.4078951
2017.02.18,Aichi,23,10,8.6552639
2017.02.19,Aichi,18,13,6.8993816
2017.02.20,Aichi,27,13,10.349072
2017.02.21,Aichi,23,13,8.815876
2017.02.22,Aichi,31,13,11.882268
2017.02.23,Aichi,29,13,11.11567
2017.02.24,Aichi,27,13,10.349072
2017.02.25,Aichi,39,13,14.948661
2017.02.26,Aichi,35,17,13.668271
2017.02.27,Aichi,38,17,14.839838
2017.02.28,Aichi,33,17,12.887228
2017.03.01,Aichi,31,17,12.106184
2017.03.02,Aichi,27,17,10.544096
2017.03.03,Aichi,42,17,16.401926
2017.03.04,Aichi,43,17,16.792448
2017.03.05,Aichi,71,30,28.4
2017.03.06,Aichi,79,30,31.6
2017.03.07,Aichi,72,30,28.799999
2017.03.08,Aichi,67,30,26.799999
2017.03.09,Aichi,50,30,20
2017.03.10,Aichi,45,30,18
2017.03.11,Aichi,45,30,18
2017.03.12,Aichi,51,33,20.05575
2017.03.13,Aichi,60,33,23.595001
2017.03.14,Aichi,90,33,35.392498
2017.03.15,Aichi,76,33,29.887001
2017.03.16,Aichi,83,33,32.639751
2017.03.17,Aichi,60,33,23.595001
2017.03.18,Aichi,60,33,23.595001
2017.03.19,Aichi,100,34,39.130787
2017.03.20,Aichi,94,34,36.782936
2017.03.21,Aichi,67,34,26.217625
2017.03.22,Aichi,60,34,23.478472
2017.03.23,Aichi,59,34,23.087162
2017.03.24,Aichi,70,34,27.391548
2017.03.25,Aichi,47,34,18.391468
2017.03.26,Aichi,47,18,18.756277
2017.03.27,Aichi,46,18,18.357208
2017.03.28,Aichi,39,18,15.56372
2017.03.29,Aichi,38,18,15.164651
2017.03.30,Aichi,36,18,14.36651
2017.03.31,Aichi,30,18,11.972093
2017.04.01,Aichi,22,18,8.7795353
2017.04.02,Aichi,24,14,9.9581347
2017.04.03,Aichi,41,14,17.011814
2017.04.04,Aichi,33,14,13.692435
2017.04.05,Aichi,37,14,15.352124
2017.04.06,Aichi,19,14,7.8835235
2017.04.07,Aichi,20,14,8.2984457
2017.04.08,Aichi,19,14,7.8835235
2017.04.09,Aichi,18,16,6.8639994
2017.04.10,Aichi,41,16,15.634666
2017.04.11,Aichi,35,16,13.346667
2017.04.12,Aichi,31,16,11.821334
2017.04.13,Aichi,34,16,12.965333
2017.04.14,Aichi,41,16,15.634666
2017.04.15,Aichi,40,16,15.253332
2017.04.16,Aichi,39,15,16.402941
2017.04.17,Aichi,34,15,14.3
2017.04.18,Aichi,28,15,11.776471
2017.04.19,Aichi,36,15,15.141176
2017.04.20,Aichi,23,15,9.6735296
2017.04.21,Aichi,26,15,10.935294
2017.04.22,Aichi,18,15,7.5705881
2017.04.23,Aichi,33,14,13.2132
2017.04.24,Aichi,31,14,12.4124
2017.04.25,Aichi,31,14,12.4124
