date,prefecture,raw_daily,raw_weekly,anxietydrug2_harmonized_daily
2016.05.11,Aichi,33,33,27.003246
2016.05.12,Aichi,0,33,0
2016.05.13,Aichi,0,33,0
2016.05.14,Aichi,0,33,0
2016.05.15,Aichi,0,39,0
2016.05.16,Aichi,16,39,13.282077
2016.05.17,Aichi,16,39,13.282077
2016.05.18,Aichi,49,39,40.676361
2016.05.19,Aichi,16,39,13.282077
2016.05.20,Aichi,16,39,13.282077
2016.05.21,Aichi,0,39,0
2016.05.22,Aichi,0,23,0
2016.05.23,Aichi,0,23,0
2016.05.24,Aichi,17,23,14.036595
2016.05.25,Aichi,0,23,0
2016.05.26,Aichi,16,23,13.210914
2016.05.27,Aichi,17,23,14.036595
2016.05.28,Aichi,17,23,14.036595
2016.05.29,Aichi,0,52,0
2016.05.30,Aichi,0,52,0
2016.05.31,Aichi,0,52,0
2016.06.01,Aichi,34,52,28.349855
2016.06.02,Aichi,50,52,41.690964
2016.06.03,Aichi,17,52,14.174928
2016.06.04,Aichi,49,52,40.857143
2016.06.05,Aichi,16,51,13.443028
2016.06.06,Aichi,16,51,13.443028
2016.06.07,Aichi,32,51,26.886057
2016.06.08,Aichi,33,51,27.726246
2016.06.09,Aichi,32,51,26.886057
2016.06.10,Aichi,17,51,14.283218
2016.06.11,Aichi,0,51,0
2016.06.12,Aichi,31,50,25.711269
2016.06.13,Aichi,0,50,0
2016.06.14,Aichi,49,50,40.640396
2016.06.15,Aichi,33,50,27.370062
2016.06.16,Aichi,0,50,0
2016.06.17,Aichi,16,50,13.270332
2016.06.18,Aichi,16,50,13.270332
2016.06.19,Aichi,0,16,0
2016.06.20,Aichi,0,16,0
2016.06.21,Aichi,0,16,0
2016.06.22,Aichi,16,16,12.827988
2016.06.23,Aichi,0,16,0
2016.06.24,Aichi,0,16,0
2016.06.25,Aichi,32,16,25.655975
2016.06.26,Aichi,16,61,13.188325
2016.06.27,Aichi,16,61,13.188325
2016.06.28,Aichi,64,61,52.7533
2016.06.29,Aichi,16,61,13.188325
2016.06.30,Aichi,0,61,0
2016.07.01,Aichi,66,61,54.401844
2016.07.02,Aichi,0,61,0
2016.07.03,Aichi,18,62,14.431487
2016.07.04,Aichi,37,62,29.664721
2016.07.05,Aichi,19,62,15.233235
2016.07.06,Aichi,19,62,15.233235
2016.07.07,Aichi,38,62,30.466471
2016.07.08,Aichi,19,62,15.233235
2016.07.09,Aichi,36,62,28.862974
2016.07.10,Aichi,19,68,13.750355
2016.07.11,Aichi,37,68,26.777008
2016.07.12,Aichi,19,68,13.750355
2016.07.13,Aichi,19,68,13.750355
2016.07.14,Aichi,75,68,54.277714
2016.07.15,Aichi,38,68,27.50071
2016.07.16,Aichi,19,68,13.750355
2016.07.17,Aichi,37,40,27.382824
2016.07.18,Aichi,37,40,27.382824
2016.07.19,Aichi,0,40,0
2016.07.20,Aichi,0,40,0
2016.07.21,Aichi,19,40,14.06145
2016.07.22,Aichi,18,40,13.321374
2016.07.23,Aichi,19,40,14.06145
2016.07.24,Aichi,37,45,27.059038
2016.07.25,Aichi,0,45,0
2016.07.26,Aichi,36,45,26.327711
2016.07.27,Aichi,0,45,0
2016.07.28,Aichi,37,45,27.059038
2016.07.29,Aichi,19,45,13.895182
2016.07.30,Aichi,19,45,13.895182
2016.07.31,Aichi,19,57,15.322843
2016.08.01,Aichi,91,57,73.388351
2016.08.02,Aichi,0,57,0
2016.08.03,Aichi,19,57,15.322843
2016.08.04,Aichi,19,57,15.322843
2016.08.05,Aichi,0,57,0
2016.08.06,Aichi,22,57,17.742239
2016.08.07,Aichi,43,50,31.152306
2016.08.08,Aichi,60,50,43.468334
2016.08.09,Aichi,20,50,14.489445
2016.08.10,Aichi,21,50,15.213917
2016.08.11,Aichi,0,50,0
2016.08.12,Aichi,0,50,0
2016.08.13,Aichi,22,50,15.93839
2016.08.14,Aichi,44,65,31.99539
2016.08.15,Aichi,43,65,31.268221
2016.08.16,Aichi,42,65,30.541054
2016.08.17,Aichi,0,65,0
2016.08.18,Aichi,42,65,30.541054
2016.08.19,Aichi,0,65,0
2016.08.20,Aichi,44,65,31.99539
2016.08.21,Aichi,0,42,0
2016.08.22,Aichi,21,42,17.978209
2016.08.23,Aichi,20,42,17.122103
2016.08.24,Aichi,38,42,32.531994
2016.08.25,Aichi,0,42,0
2016.08.26,Aichi,19,42,16.265997
2016.08.27,Aichi,20,42,17.122103
2016.08.28,Aichi,58,100,50.914005
2016.08.29,Aichi,19,100,16.678726
2016.08.30,Aichi,0,100,0
2016.08.31,Aichi,78,100,68.470558
2016.09.01,Aichi,79,100,69.348381
2016.09.02,Aichi,40,100,35.113106
2016.09.03,Aichi,0,100,0
2016.09.04,Aichi,38,35,27.817213
2016.09.05,Aichi,0,35,0
2016.09.06,Aichi,19,35,13.908607
2016.09.07,Aichi,38,35,27.817213
2016.09.08,Aichi,0,35,0
2016.09.09,Aichi,0,35,0
2016.09.10,Aichi,20,35,14.640639
2016.09.11,Aichi,39,81,28.037554
2016.09.12,Aichi,38,81,27.318644
2016.09.13,Aichi,77,81,55.356201
2016.09.14,Aichi,39,81,28.037554
2016.09.15,Aichi,39,81,28.037554
2016.09.16,Aichi,20,81,14.378234
2016.09.17,Aichi,19,81,13.659322
2016.09.18,Aichi,37,79,27.144939
2016.09.19,Aichi,53,79,38.883293
2016.09.20,Aichi,52,79,38.149647
2016.09.21,Aichi,40,79,29.345882
2016.09.22,Aichi,38,79,27.878588
2016.09.23,Aichi,0,79,0
2016.09.24,Aichi,39,79,28.612234
2016.09.25,Aichi,20,94,16.265703
2016.09.26,Aichi,20,94,16.265703
2016.09.27,Aichi,100,94,81.328522
2016.09.28,Aichi,20,94,16.265703
2016.09.29,Aichi,59,94,47.983826
2016.09.30,Aichi,59,94,47.983826
2016.10.01,Aichi,0,94,0
2016.10.02,Aichi,40,69,32.863777
2016.10.03,Aichi,20,69,16.431889
2016.10.04,Aichi,20,69,16.431889
2016.10.05,Aichi,0,69,0
2016.10.06,Aichi,62,69,50.938858
2016.10.07,Aichi,20,69,16.431889
2016.10.08,Aichi,40,69,32.863777
2016.10.09,Aichi,0,60,0
2016.10.10,Aichi,41,60,39.7108
2016.10.11,Aichi,21,60,20.33968
2016.10.12,Aichi,43,60,41.647915
2016.10.13,Aichi,0,60,0
2016.10.14,Aichi,22,60,21.308235
2016.10.15,Aichi,22,60,21.308235
2016.10.16,Aichi,42,59,40.545605
2016.10.17,Aichi,0,59,0
2016.10.18,Aichi,42,59,40.545605
2016.10.19,Aichi,21,59,20.272802
2016.10.20,Aichi,42,59,40.545605
2016.10.21,Aichi,0,59,0
2016.10.22,Aichi,0,59,0
2016.10.23,Aichi,0,49,0
2016.10.24,Aichi,44,49,47.575363
2016.10.25,Aichi,43,49,46.494106
2016.10.26,Aichi,22,49,23.787682
2016.10.27,Aichi,0,49,0
2016.10.28,Aichi,0,49,0
2016.10.29,Aichi,0,49,0
2016.10.30,Aichi,0,30,0
2016.10.31,Aichi,22,30,36.07872
2016.11.01,Aichi,22,30,36.07872
2016.11.02,Aichi,0,30,0
2016.11.03,Aichi,0,30,0
2016.11.04,Aichi,0,30,0
2016.11.05,Aichi,0,30,0
2016.11.06,Aichi,0,18,0
2016.11.07,Aichi,41,18,28.630209
2016.11.08,Aichi,0,18,0
2016.11.09,Aichi,0,18,0
2016.11.10,Aichi,21,18,14.664255
2016.11.11,Aichi,0,18,0
2016.11.12,Aichi,0,18,0
2016.11.13,Aichi,0,53,0
2016.11.14,Aichi,0,53,0
2016.11.15,Aichi,62,53,47.327209
2016.11.16,Aichi,21,53,16.030184
2016.11.17,Aichi,42,53,32.060368
2016.11.18,Aichi,42,53,32.060368
2016.11.19,Aichi,0,53,0
2016.11.20,Aichi,41,83,44.005692
2016.11.21,Aichi,40,83,42.932381
2016.11.22,Aichi,42,83,45.079002
2016.11.23,Aichi,21,83,22.539501
2016.11.24,Aichi,0,83,0
2016.11.25,Aichi,42,83,45.079002
2016.11.26,Aichi,0,83,0
2016.11.27,Aichi,20,40,19.241982
2016.11.28,Aichi,20,40,19.241982
2016.11.29,Aichi,0,40,0
2016.11.30,Aichi,20,40,19.241982
2016.12.01,Aichi,20,40,19.241982
2016.12.02,Aichi,20,40,19.241982
2016.12.03,Aichi,0,40,0
2016.12.04,Aichi,19,45,21.64723
2016.12.05,Aichi,18,45,20.507902
2016.12.06,Aichi,19,45,21.64723
2016.12.07,Aichi,0,45,0
2016.12.08,Aichi,0,45,0
2016.12.09,Aichi,19,45,21.64723
2016.12.10,Aichi,20,45,22.786558
2016.12.11,Aichi,19,68,15.936308
2016.12.12,Aichi,77,68,64.583984
2016.12.13,Aichi,0,68,0
2016.12.14,Aichi,39,68,32.711369
2016.12.15,Aichi,40,68,33.550121
2016.12.16,Aichi,20,68,16.775061
2016.12.17,Aichi,0,68,0
2016.12.18,Aichi,0,28,0
2016.12.19,Aichi,0,28,0
2016.12.20,Aichi,0,28,0
2016.12.21,Aichi,0,28,0
2016.12.22,Aichi,19,28,22.061928
2016.12.23,Aichi,19,28,22.061928
2016.12.24,Aichi,20,28,23.223082
2016.12.25,Aichi,20,23,18.137934
2016.12.26,Aichi,0,23,0
2016.12.27,Aichi,0,23,0
2016.12.28,Aichi,41,23,37.182766
2016.12.29,Aichi,0,23,0
2016.12.30,Aichi,0,23,0
2016.12.31,Aichi,0,23,0
2017.01.01,Aichi,26,55,13.81327
2017.01.02,Aichi,0,55,0
2017.01.03,Aichi,25,55,13.28199
2017.01.04,Aichi,24,55,12.75071
2017.01.05,Aichi,49,55,26.0327
2017.01.06,Aichi,74,55,39.31469
2017.01.07,Aichi,51,55,27.095259
2017.01.08,Aichi,0,32,0
2017.01.09,Aichi,24,32,12.481286
2017.01.10,Aichi,25,32,13.001339
2017.01.11,Aichi,51,32,26.522734
2017.01.12,Aichi,0,32,0
2017.01.13,Aichi,0,32,0
2017.01.14,Aichi,48,32,24.962572
2017.01.15,Aichi,48,22,25.655975
2017.01.16,Aichi,25,22,13.362487
2017.01.17,Aichi,0,22,0
2017.01.18,Aichi,26,22,13.896987
2017.01.19,Aichi,0,22,0
2017.01.20,Aichi,0,22,0
2017.01.21,Aichi,0,22,0
2017.01.22,Aichi,25,28,13.257273
2017.01.23,Aichi,25,28,13.257273
2017.01.24,Aichi,0,28,0
2017.01.25,Aichi,0,28,0
2017.01.26,Aichi,26,28,13.787563
2017.01.27,Aichi,0,28,0
2017.01.28,Aichi,51,28,27.044834
2017.01.29,Aichi,97,49,57.738094
2017.01.30,Aichi,25,49,14.880952
2017.01.31,Aichi,26,49,15.47619
2017.02.01,Aichi,0,49,0
2017.02.02,Aichi,0,49,0
2017.02.03,Aichi,25,49,14.880952
2017.02.04,Aichi,25,49,14.880952
2017.02.05,Aichi,0,43,0
2017.02.06,Aichi,75,43,39.375252
2017.02.07,Aichi,25,43,13.125084
2017.02.08,Aichi,0,43,0
2017.02.09,Aichi,24,43,12.60008
2017.02.10,Aichi,25,43,13.125084
2017.02.11,Aichi,48,43,25.200161
2017.02.12,Aichi,24,86,13.453743
2017.02.13,Aichi,75,86,42.04295
2017.02.14,Aichi,25,86,14.014316
2017.02.15,Aichi,52,86,29.149778
2017.02.16,Aichi,50,86,28.028631
2017.02.17,Aichi,70,86,39.240086
2017.02.18,Aichi,73,86,40.921803
2017.02.19,Aichi,0,86,0
2017.02.20,Aichi,74,86,40.927803
2017.02.21,Aichi,76,86,42.033955
2017.02.22,Aichi,25,86,13.82696
2017.02.23,Aichi,74,86,40.927803
2017.02.24,Aichi,51,86,28.206999
2017.02.25,Aichi,74,86,40.927803
2017.02.26,Aichi,0,64,0
2017.02.27,Aichi,73,64,41.619694
2017.02.28,Aichi,50,64,28.506639
2017.03.01,Aichi,73,64,41.619694
2017.03.02,Aichi,0,64,0
2017.03.03,Aichi,74,64,42.189827
2017.03.04,Aichi,0,64,0
2017.03.05,Aichi,24,37,12.789581
2017.03.06,Aichi,0,37,0
2017.03.07,Aichi,71,37,37.835842
2017.03.08,Aichi,24,37,12.789581
2017.03.09,Aichi,24,37,12.789581
2017.03.10,Aichi,0,37,0
2017.03.11,Aichi,24,37,12.789581
2017.03.12,Aichi,47,74,23.302094
2017.03.13,Aichi,65,74,32.226299
2017.03.14,Aichi,0,74,0
2017.03.15,Aichi,73,74,36.192616
2017.03.16,Aichi,100,74,49.578926
2017.03.17,Aichi,25,74,12.394732
2017.03.18,Aichi,49,74,24.293673
2017.03.19,Aichi,24,42,12.433281
2017.03.20,Aichi,24,42,12.433281
2017.03.21,Aichi,0,42,0
2017.03.22,Aichi,48,42,24.866562
2017.03.23,Aichi,25,42,12.951334
2017.03.24,Aichi,25,42,12.951334
2017.03.25,Aichi,49,42,25.384615
2017.03.26,Aichi,23,51,11.904454
2017.03.27,Aichi,24,51,12.422039
2017.03.28,Aichi,24,51,12.422039
2017.03.29,Aichi,95,51,49.17057
2017.03.30,Aichi,0,51,0
2017.03.31,Aichi,47,51,24.326492
2017.04.01,Aichi,24,51,12.422039
2017.04.02,Aichi,0,37,0
2017.04.03,Aichi,0,37,0
2017.04.04,Aichi,0,37,0
2017.04.05,Aichi,26,37,30.049978
2017.04.06,Aichi,25,37,28.894209
2017.04.07,Aichi,26,37,30.049978
2017.04.08,Aichi,0,37,0
2017.04.09,Aichi,0,32,0
2017.04.10,Aichi,0,32,0
2017.04.11,Aichi,0,32,0
2017.04.12,Aichi,27,32,76.967926
2017.04.13,Aichi,0,32,0
2017.04.14,Aichi,0,32,0
2017.04.15,Aichi,0,32,0
2017.04.16,Aichi,26,75,19.542639
2017.04.17,Aichi,26,75,19.542639
2017.04.18,Aichi,54,75,40.588558
2017.04.19,Aichi,27,75,20.294279
2017.04.20,Aichi,27,75,20.294279
2017.04.21,Aichi,27,75,20.294279
2017.04.22,Aichi,53,75,39.836918
2017.04.23,Aichi,53,81,42.845348
2017.04.24,Aichi,53,81,42.845348
2017.04.25,Aichi,0,81,0
2017.04.26,Aichi,26,81,21.018473
2017.04.27,Aichi,0,81,0
2017.04.28,Aichi,55,81,44.462154
2017.04.29,Aichi,54,81,43.653751
2017.04.30,Aichi,0,47,0
2017.05.01,Aichi,52,47,45.569195
2017.05.02,Aichi,0,47,0
2017.05.03,Aichi,0,47,0
2017.05.04,Aichi,26,47,22.784597
2017.05.05,Aichi,26,47,22.784597
2017.05.06,Aichi,25,47,21.908264
2017.05.07,Aichi,50,83,35.396378
2017.05.08,Aichi,52,83,36.812233
2017.05.09,Aichi,0,83,0
2017.05.10,Aichi,77,83,54.510422
2017.05.11,Aichi,26,83,18.406116
2017.05.12,Aichi,77,83,54.510422
2017.05.13,Aichi,0,83,0
2017.05.14,Aichi,25,48,21.865889
2017.05.15,Aichi,26,48,22.740524
2017.05.16,Aichi,0,48,0
2017.05.17,Aichi,54,48,47.23032
2017.05.18,Aichi,27,48,23.61516
2017.05.19,Aichi,0,48,0
2017.05.20,Aichi,0,48,0
2017.05.21,Aichi,52,65,77.426079
2017.05.22,Aichi,53,65,78.915039
2017.05.23,Aichi,0,65,0
2017.05.24,Aichi,0,65,0
2017.05.25,Aichi,0,65,0
2017.05.26,Aichi,0,65,0
2017.05.27,Aichi,0,65,0
2017.05.28,Aichi,26,59,19.944056
2017.05.29,Aichi,0,59,0
2017.05.30,Aichi,53,59,40.65519
2017.05.31,Aichi,0,59,0
2017.06.01,Aichi,26,59,19.944056
2017.06.02,Aichi,54,59,41.422264
2017.06.03,Aichi,26,59,19.944056
2017.06.04,Aichi,26,53,21.111029
2017.06.05,Aichi,27,53,21.922991
2017.06.06,Aichi,26,53,21.111029
2017.06.07,Aichi,52,53,42.222057
2017.06.08,Aichi,0,53,0
2017.06.09,Aichi,0,53,0
2017.06.10,Aichi,26,53,21.111029
2017.06.11,Aichi,26,58,19.929195
2017.06.12,Aichi,26,58,19.929195
2017.06.13,Aichi,0,58,0
2017.06.14,Aichi,52,58,39.858391
2017.06.15,Aichi,0,58,0
2017.06.16,Aichi,0,58,0
2017.06.17,Aichi,78,58,59.78759
2017.06.18,Aichi,0,50,0
2017.06.19,Aichi,0,50,0
2017.06.20,Aichi,25,50,24.64393
2017.06.21,Aichi,0,50,0
2017.06.22,Aichi,0,50,0
2017.06.23,Aichi,72,50,70.974525
2017.06.24,Aichi,25,50,24.64393
2017.06.25,Aichi,0,62,0
2017.06.26,Aichi,25,62,29.126045
2017.06.27,Aichi,26,62,30.291086
2017.06.28,Aichi,51,62,59.417133
2017.06.29,Aichi,26,62,30.291086
2017.06.30,Aichi,0,62,0
2017.07.01,Aichi,0,62,0
2017.07.02,Aichi,0,42,0
2017.07.03,Aichi,0,42,0
2017.07.04,Aichi,34,42,32.402771
2017.07.05,Aichi,18,42,17.154408
2017.07.06,Aichi,0,42,0
2017.07.07,Aichi,18,42,17.154408
2017.07.08,Aichi,36,42,34.308815
2017.07.09,Aichi,0,37,0
2017.07.10,Aichi,0,37,0
2017.07.11,Aichi,17,37,88.994171
2017.07.12,Aichi,0,37,0
2017.07.13,Aichi,0,37,0
2017.07.14,Aichi,0,37,0
2017.07.15,Aichi,0,37,0
2017.07.16,Aichi,0,42,0
2017.07.17,Aichi,0,42,0
2017.07.18,Aichi,18,42,20.431093
2017.07.19,Aichi,18,42,20.431093
2017.07.20,Aichi,35,42,39.727127
2017.07.21,Aichi,0,42,0
2017.07.22,Aichi,18,42,20.431093
2017.07.23,Aichi,0,31,0
2017.07.24,Aichi,17,31,18.370518
2017.07.25,Aichi,0,31,0
2017.07.26,Aichi,0,31,0
2017.07.27,Aichi,0,31,0
