date,raw_daily,raw_weekly,medications2_harmonized_daily
2015.12.27,9,8,4.3909092
2015.12.28,14,8,6.8303032
2015.12.29,16,8,7.8060608
2015.12.30,11,8,5.3666668
2015.12.31,14,8,6.8303032
2016.01.01,5,8,2.439394
2016.01.02,11,8,5.3666668
2016.01.03,8,6,3.4952512
2016.01.04,6,6,2.6214385
2016.01.05,7,6,3.0583446
2016.01.06,13,6,5.6797833
2016.01.07,10,6,4.3690639
2016.01.08,12,6,5.242877
2016.01.09,11,6,4.8059707
2016.01.10,6,7,2.8069739
2016.01.11,10,7,4.6782899
2016.01.12,15,7,7.0174346
2016.01.13,11,7,5.1461186
2016.01.14,12,7,5.6139479
2016.01.15,8,7,3.7426319
2016.01.16,11,7,5.1461186
2016.01.17,7,7,3.1455348
2016.01.18,13,7,5.8417072
2016.01.19,15,7,6.7404308
2016.01.20,15,7,6.7404308
2016.01.21,10,7,4.4936209
2016.01.22,7,7,3.1455348
2016.01.23,9,7,4.0442586
2016.01.24,11,9,5.1935487
2016.01.25,16,9,7.5542526
2016.01.26,11,9,5.1935487
2016.01.27,14,9,6.609971
2016.01.28,15,9,7.0821114
2016.01.29,10,9,4.7214079
2016.01.30,16,9,7.5542526
2016.01.31,10,11,4.9691358
2016.02.01,11,11,5.4660492
2016.02.02,16,11,7.9506173
2016.02.03,14,11,6.95679
2016.02.04,19,11,9.4413576
2016.02.05,15,11,7.4537034
2016.02.06,23,11,11.429012
2016.02.07,15,14,6.8761444
2016.02.08,26,14,11.918651
2016.02.09,28,14,12.835469
2016.02.10,27,14,12.377059
2016.02.11,20,14,9.1681929
2016.02.12,18,14,8.2513733
2016.02.13,15,14,6.8761444
2016.02.14,20,23,9.3901367
2016.02.15,31,23,14.554712
2016.02.16,31,23,14.554712
2016.02.17,43,23,20.188793
2016.02.18,40,23,18.780273
2016.02.19,42,23,19.719286
2016.02.20,32,23,15.024219
2016.02.21,45,35,20.824095
2016.02.22,52,35,24.063398
2016.02.23,59,35,27.302704
2016.02.24,61,35,28.228218
2016.02.25,57,35,26.377188
2016.02.26,42,35,19.435822
2016.02.27,53,35,24.526155
2016.02.28,85,52,37.633934
2016.02.29,77,52,34.091915
2016.03.01,87,52,38.519436
2016.03.02,68,52,30.107145
2016.03.03,73,52,32.320908
2016.03.04,89,52,39.404942
2016.03.05,94,52,41.618702
2016.03.06,100,56,45.384075
2016.03.07,93,56,42.207191
2016.03.08,85,56,38.576466
2016.03.09,95,56,43.114872
2016.03.10,88,56,39.937984
2016.03.11,68,56,30.861172
2016.03.12,73,56,33.130375
2016.03.13,54,44,24.150002
2016.03.14,44,44,19.67778
2016.03.15,69,44,30.858335
2016.03.16,87,44,38.908337
2016.03.17,84,44,37.566673
2016.03.18,78,44,34.883335
2016.03.19,64,44,28.622225
2016.03.20,60,38,26.173262
2016.03.21,65,38,28.354366
2016.03.22,76,38,33.152798
2016.03.23,67,38,29.226809
2016.03.24,62,38,27.045702
2016.03.25,41,38,17.885061
2016.03.26,54,38,23.555935
2016.03.27,39,26,17.542877
2016.03.28,40,26,17.992693
2016.03.29,37,26,16.643242
2016.03.30,43,26,19.342146
2016.03.31,45,26,20.241781
2016.04.01,35,26,15.743608
2016.04.02,43,26,19.342146
2016.04.03,29,19,13.441061
2016.04.04,31,19,14.368031
2016.04.05,31,19,14.368031
2016.04.06,30,19,13.904547
2016.04.07,28,19,12.977577
2016.04.08,26,19,12.050607
2016.04.09,25,19,11.587122
2016.04.10,25,16,11.215604
2016.04.11,26,16,11.664228
2016.04.12,28,16,12.561477
2016.04.13,25,16,11.215604
2016.04.14,24,16,10.766979
2016.04.15,18,16,8.0752354
2016.04.16,28,16,12.561477
2016.04.17,18,12,8.4985342
2016.04.18,21,12,9.9149561
2016.04.19,17,12,8.0263939
2016.04.20,19,12,8.9706745
2016.04.21,16,12,7.5542526
2016.04.22,17,12,8.0263939
2016.04.23,16,12,7.5542526
2016.04.24,16,12,7.4938183
2016.04.25,20,12,9.3672724
2016.04.26,19,12,8.8989096
2016.04.27,20,12,9.3672724
2016.04.28,16,12,7.4938183
2016.04.29,17,12,7.962182
2016.04.30,17,12,7.962182
2016.05.01,13,10,6.0404043
2016.05.02,15,10,6.969697
2016.05.03,15,10,6.969697
2016.05.04,15,10,6.969697
2016.05.05,17,10,7.8989906
2016.05.06,16,10,7.4343438
2016.05.07,14,10,6.5050511
2016.05.08,16,9,7.8060613
2016.05.09,10,9,4.8787885
2016.05.10,12,9,5.8545461
2016.05.11,13,9,6.3424249
2016.05.12,11,9,5.3666673
2016.05.13,12,9,5.8545461
2016.05.14,16,9,7.8060613
2016.05.15,13,10,5.8187385
2016.05.16,14,10,6.2663331
2016.05.17,14,10,6.2663331
2016.05.18,14,10,6.2663331
2016.05.19,18,10,8.0567141
2016.05.20,16,10,7.1615238
2016.05.21,20,10,8.9519053
2016.05.22,16,10,7.3642077
2016.05.23,19,10,8.744997
2016.05.24,23,10,10.586049
2016.05.25,16,10,7.3642077
2016.05.26,9,10,4.1423669
2016.05.27,12,10,5.5231562
2016.05.28,11,10,5.0628929
2016.05.29,13,7,5.7658401
2016.05.30,10,7,4.4352617
2016.05.31,12,7,5.3223143
2016.06.01,9,7,3.9917355
2016.06.02,10,7,4.4352617
2016.06.03,12,7,5.3223143
2016.06.04,11,7,4.878788
2016.06.05,6,6,2.787879
2016.06.06,11,6,5.1111112
2016.06.07,7,6,3.2525256
2016.06.08,12,6,5.575758
2016.06.09,9,6,4.1818185
2016.06.10,10,6,4.6464648
2016.06.11,8,6,3.7171719
2016.06.12,6,6,2.8328447
2016.06.13,7,6,3.3049855
2016.06.14,12,6,5.6656895
2016.06.15,8,6,3.7771263
2016.06.16,8,6,3.7771263
2016.06.17,11,6,5.1935487
2016.06.18,10,6,4.7214079
2016.06.19,9,6,4.6220098
2016.06.20,9,6,4.6220098
2016.06.21,7,6,3.5948963
2016.06.22,11,6,5.6491227
2016.06.23,6,6,3.0813396
2016.06.24,9,6,4.6220098
2016.06.25,6,6,3.0813396
2016.06.26,13,6,5.8545461
2016.06.27,9,6,4.0531473
2016.06.28,9,6,4.0531473
2016.06.29,9,6,4.0531473
2016.06.30,6,6,2.7020979
2016.07.01,10,6,4.5034966
2016.07.02,9,6,4.0531473
2016.07.03,30,6,3.4574091
2016.07.04,24,6,2.7659273
2016.07.05,25,6,2.8811743
2016.07.06,39,6,4.4946318
