date,raw_daily,raw_weekly,suicide2_harmonized_daily
2016.07.12,46,44,21.038948
2016.07.13,43,44,19.666842
2016.07.14,42,44,19.209475
2016.07.15,44,44,20.12421
2016.07.16,47,44,21.496315
2016.07.17,50,43,23.187712
2016.07.18,44,43,20.405186
2016.07.19,44,43,20.405186
2016.07.20,45,43,20.86894
2016.07.21,37,43,17.158907
2016.07.22,34,43,15.767643
2016.07.23,39,43,18.086414
2016.07.24,44,39,19.935881
2016.07.25,37,39,16.764263
2016.07.26,43,39,19.482792
2016.07.27,37,39,16.764263
2016.07.28,37,39,16.764263
2016.07.29,37,39,16.764263
2016.07.30,37,39,16.764263
2016.07.31,44,43,20.545427
2016.08.01,48,43,22.413195
2016.08.02,40,43,18.677662
2016.08.03,39,43,18.21072
2016.08.04,42,43,19.611546
2016.08.05,40,43,18.677662
2016.08.06,38,43,17.743778
2016.08.07,39,38,17.474327
2016.08.08,39,38,17.474327
2016.08.09,35,38,15.68209
2016.08.10,43,38,19.266565
2016.08.11,35,38,15.68209
2016.08.12,34,38,15.23403
2016.08.13,43,38,19.266565
2016.08.14,47,39,21.452885
2016.08.15,36,39,16.431997
2016.08.16,42,39,19.170664
2016.08.17,39,39,17.801331
2016.08.18,37,39,16.888441
2016.08.19,38,39,17.344887
2016.08.20,31,39,14.149776
2016.08.21,40,45,18.114649
2016.08.22,34,45,15.397451
2016.08.23,45,45,20.378979
2016.08.24,49,45,22.190443
2016.08.25,47,45,21.284712
2016.08.26,43,45,19.473246
2016.08.27,56,45,25.360508
2016.08.28,55,60,25.684727
2016.08.29,57,60,26.618717
2016.08.30,68,60,31.755663
2016.08.31,58,60,27.085711
2016.09.01,59,60,27.552708
2016.09.02,55,60,25.684727
2016.09.03,54,60,25.217733
2016.09.04,48,49,22.252453
2016.09.05,48,49,22.252453
2016.09.06,42,49,19.470898
2016.09.07,55,49,25.497602
2016.09.08,50,49,23.17964
2016.09.09,46,49,21.325266
2016.09.10,45,49,20.861675
2016.09.11,48,48,21.604273
2016.09.12,48,48,21.604273
2016.09.13,44,48,19.803917
2016.09.14,45,48,20.254005
2016.09.15,39,48,17.553471
2016.09.16,47,48,21.154182
2016.09.17,66,48,29.705873
2016.09.18,54,45,24.690674
2016.09.19,54,45,24.690674
2016.09.20,42,45,19.203857
2016.09.21,37,45,16.917685
2016.09.22,40,45,18.289389
2016.09.23,40,45,18.289389
2016.09.24,44,45,20.118328
2016.09.25,47,45,21.284712
2016.09.26,45,45,20.378979
2016.09.27,38,45,17.208916
2016.09.28,40,45,18.114649
2016.09.29,42,45,19.02038
2016.09.30,52,45,23.549044
2016.10.01,50,45,22.643311
2016.10.02,51,53,23.726334
2016.10.03,48,53,22.330666
2016.10.04,42,53,19.539333
2016.10.05,44,53,20.469778
2016.10.06,46,53,21.400223
2016.10.07,64,53,29.774221
2016.10.08,65,53,30.239445
2016.10.09,57,56,25.863382
2016.10.10,62,56,28.132099
2016.10.11,56,56,25.409639
2016.10.12,54,56,24.502151
2016.10.13,54,56,24.502151
2016.10.14,56,56,25.409639
2016.10.15,51,56,23.140921
2016.10.16,51,67,23.422386
2016.10.17,63,67,28.933535
2016.10.18,87,67,39.955833
2016.10.19,100,67,45.92625
2016.10.20,60,67,27.555748
2016.10.21,48,67,22.0446
2016.10.22,52,67,23.881649
2016.10.23,71,56,32.381855
2016.10.24,66,56,30.101446
2016.10.25,58,56,26.452784
2016.10.26,54,56,24.628454
2016.10.27,55,56,25.084536
2016.10.28,42,56,19.155464
2016.10.29,42,56,19.155464
2016.10.30,47,47,21.34691
2016.10.31,39,47,17.713392
2016.11.01,44,47,19.984341
2016.11.02,46,47,20.892719
2016.11.03,52,47,23.617857
2016.11.04,51,47,23.163668
2016.11.05,48,47,21.801098
2016.11.06,47,46,21.967588
2016.11.07,50,46,23.369772
2016.11.08,41,46,19.163214
2016.11.09,38,46,17.761028
2016.11.10,49,46,22.902378
2016.11.11,44,46,20.565401
2016.11.12,42,46,19.63061
2016.11.13,48,46,22.079998
2016.11.14,38,46,17.479998
2016.11.15,39,46,17.939999
2016.11.16,45,46,20.699997
2016.11.17,50,46,22.999998
2016.11.18,54,46,24.839998
2016.11.19,42,46,19.319998
2016.11.20,44,44,20.190626
2016.11.21,41,44,18.813992
2016.11.22,44,44,20.190626
2016.11.23,51,44,23.402771
2016.11.24,44,44,20.190626
2016.11.25,45,44,20.649506
2016.11.26,34,44,15.601849
2016.11.27,42,44,19.336689
2016.11.28,45,44,20.71788
2016.11.29,36,44,16.574305
2016.11.30,41,44,18.876289
2016.12.01,42,44,19.336689
2016.12.02,54,44,24.861454
2016.12.03,42,44,19.336689
2016.12.04,39,43,17.6644
2016.12.05,41,43,18.570265
2016.12.06,41,43,18.570265
2016.12.07,38,43,17.211466
2016.12.08,51,43,23.099598
2016.12.09,49,43,22.193733
2016.12.10,41,43,18.570265
2016.12.11,43,38,18.983232
2016.12.12,34,38,15.009999
2016.12.13,45,38,19.866175
2016.12.14,38,38,16.775881
2016.12.15,37,38,16.33441
2016.12.16,39,38,17.217352
2016.12.17,36,38,15.892941
2016.12.18,48,42,21.816984
2016.12.19,42,42,19.089861
2016.12.20,44,42,19.998903
2016.12.21,38,42,17.27178
2016.12.22,37,42,16.817261
2016.12.23,45,42,20.453424
2016.12.24,38,42,17.27178
2016.12.25,43,40,19.004194
2016.12.26,40,40,17.67832
2016.12.27,34,40,15.026572
2016.12.28,48,40,21.213984
2016.12.29,46,40,20.330069
2016.12.30,35,40,15.46853
2016.12.31,40,40,17.67832
2017.01.01,32,37,15.271183
2017.01.02,35,37,16.702856
2017.01.03,34,37,16.225632
2017.01.04,34,37,16.225632
