date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2015.05.06,Aichi,24,51,22.946369
2015.05.07,Aichi,23,51,21.990271
2015.05.08,Aichi,13,51,12.429282
2015.05.09,Aichi,11,51,10.517086
2015.05.10,Aichi,22,42,20.314287
2015.05.11,Aichi,16,42,14.774026
2015.05.12,Aichi,18,42,16.620779
2015.05.13,Aichi,10,42,9.2337666
2015.05.14,Aichi,17,42,15.697402
2015.05.15,Aichi,12,42,11.08052
2015.05.16,Aichi,15,42,13.85065
2015.05.17,Aichi,6,31,6.5190773
2015.05.18,Aichi,18,31,19.557234
2015.05.19,Aichi,8,31,8.6921034
2015.05.20,Aichi,12,31,13.038155
2015.05.21,Aichi,10,31,10.865129
2015.05.22,Aichi,4,31,4.3460517
2015.05.23,Aichi,11,31,11.951642
2015.05.24,Aichi,15,40,13.95212
2015.05.25,Aichi,8,40,7.4411302
2015.05.26,Aichi,14,40,13.021977
2015.05.27,Aichi,11,40,10.231554
2015.05.28,Aichi,23,40,21.39325
2015.05.29,Aichi,13,40,12.091837
2015.05.30,Aichi,20,40,18.602825
2015.05.31,Aichi,11,37,10.043628
2015.06.01,Aichi,12,37,10.956684
2015.06.02,Aichi,18,37,16.435026
2015.06.03,Aichi,18,37,16.435026
2015.06.04,Aichi,8,37,7.3044562
2015.06.05,Aichi,15,37,13.695856
2015.06.06,Aichi,16,37,14.608912
2015.06.07,Aichi,17,50,15.226757
2015.06.08,Aichi,4,50,3.5827663
2015.06.09,Aichi,12,50,10.7483
2015.06.10,Aichi,31,50,27.766439
2015.06.11,Aichi,18,50,16.122448
2015.06.12,Aichi,29,50,25.975056
2015.06.13,Aichi,24,50,21.496599
2015.06.14,Aichi,21,39,20.210642
2015.06.15,Aichi,6,39,5.7744694
2015.06.16,Aichi,14,39,13.473761
2015.06.17,Aichi,16,39,15.398584
2015.06.18,Aichi,24,39,23.097878
2015.06.19,Aichi,8,39,7.6992922
2015.06.20,Aichi,9,39,8.6617041
2015.06.21,Aichi,14,40,13.679653
2015.06.22,Aichi,8,40,7.8169451
2015.06.23,Aichi,16,40,15.63389
2015.06.24,Aichi,15,40,14.656773
2015.06.25,Aichi,20,40,19.542362
