date,raw_daily,raw_weekly,medication_harmonized_daily
2016.07.06,47,8,6.0548973
2016.07.07,58,8,7.4720006
2016.07.08,45,8,5.7972422
2016.07.09,51,8,6.5702071
2016.07.10,32,8,3.9983947
2016.07.11,38,8,4.7480936
2016.07.12,54,8,6.7472911
2016.07.13,45,8,5.6227427
2016.07.14,39,8,4.8730435
2016.07.15,43,8,5.3728428
2016.07.16,48,8,5.997592
2016.07.17,33,7,4.1491156
2016.07.18,38,7,4.7777696
2016.07.19,45,7,5.6578846
2016.07.20,38,7,4.7777696
2016.07.21,33,7,4.1491156
2016.07.22,29,7,3.6461923
2016.07.23,44,7,5.5321541
2016.07.24,61,8,7.3752747
2016.07.25,33,8,3.9899027
2016.07.26,46,8,5.5616832
2016.07.27,63,8,7.6170874
2016.07.28,21,8,2.5390291
2016.07.29,38,8,4.5944338
2016.07.30,47,8,5.6825891
2016.07.31,35,7,4.253346
2016.08.01,43,7,5.2255392
2016.08.02,50,7,6.0762086
2016.08.03,38,7,4.617919
2016.08.04,34,7,4.1318221
2016.08.05,29,7,3.5242012
2016.08.06,40,7,4.8609672
2016.08.07,25,7,3.0045958
2016.08.08,31,7,3.7256985
2016.08.09,49,7,5.8890076
2016.08.10,28,7,3.3651471
2016.08.11,59,7,7.0908456
2016.08.12,38,7,4.5669851
2016.08.13,42,7,5.0477209
2016.08.14,52,7,6.5129504
2016.08.15,54,7,6.7634482
2016.08.16,42,7,5.2604599
2016.08.17,38,7,4.7594638
2016.08.18,23,7,2.880728
2016.08.19,29,7,3.6322222
2016.08.20,23,7,2.880728
2016.08.21,37,8,4.733973
2016.08.22,39,8,4.9898634
2016.08.23,48,8,6.1413703
2016.08.24,45,8,5.757534
2016.08.25,53,8,6.7810965
2016.08.26,45,8,5.757534
2016.08.27,25,8,3.1986301
2016.08.28,40,7,4.9718633
2016.08.29,23,7,2.8588214
2016.08.30,46,7,5.7176428
2016.08.31,30,7,3.7288973
2016.09.01,41,7,5.0961595
2016.09.02,44,7,5.4690495
2016.09.03,39,7,4.8475666
2016.09.04,36,10,4.7224717
2016.09.05,57,10,7.4772472
2016.09.06,42,10,5.5095506
2016.09.07,66,10,8.6578655
2016.09.08,42,10,5.5095506
2016.09.09,61,10,8.0019665
2016.09.10,52,10,6.8213487
2016.09.11,39,8,4.8893962
2016.09.12,41,8,5.1401343
2016.09.13,65,8,8.1489935
2016.09.14,57,8,7.14604
2016.09.15,20,8,2.5073824
2016.09.16,20,8,2.5073824
2016.09.17,56,8,7.0206709
2016.09.18,27,8,3.6680729
2016.09.19,36,8,4.8907638
2016.09.20,33,8,4.4832001
2016.09.21,64,8,8.6946907
2016.09.22,41,8,5.5700364
2016.09.23,48,8,6.5210185
2016.09.24,26,8,3.5322185
2016.09.25,38,8,4.564888
2016.09.26,41,8,4.9252739
2016.09.27,53,8,6.3668175
2016.09.28,41,8,4.9252739
2016.09.29,41,8,4.9252739
2016.09.30,42,8,5.0454021
2016.10.01,55,8,6.6070747
2016.10.02,37,10,4.6448927
2016.10.03,50,10,6.2768817
2016.10.04,38,10,4.7704301
2016.10.05,65,10,8.1599464
2016.10.06,61,10,7.6577959
2016.10.07,67,10,8.4110212
2016.10.08,54,10,6.7790322
2016.10.09,46,12,5.7285337
2016.10.10,46,12,5.7285337
2016.10.11,59,12,7.3474669
2016.10.12,100,12,12.453333
2016.10.13,71,12,8.8418665
2016.10.14,59,12,7.3474669
2016.10.15,69,12,8.5928001
2016.10.16,40,10,5.3219376
2016.10.17,50,10,6.652422
2016.10.18,46,10,6.1202278
2016.10.19,68,10,9.0472937
2016.10.20,37,10,4.922792
2016.10.21,52,10,6.9185185
2016.10.22,58,10,7.7168093
2016.10.23,62,11,7.6930919
2016.10.24,89,11,11.043308
2016.10.25,57,11,7.0726814
2016.10.26,58,11,7.1967635
2016.10.27,54,11,6.7004347
2016.10.28,47,11,5.8318601
2016.10.29,47,11,5.8318601
2016.10.30,68,12,8.6215391
2016.10.31,50,12,6.3393669
2016.11.01,47,12,5.9590049
2016.11.02,76,12,9.6358376
2016.11.03,70,12,8.8751135
2016.11.04,67,12,8.4947519
2016.11.05,64,12,8.1143894
2016.11.06,57,13,7.6221814
2016.11.07,67,13,8.9594059
2016.11.08,77,13,10.296631
2016.11.09,64,13,8.558239
2016.11.10,44,13,5.8837891
2016.11.11,90,13,12.035023
2016.11.12,55,13,7.3547363
2016.11.13,38,10,4.7576408
2016.11.14,68,10,8.5136738
2016.11.15,52,10,6.5104566
2016.11.16,60,10,7.5120645
2016.11.17,49,10,6.1348524
2016.11.18,66,10,8.2632713
2016.11.19,40,10,5.0080433
2016.11.20,55,10,7.1149583
2016.11.21,59,10,7.63241
2016.11.22,58,10,7.503047
2016.11.23,35,10,4.5277009
2016.11.24,51,10,6.597507
2016.11.25,58,10,7.503047
2016.11.26,45,10,5.8213296
2016.11.27,46,9,5.6864119
2016.11.28,64,9,7.9115291
2016.11.29,51,9,6.3045001
2016.11.30,44,9,5.4391766
2016.12.01,57,9,7.0462055
2016.12.02,41,9,5.0683231
2016.12.03,37,9,4.573853
2016.12.04,20,7,2.5341086
2016.12.05,40,7,5.0682173
2016.12.06,41,7,5.1949229
2016.12.07,57,7,7.2222095
2016.12.08,32,7,4.054574
2016.12.09,38,7,4.8148065
2016.12.10,30,7,3.8011627
2016.12.11,40,9,5.1100307
2016.12.12,57,9,7.2817941
2016.12.13,45,9,5.7487845
2016.12.14,54,9,6.8985415
2016.12.15,34,9,4.3435264
2016.12.16,52,9,6.6430397
2016.12.17,47,9,6.0042858
2016.12.18,33,8,4.3411264
2016.12.19,47,8,6.1828165
2016.12.20,54,8,7.1036615
2016.12.21,56,8,7.3667603
2016.12.22,39,8,5.1304221
2016.12.23,31,8,4.0780282
2016.12.24,24,8,3.1571832
2016.12.25,30,9,3.7864864
2016.12.26,54,9,6.8156757
2016.12.27,52,9,6.5632429
2016.12.28,53,9,6.6894593
2016.12.29,44,9,5.5535131
2016.12.30,43,9,5.4272971
2016.12.31,57,9,7.194324
2017.01.01,10,8,5.3371429
2017.01.02,11,8,5.8708572
2017.01.03,8,8,4.2697144
2017.01.04,8,8,4.2697144
2017.01.05,12,8,6.404572
2017.01.06,9,8,4.8034291
2017.01.07,12,8,6.404572
2017.01.08,11,9,5.8522787
2017.01.09,13,9,6.9163289
2017.01.10,14,9,7.4483552
2017.01.11,8,9,4.2562027
2017.01.12,12,9,6.384304
2017.01.13,9,9,4.788228
2017.01.14,12,9,6.384304
2017.01.15,9,10,4.6700001
2017.01.16,11,10,5.707778
2017.01.17,18,10,9.3400002
2017.01.18,11,10,5.707778
2017.01.19,14,10,7.2644448
2017.01.20,13,10,6.7455559
2017.01.21,14,10,7.2644448
2017.01.22,12,12,6.344151
2017.01.23,8,12,4.229434
2017.01.24,18,12,9.5162268
2017.01.25,18,12,9.5162268
2017.01.26,14,12,7.4015093
2017.01.27,19,12,10.044906
2017.01.28,17,12,8.9875469
2017.01.29,14,23,7.2295198
2017.01.30,37,23,19.106586
2017.01.31,27,23,13.942646
2017.02.01,37,23,19.106586
2017.02.02,28,23,14.45904
2017.02.03,26,23,13.42625
2017.02.04,39,23,20.139378
2017.02.05,30,25,15.162337
2017.02.06,36,25,18.194807
2017.02.07,38,25,19.205627
2017.02.08,29,25,14.656926
2017.02.09,31,25,15.667749
2017.02.10,37,25,18.700216
2017.02.11,30,25,15.162337
2017.02.12,23,30,11.346127
2017.02.13,45,30,22.198944
2017.02.14,40,30,19.732393
2017.02.15,40,30,19.732393
2017.02.16,48,30,23.678871
2017.02.17,50,30,24.665491
2017.02.18,38,30,18.745773
2017.02.19,49,44,25.046072
2017.02.20,66,44,33.735523
2017.02.21,65,44,33.22438
2017.02.22,58,44,29.64637
2017.02.23,49,44,25.046072
2017.02.24,56,44,28.624083
2017.02.25,59,44,30.157515
2017.02.26,55,53,26.903259
2017.02.27,87,53,42.556068
2017.02.28,77,53,37.664566
2017.03.01,66,53,32.283913
2017.03.02,58,53,28.370712
2017.03.03,71,53,34.729664
2017.03.04,92,53,45.00182
2017.03.05,100,62,50.618881
2017.03.06,97,62,49.100315
2017.03.07,95,62,48.08794
2017.03.08,81,62,41.001293
2017.03.09,69,62,34.927029
2017.03.10,65,62,32.902271
2017.03.11,65,62,32.902271
2017.03.12,68,49,34.425751
2017.03.13,65,49,32.906971
2017.03.14,61,49,30.881926
2017.03.15,58,49,29.363144
2017.03.16,69,49,34.932014
2017.03.17,61,49,30.881926
2017.03.18,70,49,35.438274
2017.03.19,87,46,43.564896
2017.03.20,70,46,35.052216
2017.03.21,55,46,27.541027
2017.03.22,66,46,33.049232
2017.03.23,52,46,26.03879
2017.03.24,46,46,23.034313
2017.03.25,53,46,26.539536
2017.03.26,27,23,13.364379
2017.03.27,35,23,17.324194
2017.03.28,36,23,17.819172
2017.03.29,31,23,15.344286
2017.03.30,32,23,15.839263
2017.03.31,34,23,16.829218
2017.04.01,22,23,10.889493
2017.04.02,33,23,16.878714
2017.04.03,32,23,16.367239
2017.04.04,33,23,16.878714
2017.04.05,37,23,18.92462
2017.04.06,31,23,15.855762
2017.04.07,19,23,9.7180481
2017.04.08,25,23,12.786904
2017.04.09,20,22,10.172277
2017.04.10,27,22,13.732574
2017.04.11,29,22,14.749803
2017.04.12,29,22,14.749803
2017.04.13,28,22,14.241189
2017.04.14,38,22,19.327328
2017.04.15,31,22,15.76703
2017.04.16,39,20,19.904921
2017.04.17,24,20,12.249182
2017.04.18,28,20,14.29071
2017.04.19,19,20,9.6972685
2017.04.20,25,20,12.759563
2017.04.21,25,20,12.759563
2017.04.22,23,20,11.738798
2017.04.23,17,15,8.6293488
2017.04.24,28,15,14.213045
2017.04.25,26,15,13.197827
2017.04.26,19,15,9.6445665
2017.04.27,18,15,9.1369572
2017.04.28,16,15,8.1217403
2017.04.29,14,15,7.1065226
2017.04.30,17,15,8.8211107
2017.05.01,24,15,12.453333
2017.05.02,21,15,10.896667
2017.05.03,21,15,10.896667
2017.05.04,18,15,9.3399992
2017.05.05,18,15,9.3399992
2017.05.06,16,15,8.3022223
2017.05.07,12,12,5.7476926
2017.05.08,17,12,8.1425648
2017.05.09,23,12,11.016411
2017.05.10,14,12,6.7056413
2017.05.11,18,12,8.6215391
2017.05.12,18,12,8.6215391
2017.05.13,15,12,7.1846156
2017.05.14,13,11,6.8846402
2017.05.15,14,11,7.414227
2017.05.16,12,11,6.3550525
2017.05.17,17,11,9.0029907
2017.05.18,11,11,5.8254642
2017.05.19,17,11,9.0029907
2017.05.20,13,11,6.8846402
2017.05.21,16,13,8.0946674
2017.05.22,19,13,9.6124182
2017.05.23,25,13,12.647918
2017.05.24,17,13,8.600584
2017.05.25,15,13,7.5887508
2017.05.26,15,13,7.5887508
2017.05.27,13,13,6.5769172
2017.05.28,12,11,6.6283875
2017.05.29,16,11,8.8378496
2017.05.30,16,11,8.8378496
2017.05.31,13,11,7.1807532
2017.06.01,12,11,6.6283875
2017.06.02,11,11,6.0760217
2017.06.03,13,11,7.1807532
2017.06.04,8,8,4.1511111
2017.06.05,14,8,7.2644448
2017.06.06,14,8,7.2644448
2017.06.07,10,8,5.188889
2017.06.08,8,8,4.1511111
2017.06.09,10,8,5.188889
2017.06.10,8,8,4.1511111
2017.06.11,9,10,4.6700001
2017.06.12,13,10,6.7455559
2017.06.13,6,10,3.1133337
2017.06.14,22,10,11.415556
2017.06.15,17,10,8.8211117
2017.06.16,13,10,6.7455559
2017.06.17,10,10,5.188889
2017.06.18,13,8,6.9382863
2017.06.19,9,8,4.8034291
2017.06.20,10,8,5.3371429
2017.06.21,11,8,5.8708572
2017.06.22,9,8,4.8034291
2017.06.23,10,8,5.3371429
2017.06.24,8,8,4.2697144
2017.06.25,6,8,3.202286
2017.06.26,14,8,7.4720001
2017.06.27,11,8,5.8708572
