date,raw_daily,raw_weekly,anxietydrug2_harmonized_daily
2015.12.27,52,43,37.145271
2015.12.28,47,43,33.573612
2015.12.29,40,43,28.573286
2015.12.30,35,43,25.001625
2015.12.31,34,43,24.287292
2016.01.01,41,43,29.287619
2016.01.02,58,43,41.431267
2016.01.03,43,57,31.250248
2016.01.04,67,57,48.692242
2016.01.05,69,57,50.145744
2016.01.06,60,57,43.604996
2016.01.07,48,57,34.883999
2016.01.08,50,57,36.337498
2016.01.09,63,57,45.785244
2016.01.10,46,53,32.893646
2016.01.11,36,53,25.742853
2016.01.12,49,53,35.038887
2016.01.13,59,53,42.189682
2016.01.14,76,53,54.346027
2016.01.15,48,53,34.323807
2016.01.16,64,53,45.765076
2016.01.17,49,55,34.533916
2016.01.18,63,55,44.400749
2016.01.19,49,55,34.533916
2016.01.20,66,55,46.515072
2016.01.21,75,55,52.858032
2016.01.22,59,55,41.581654
2016.01.23,37,55,26.076632
2016.01.24,45,46,30.958941
2016.01.25,53,46,36.462753
2016.01.26,56,46,38.526684
2016.01.27,50,46,34.398823
2016.01.28,39,46,26.831083
2016.01.29,52,46,35.774776
2016.01.30,46,46,31.646919
2016.01.31,53,63,38.09597
2016.02.01,66,63,47.440262
2016.02.02,96,63,69.004021
2016.02.03,78,63,56.065765
2016.02.04,56,63,40.252346
2016.02.05,50,63,35.939594
2016.02.06,48,63,34.50201
2016.02.07,50,55,36.146904
2016.02.08,66,55,47.713917
2016.02.09,57,55,41.207474
2016.02.10,36,55,26.02577
2016.02.11,47,55,33.978092
2016.02.12,67,55,48.436855
2016.02.13,65,55,46.990978
2016.02.14,75,68,51.50494
2016.02.15,79,68,54.251873
2016.02.16,66,68,45.324348
2016.02.17,75,68,51.50494
2016.02.18,68,68,46.697815
2016.02.19,74,68,50.818207
2016.02.20,68,68,46.697815
2016.02.21,75,67,54.066452
2016.02.22,57,67,41.090504
2016.02.23,95,67,68.484169
2016.02.24,66,67,47.578476
2016.02.25,64,67,46.136703
2016.02.26,52,67,37.486073
2016.02.27,65,67,46.85759
2016.02.28,63,70,44.273621
2016.02.29,64,70,44.976376
2016.03.01,86,70,60.437004
2016.03.02,90,70,63.248028
2016.03.03,58,70,40.759838
2016.03.04,70,70,49.192909
2016.03.05,77,70,54.112198
2016.03.06,62,74,44.484406
2016.03.07,83,74,59.551704
2016.03.08,87,74,62.421665
2016.03.09,78,74,55.964249
2016.03.10,77,74,55.246758
2016.03.11,71,74,50.941818
2016.03.12,68,74,48.789345
2016.03.13,64,67,46.529354
2016.03.14,48,67,34.897015
2016.03.15,76,67,55.253609
2016.03.16,85,67,61.796803
2016.03.17,82,67,59.615738
2016.03.18,74,67,53.799568
2016.03.19,41,67,29.807869
2016.03.20,59,66,41.633957
2016.03.21,60,66,42.339619
2016.03.22,68,66,47.984901
2016.03.23,80,66,56.452824
2016.03.24,65,66,45.867916
2016.03.25,82,66,57.864143
2016.03.26,63,66,44.4566
2016.03.27,77,64,53.817551
2016.03.28,51,64,35.645393
2016.03.29,86,64,60.107918
2016.03.30,75,64,52.419697
2016.03.31,50,64,34.946461
2016.04.01,62,64,43.333614
2016.04.02,66,64,46.12933
2016.04.03,40,63,28.880896
2016.04.04,78,63,56.317745
2016.04.05,70,63,50.541565
2016.04.06,78,63,56.317745
2016.04.07,63,63,45.487408
2016.04.08,47,63,33.935051
2016.04.09,69,63,49.819546
2016.04.10,79,68,56.372833
2016.04.11,60,68,42.814812
2016.04.12,80,68,57.086411
2016.04.13,69,68,49.237034
2016.04.14,72,68,51.377773
2016.04.15,63,68,44.955551
2016.04.16,63,68,44.955551
2016.04.17,63,67,42.882668
2016.04.18,85,67,57.857563
2016.04.19,69,67,46.966728
2016.04.20,85,67,57.857563
2016.04.21,70,67,47.647408
2016.04.22,57,67,38.798603
2016.04.23,73,67,49.689438
2016.04.24,67,64,47.852951
2016.04.25,78,64,55.709408
2016.04.26,90,64,64.28009
2016.04.27,56,64,39.996494
2016.04.28,51,64,36.425381
2016.04.29,46,64,32.854267
2016.04.30,69,64,49.281403
2016.05.01,48,52,34.404324
2016.05.02,58,52,41.571888
2016.05.03,55,52,39.421619
2016.05.04,56,52,40.138374
2016.05.05,40,52,28.670269
2016.05.06,62,52,44.438915
2016.05.07,51,52,36.554592
2016.05.08,67,65,47.970837
2016.05.09,62,65,44.390923
2016.05.10,61,65,43.674938
2016.05.11,66,65,47.254848
2016.05.12,77,65,55.130661
2016.05.13,78,65,55.846649
2016.05.14,52,65,37.231098
2016.05.15,60,62,43.118179
2016.05.16,81,62,58.209541
2016.05.17,70,62,50.304543
2016.05.18,62,62,44.55545
2016.05.19,69,62,49.585903
2016.05.20,54,62,38.806362
2016.05.21,44,62,31.619999
2016.05.22,86,77,59.145706
2016.05.23,80,77,55.01926
2016.05.24,100,77,68.774078
2016.05.25,83,77,57.082481
2016.05.26,83,77,57.082481
2016.05.27,69,77,47.454113
2016.05.28,70,77,48.141853
2016.05.29,54,64,39.167999
2016.05.30,54,64,39.167999
2016.05.31,67,64,48.597332
2016.06.01,78,64,56.575996
2016.06.02,71,64,51.498665
2016.06.03,65,64,47.146664
2016.06.04,61,64,44.245331
2016.06.05,56,70,40.225346
2016.06.06,55,70,39.507038
2016.06.07,86,70,61.774643
2016.06.08,75,70,53.873238
2016.06.09,68,70,48.845066
2016.06.10,76,70,54.591541
2016.06.11,81,70,58.183094
2016.06.12,45,69,32.449791
2016.06.13,86,69,62.015156
2016.06.14,89,69,64.178474
2016.06.15,66,69,47.593029
2016.06.16,58,69,41.824177
2016.06.17,70,69,50.477451
2016.06.18,74,69,53.361877
2016.06.19,48,64,34.661949
2016.06.20,75,64,54.15929
2016.06.21,63,64,45.493805
2016.06.22,78,64,56.325661
2016.06.23,55,64,39.716816
2016.06.24,52,64,37.550442
2016.06.25,81,64,58.492031
2016.06.26,77,74,53.814438
2016.06.27,86,74,60.104435
2016.06.28,68,74,47.524441
2016.06.29,78,74,54.513329
2016.06.30,80,74,55.911106
2016.07.01,95,74,66.394432
2016.07.02,56,74,39.137775
2016.07.03,49,59,49.81115
2016.07.04,37,59,37.612499
2016.07.05,43,59,43.711823
2016.07.06,48,59,48.794594
2016.07.07,40,59,40.662163
2016.07.08,37,59,37.612499
2016.07.09,42,59,42.695271
2016.07.10,38,69,38.20628
2016.07.11,42,69,42.227997
2016.07.12,52,69,52.282284
2016.07.13,57,69,57.309422
2016.07.14,50,69,50.271423
2016.07.15,58,69,58.314854
2016.07.16,53,69,53.287708
2016.07.17,39,68,40.373726
2016.07.18,61,68,63.148647
2016.07.19,64,68,66.254318
2016.07.20,46,68,47.620293
2016.07.21,52,68,53.831638
2016.07.22,42,68,43.479397
2016.07.23,31,68,32.091938
2016.07.24,37,57,37.217644
2016.07.25,47,57,47.276466
2016.07.26,39,57,39.229408
2016.07.27,49,57,49.288231
2016.07.28,39,57,39.229408
2016.07.29,42,57,42.247055
2016.07.30,36,57,36.211761
2016.07.31,37,61,37.494137
2016.08.01,52,61,52.694462
2016.08.02,39,61,39.520844
2016.08.03,32,61,32.427361
2016.08.04,51,61,51.681103
2016.08.05,60,61,60.8013
2016.08.06,36,61,36.480782
2016.08.07,46,55,46.247311
2016.08.08,40,55,40.215054
2016.08.09,36,55,36.193546
2016.08.10,52,55,52.279564
2016.08.11,33,55,33.177418
2016.08.12,28,55,28.150536
2016.08.13,44,55,44.236557
2016.08.14,47,72,48.478649
2016.08.15,34,72,35.06966
2016.08.16,64,72,66.013481
2016.08.17,66,72,68.076401
2016.08.18,40,72,41.258427
2016.08.19,48,72,49.510109
2016.08.20,57,72,58.793255
2016.08.21,47,81,46.897823
2016.08.22,33,81,32.928257
2016.08.23,72,81,71.843475
2016.08.24,94,81,93.795647
2016.08.25,55,81,54.880432
2016.08.26,66,81,65.856514
2016.08.27,47,81,46.897823
2016.08.28,34,84,34.597622
2016.08.29,70,84,71.2304
2016.08.30,57,84,58.001896
2016.08.31,70,84,71.2304
2016.09.01,62,84,63.089783
2016.09.02,68,84,69.195244
2016.09.03,60,84,61.054626
2016.09.04,60,86,61.485977
2016.09.05,57,86,58.411678
2016.09.06,66,86,67.634575
2016.09.07,70,86,71.733643
2016.09.08,68,86,69.684105
2016.09.09,54,86,55.337379
2016.09.10,53,86,54.312614
2016.09.11,47,100,46.999996
2016.09.12,77,100,77
2016.09.13,100,100,100
2016.09.14,88,100,87.999992
2016.09.15,84,100,83.999992
2016.09.16,80,100,79.999992
2016.09.17,34,100,34
2016.09.18,59,81,59.446091
2016.09.19,58,81,58.43853
2016.09.20,73,81,73.551949
2016.09.21,49,81,49.370483
2016.09.22,59,81,59.446091
2016.09.23,71,81,71.536827
2016.09.24,41,81,41.309998
2016.09.25,56,96,56.298969
2016.09.26,70,96,70.373711
2016.09.27,79,96,79.421761
2016.09.28,83,96,83.443115
2016.09.29,74,96,74.395065
2016.09.30,83,96,83.443115
2016.10.01,42,96,42.224228
2016.10.02,65,93,66.58638
2016.10.03,43,93,44.049454
2016.10.04,74,93,75.806038
2016.10.05,70,93,71.70842
2016.10.06,92,93,94.245346
2016.10.07,55,93,56.342327
2016.10.08,64,93,65.561981
2016.10.09,34,97,33.639595
2016.10.10,69,97,68.268593
2016.10.11,75,97,74.204987
2016.10.12,65,97,64.310989
2016.10.13,91,97,90.035393
2016.10.14,97,97,95.971794
2016.10.15,69,97,68.268593
2016.10.16,51,83,50.79599
2016.10.17,55,83,54.779995
2016.10.18,83,83,82.667984
2016.10.19,70,83,69.719994
2016.10.20,63,83,62.747993
2016.10.21,61,83,60.755993
2016.10.22,42,83,41.831993
2016.10.23,37,63,37.739998
2016.10.24,49,63,49.979996
2016.10.25,40,63,40.799995
2016.10.26,53,63,54.059994
2016.10.27,47,63,47.939991
2016.10.28,57,63,58.139992
2016.10.29,32,63,32.639996
2016.10.30,30,58,29.678928
2016.10.31,70,58,69.250824
2016.11.01,41,58,40.561199
2016.11.02,44,58,43.529095
2016.11.03,60,58,59.357857
2016.11.04,35,58,34.625412
2016.11.05,19,58,18.796654
2016.11.06,43,67,43.088264
2016.11.07,65,67,65.133423
2016.11.08,62,67,62.12727
2016.11.09,46,67,46.094425
2016.11.10,44,67,44.090317
2016.11.11,44,67,44.090317
2016.11.12,37,67,37.075947
2016.11.13,28,74,28.406448
2016.11.14,58,74,58.84193
2016.11.15,79,74,80.146767
2016.11.16,63,74,63.914513
2016.11.17,54,74,54.783867
2016.11.18,52,74,52.754833
2016.11.19,38,74,38.551609
2016.11.20,44,66,44.34251
2016.11.21,53,66,53.412571
2016.11.22,51,66,51.397003
2016.11.23,40,66,40.311375
2016.11.24,38,66,38.295803
2016.11.25,63,66,63.490417
2016.11.26,45,66,45.350296
2016.11.27,45,80,46.015034
2016.11.28,41,80,41.924809
2016.11.29,66,80,67.488716
2016.11.30,73,80,74.646606
2016.12.01,61,80,62.375935
2016.12.02,51,80,52.150372
2016.12.03,62,80,63.398495
2016.12.04,54,71,54.771423
2016.12.05,46,71,46.657139
2016.12.06,50,71,50.714279
2016.12.07,50,71,50.714279
2016.12.08,51,71,51.728569
2016.12.09,59,71,59.84285
2016.12.10,47,71,47.671425
2016.12.11,42,62,42.429386
2016.12.12,53,62,53.541847
2016.12.13,41,62,41.419163
2016.12.14,45,62,45.46006
2016.12.15,55,62,55.562294
2016.12.16,43,62,43.439613
2016.12.17,34,62,34.347599
2016.12.18,55,65,54.588318
2016.12.19,52,65,51.610771
2016.12.20,46,65,45.655682
2016.12.21,51,65,50.618256
2016.12.22,61,65,60.543407
2016.12.23,26,65,25.805386
2016.12.24,43,65,42.678135
2016.12.25,56,61,56.933331
2016.12.26,46,61,46.766663
2016.12.27,59,61,59.983326
2016.12.28,42,61,42.699997
2016.12.29,54,61,54.899998
2016.12.30,31,61,31.516665
2016.12.31,18,61,18.299999
2017.01.01,22,65,19.041773
2017.01.02,41,65,35.486938
2017.01.03,52,65,45.007824
2017.01.04,56,65,48.469967
2017.01.05,64,65,55.394249
2017.01.06,79,65,68.377274
2017.01.07,69,65,59.721924
2017.01.08,43,63,36.072842
2017.01.09,37,63,31.039421
2017.01.10,69,63,57.884327
2017.01.11,70,63,58.723228
