date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2016.07.12,11,37,9.2707548
2016.07.13,45,37,37.925819
2016.07.14,22,37,18.54151
2016.07.15,34,37,28.655064
2016.07.16,23,37,19.384306
2016.07.17,58,67,43.686367
2016.07.18,34,67,25.609247
2016.07.19,69,67,51.97171
2016.07.20,46,67,34.647804
2016.07.21,100,67,75.32132
2016.07.22,22,67,16.57069
2016.07.23,58,67,43.686367
2016.07.24,12,40,9.3646259
2016.07.25,33,40,25.75272
2016.07.26,44,40,34.336964
2016.07.27,34,40,26.533108
2016.07.28,55,40,42.921204
2016.07.29,45,40,35.117348
2016.07.30,0,40,0
2016.07.31,12,31,8.8925362
2016.08.01,11,31,8.1514912
2016.08.02,33,31,24.454473
2016.08.03,33,31,24.454473
2016.08.04,56,31,41.498505
2016.08.05,24,31,17.785072
2016.08.06,13,31,9.6335802
2016.08.07,0,33,0
2016.08.08,36,33,27.492401
2016.08.09,24,33,18.328266
2016.08.10,25,33,19.091946
2016.08.11,39,33,29.783434
2016.08.12,38,33,29.019756
2016.08.13,26,33,19.855623
2016.08.14,26,41,21.080873
2016.08.15,13,41,10.540437
2016.08.16,25,41,20.270071
2016.08.17,38,41,30.810505
2016.08.18,12,41,9.7296333
2016.08.19,65,41,52.702179
2016.08.20,41,41,33.242916
2016.08.21,40,63,32.057415
2016.08.22,58,63,46.483253
2016.08.23,49,63,39.270332
2016.08.24,57,63,45.681816
2016.08.25,91,63,72.930618
2016.08.26,35,63,28.050238
2016.08.27,12,63,9.6172247
2016.08.28,24,48,18.771341
2016.08.29,22,48,17.207064
2016.08.30,34,48,26.592733
2016.08.31,81,48,63.353275
2016.09.01,12,48,9.3856707
2016.09.02,59,48,46.146214
2016.09.03,35,48,27.374872
2016.09.04,67,55,48.729916
2016.09.05,45,55,32.729046
2016.09.06,11,55,8.0004339
2016.09.07,79,55,57.457664
2016.09.08,45,55,32.729046
2016.09.09,46,55,33.45636
2016.09.10,36,55,26.183239
2016.09.11,35,45,28.315174
2016.09.12,34,45,27.50617
2016.09.13,22,45,17.798109
2016.09.14,47,45,38.023235
2016.09.15,46,45,37.21423
2016.09.16,58,45,46.922291
2016.09.17,0,45,0
2016.09.18,34,50,28.229404
2016.09.19,32,50,26.568851
2016.09.20,33,50,27.399128
2016.09.21,23,50,19.096361
2016.09.22,34,50,28.229404
2016.09.23,47,50,39.023003
2016.09.24,59,50,48.98632
2016.09.25,36,54,30.205938
2016.09.26,58,54,48.665123
2016.09.27,23,54,19.298239
2016.09.28,35,54,29.366882
2016.09.29,46,54,38.596478
2016.09.30,47,54,39.435528
2016.10.01,35,54,29.366882
2016.10.02,47,37,41.118366
2016.10.03,45,37,39.368645
2016.10.04,11,37,9.6234465
2016.10.05,0,37,0
2016.10.06,58,37,50.741814
2016.10.07,0,37,0
2016.10.08,23,37,20.121754
2016.10.09,23,38,16.975302
2016.10.10,23,38,16.975302
