date,prefecture,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2016.05.30,Aichi,0,33,0
2016.05.31,Aichi,0,33,0
2016.06.01,Aichi,53,33,21.084991
2016.06.02,Aichi,26,33,10.34358
2016.06.03,Aichi,26,33,10.34358
2016.06.04,Aichi,0,33,0
2016.06.05,Aichi,0,46,0
2016.06.06,Aichi,26,46,8.4106894
2016.06.07,Aichi,51,46,16.49789
2016.06.08,Aichi,52,46,16.821379
2016.06.09,Aichi,51,46,16.49789
2016.06.10,Aichi,0,46,0
2016.06.11,Aichi,0,46,0
2016.06.12,Aichi,0,64,0
2016.06.13,Aichi,49,64,17.487316
2016.06.14,Aichi,25,64,8.9220991
2016.06.15,Aichi,52,64,18.557966
2016.06.16,Aichi,50,64,17.844198
2016.06.17,Aichi,0,64,0
2016.06.18,Aichi,51,64,18.201084
2016.06.19,Aichi,25,50,8.9902182
2016.06.20,Aichi,0,50,0
2016.06.21,Aichi,51,50,18.340046
2016.06.22,Aichi,25,50,8.9902182
2016.06.23,Aichi,0,50,0
2016.06.24,Aichi,25,50,8.9902182
2016.06.25,Aichi,50,50,17.980436
2016.06.26,Aichi,77,83,24.739674
2016.06.27,Aichi,0,83,0
2016.06.28,Aichi,25,83,8.032361
2016.06.29,Aichi,50,83,16.064722
2016.06.30,Aichi,50,83,16.064722
2016.07.01,Aichi,26,83,8.3536558
2016.07.02,Aichi,99,83,31.808151
2016.07.03,Aichi,0,66,0
2016.07.04,Aichi,0,66,0
2016.07.05,Aichi,26,66,20.886078
2016.07.06,Aichi,27,66,21.689388
2016.07.07,Aichi,0,66,0
2016.07.08,Aichi,26,66,20.886078
2016.07.09,Aichi,25,66,20.082767
2016.07.10,Aichi,0,79,0
2016.07.11,Aichi,0,79,0
2016.07.12,Aichi,53,79,67.088608
2016.07.13,Aichi,0,79,0
2016.07.14,Aichi,0,79,0
2016.07.15,Aichi,0,79,0
2016.07.16,Aichi,26,79,32.911392
2016.07.17,Aichi,0,39,0
2016.07.18,Aichi,0,39,0
2016.07.19,Aichi,0,39,0
2016.07.20,Aichi,0,39,0
2016.07.21,Aichi,26,39,49.367088
2016.07.22,Aichi,0,39,0
2016.07.23,Aichi,0,39,0
2016.07.24,Aichi,0,39,0
2016.07.25,Aichi,0,39,0
2016.07.26,Aichi,0,39,0
2016.07.27,Aichi,0,39,0
2016.07.28,Aichi,0,39,0
2016.07.29,Aichi,26,39,49.367088
2016.07.30,Aichi,0,39,0
2016.07.31,Aichi,0,53,0
2016.08.01,Aichi,0,53,0
2016.08.02,Aichi,0,53,0
2016.08.03,Aichi,26,53,67.088608
2016.08.04,Aichi,0,53,0
2016.08.05,Aichi,0,53,0
2016.08.06,Aichi,0,53,0
2016.08.07,Aichi,0,29,0
2016.08.08,Aichi,0,29,0
2016.08.09,Aichi,28,29,18.032421
2016.08.10,Aichi,29,29,18.676435
2016.08.11,Aichi,0,29,0
2016.08.12,Aichi,0,29,0
2016.08.13,Aichi,0,29,0
2016.08.14,Aichi,0,30,0
2016.08.15,Aichi,0,30,0
2016.08.16,Aichi,88,30,37.974686
2016.08.17,Aichi,0,30,0
2016.08.18,Aichi,0,30,0
2016.08.19,Aichi,0,30,0
2016.08.20,Aichi,0,30,0
2016.08.21,Aichi,0,35,0
2016.08.22,Aichi,0,35,0
2016.08.23,Aichi,0,35,0
2016.08.24,Aichi,0,35,0
2016.08.25,Aichi,0,35,0
2016.08.26,Aichi,0,35,0
2016.08.27,Aichi,0,35,0
2016.08.28,Aichi,0,75,0
2016.08.29,Aichi,0,75,0
2016.08.30,Aichi,0,75,0
2016.08.31,Aichi,55,75,47.468353
2016.09.01,Aichi,55,75,47.468353
2016.09.02,Aichi,0,75,0
2016.09.03,Aichi,0,75,0
2016.09.04,Aichi,0,48,0
2016.09.05,Aichi,0,48,0
2016.09.06,Aichi,0,48,0
2016.09.07,Aichi,27,48,60.759495
2016.09.08,Aichi,0,48,0
2016.09.09,Aichi,0,48,0
2016.09.10,Aichi,0,48,0
2016.09.11,Aichi,0,20,0
2016.09.12,Aichi,0,20,0
2016.09.13,Aichi,0,20,0
2016.09.14,Aichi,0,20,0
2016.09.15,Aichi,0,20,0
2016.09.16,Aichi,0,20,0
2016.09.17,Aichi,0,20,0
2016.09.18,Aichi,26,46,58.227848
2016.09.19,Aichi,0,46,0
2016.09.20,Aichi,0,46,0
2016.09.21,Aichi,0,46,0
