date,raw_daily,raw_weekly,prefecture
2016-05-19,21.0,42.0,Hokkaido
2016-05-20,0.0,42.0,Hokkaido
2016-05-21,31.0,42.0,Hokkaido
2016-05-22,41.0,80.0,Hokkaido
2016-05-23,73.0,80.0,Hokkaido
2016-05-24,41.0,80.0,Hokkaido
2016-05-25,51.0,80.0,Hokkaido
2016-05-26,0.0,80.0,Hokkaido
2016-05-27,11.0,80.0,Hokkaido
2016-05-28,21.0,80.0,Hokkaido
2016-05-29,41.0,53.0,Hokkaido
2016-05-30,10.0,53.0,Hokkaido
2016-05-31,10.0,53.0,Hokkaido
2016-06-01,31.0,53.0,Hokkaido
2016-06-02,41.0,53.0,Hokkaido
2016-06-03,10.0,53.0,Hokkaido
2016-06-04,0.0,53.0,Hokkaido
2016-06-05,41.0,92.0,Hokkaido
2016-06-06,31.0,92.0,Hokkaido
2016-06-07,20.0,92.0,Hokkaido
2016-06-08,49.0,92.0,Hokkaido
2016-06-09,78.0,92.0,Hokkaido
2016-06-10,21.0,92.0,Hokkaido
2016-06-11,21.0,92.0,Hokkaido
2016-06-12,20.0,66.0,Hokkaido
2016-06-13,39.0,66.0,Hokkaido
2016-06-14,20.0,66.0,Hokkaido
2016-06-15,21.0,66.0,Hokkaido
2016-06-16,40.0,66.0,Hokkaido
2016-06-17,39.0,66.0,Hokkaido
2016-06-18,0.0,66.0,Hokkaido
2016-06-19,30.0,68.0,Hokkaido
2016-06-20,48.0,68.0,Hokkaido
2016-06-21,30.0,68.0,Hokkaido
2016-06-22,10.0,68.0,Hokkaido
2016-06-23,51.0,68.0,Hokkaido
2016-06-24,0.0,68.0,Hokkaido
2016-06-25,19.0,68.0,Hokkaido
2016-06-26,30.0,63.0,Hokkaido
2016-06-27,51.0,63.0,Hokkaido
2016-06-28,10.0,63.0,Hokkaido
2016-06-29,10.0,63.0,Hokkaido
2016-06-30,21.0,63.0,Hokkaido
2016-07-01,20.0,63.0,Hokkaido
2016-07-02,38.0,63.0,Hokkaido
2016-07-03,63.0,67.0,Hokkaido
2016-07-04,63.0,67.0,Hokkaido
2016-07-05,13.0,67.0,Hokkaido
2016-07-06,40.0,67.0,Hokkaido
2016-07-07,27.0,67.0,Hokkaido
2016-07-08,27.0,67.0,Hokkaido
2016-07-09,0.0,67.0,Hokkaido
2016-07-10,50.0,67.0,Hokkaido
2016-07-11,51.0,67.0,Hokkaido
2016-07-12,67.0,67.0,Hokkaido
2016-07-13,40.0,67.0,Hokkaido
2016-07-14,13.0,67.0,Hokkaido
2016-07-15,26.0,67.0,Hokkaido
2016-07-16,13.0,67.0,Hokkaido
2016-07-17,25.0,43.0,Hokkaido
2016-07-18,0.0,43.0,Hokkaido
2016-07-19,13.0,43.0,Hokkaido
2016-07-20,51.0,43.0,Hokkaido
2016-07-21,13.0,43.0,Hokkaido
2016-07-22,12.0,43.0,Hokkaido
2016-07-23,50.0,43.0,Hokkaido
2016-07-24,63.0,69.0,Hokkaido
2016-07-25,88.0,69.0,Hokkaido
2016-07-26,60.0,69.0,Hokkaido
2016-07-27,47.0,69.0,Hokkaido
2016-07-28,0.0,69.0,Hokkaido
2016-07-29,0.0,69.0,Hokkaido
2016-07-30,12.0,69.0,Hokkaido
2016-07-31,48.0,53.0,Hokkaido
2016-08-01,12.0,53.0,Hokkaido
2016-08-02,24.0,53.0,Hokkaido
2016-08-03,24.0,53.0,Hokkaido
2016-08-04,0.0,53.0,Hokkaido
2016-08-05,13.0,53.0,Hokkaido
2016-08-06,58.0,53.0,Hokkaido
