date,prefecture,raw_daily,raw_weekly,suicide1_harmonized_daily
2015.12.27,Aichi,16,26,9.2282763
2015.12.28,Aichi,12,26,6.921207
2015.12.29,Aichi,21,26,12.112112
2015.12.30,Aichi,22,26,12.688879
2015.12.31,Aichi,3,26,1.7303017
2016.01.01,Aichi,18,26,10.38181
2016.01.02,Aichi,20,26,11.535345
2016.01.03,Aichi,14,63,8.0269613
2016.01.04,Aichi,21,63,12.040442
2016.01.05,Aichi,29,63,16.627277
2016.01.06,Aichi,30,63,17.200632
2016.01.07,Aichi,66,63,37.841389
2016.01.08,Aichi,71,63,40.708164
2016.01.09,Aichi,42,63,24.080885
2016.01.10,Aichi,25,52,14.104352
2016.01.11,Aichi,20,52,11.283481
2016.01.12,Aichi,21,52,11.847656
2016.01.13,Aichi,24,52,13.540178
2016.01.14,Aichi,39,52,22.002789
2016.01.15,Aichi,67,52,37.799664
2016.01.16,Aichi,33,52,18.617744
2016.01.17,Aichi,17,30,9.1819811
2016.01.18,Aichi,13,30,7.0215149
2016.01.19,Aichi,13,30,7.0215149
2016.01.20,Aichi,17,30,9.1819811
2016.01.21,Aichi,19,30,10.262214
2016.01.22,Aichi,27,30,14.583146
2016.01.23,Aichi,32,30,17.28373
2016.01.24,Aichi,17,40,9.4914856
2016.01.25,Aichi,33,40,18.424646
2016.01.26,Aichi,18,40,10.049808
2016.01.27,Aichi,23,40,12.841421
2016.01.28,Aichi,35,40,19.541292
2016.01.29,Aichi,28,40,15.633035
2016.01.30,Aichi,24,40,13.399743
2016.01.31,Aichi,9,38,5.1811662
2016.02.01,Aichi,23,38,13.240758
2016.02.02,Aichi,19,38,10.938018
2016.02.03,Aichi,31,38,17.846239
2016.02.04,Aichi,23,38,13.240758
2016.02.05,Aichi,27,38,15.543498
2016.02.06,Aichi,32,38,18.421925
2016.02.07,Aichi,21,33,11.712811
2016.02.08,Aichi,36,33,20.079105
2016.02.09,Aichi,20,33,11.155058
2016.02.10,Aichi,15,33,8.3662939
2016.02.11,Aichi,13,33,7.2507882
2016.02.12,Aichi,26,33,14.501576
2016.02.13,Aichi,16,33,8.9240465
2016.02.14,Aichi,29,44,18.219929
2016.02.15,Aichi,26,44,16.335108
2016.02.16,Aichi,17,44,10.680648
2016.02.17,Aichi,25,44,15.706836
2016.02.18,Aichi,27,44,16.963383
2016.02.19,Aichi,25,44,15.706836
2016.02.20,Aichi,25,44,15.706836
2016.02.21,Aichi,26,45,15.29951
2016.02.22,Aichi,42,45,24.714592
2016.02.23,Aichi,23,45,13.534183
2016.02.24,Aichi,29,45,17.064838
2016.02.25,Aichi,22,45,12.945739
2016.02.26,Aichi,14,45,8.2381973
2016.02.27,Aichi,34,45,20.007051
2016.02.28,Aichi,28,42,16.601217
2016.02.29,Aichi,17,42,10.07931
2016.03.01,Aichi,19,42,11.265112
2016.03.02,Aichi,25,42,14.822515
2016.03.03,Aichi,38,42,22.530224
2016.03.04,Aichi,22,42,13.043813
2016.03.05,Aichi,27,42,16.008318
2016.03.06,Aichi,19,79,11.066138
2016.03.07,Aichi,23,79,13.395851
2016.03.08,Aichi,58,79,33.780842
2016.03.09,Aichi,100,79,58.242828
2016.03.10,Aichi,48,79,27.956558
