date,raw_daily,raw_weekly,prefecture
2016-05-01,37.0,34.0,Hokkaido
2016-05-02,18.0,34.0,Hokkaido
2016-05-03,26.0,34.0,Hokkaido
2016-05-04,21.0,34.0,Hokkaido
2016-05-05,21.0,34.0,Hokkaido
2016-05-06,32.0,34.0,Hokkaido
2016-05-07,21.0,34.0,Hokkaido
2016-05-08,22.0,67.0,Hokkaido
2016-05-09,62.0,67.0,Hokkaido
2016-05-10,80.0,67.0,Hokkaido
2016-05-11,56.0,67.0,Hokkaido
2016-05-12,41.0,67.0,Hokkaido
2016-05-13,46.0,67.0,Hokkaido
2016-05-14,49.0,67.0,Hokkaido
2016-05-15,30.0,43.0,Hokkaido
2016-05-16,51.0,43.0,Hokkaido
2016-05-17,34.0,43.0,Hokkaido
2016-05-18,18.0,43.0,Hokkaido
2016-05-19,22.0,43.0,Hokkaido
2016-05-20,41.0,43.0,Hokkaido
2016-05-21,29.0,43.0,Hokkaido
2016-05-22,36.0,43.0,Hokkaido
2016-05-23,19.0,43.0,Hokkaido
2016-05-24,29.0,43.0,Hokkaido
2016-05-25,52.0,43.0,Hokkaido
2016-05-26,26.0,43.0,Hokkaido
2016-05-27,30.0,43.0,Hokkaido
2016-05-28,26.0,43.0,Hokkaido
2016-05-29,26.0,36.0,Hokkaido
2016-05-30,11.0,36.0,Hokkaido
2016-05-31,29.0,36.0,Hokkaido
2016-06-01,52.0,36.0,Hokkaido
2016-06-02,22.0,36.0,Hokkaido
2016-06-03,33.0,36.0,Hokkaido
2016-06-04,17.0,36.0,Hokkaido
2016-06-05,22.0,35.0,Hokkaido
2016-06-06,26.0,35.0,Hokkaido
2016-06-07,43.0,35.0,Hokkaido
2016-06-08,38.0,35.0,Hokkaido
2016-06-09,46.0,35.0,Hokkaido
2016-06-10,11.0,35.0,Hokkaido
2016-06-11,19.0,35.0,Hokkaido
2016-06-12,32.0,48.0,Hokkaido
2016-06-13,49.0,48.0,Hokkaido
2016-06-14,32.0,48.0,Hokkaido
2016-06-15,44.0,48.0,Hokkaido
2016-06-16,36.0,48.0,Hokkaido
2016-06-17,35.0,48.0,Hokkaido
2016-06-18,32.0,48.0,Hokkaido
2016-06-19,21.0,34.0,Hokkaido
2016-06-20,10.0,34.0,Hokkaido
2016-06-21,43.0,34.0,Hokkaido
2016-06-22,18.0,34.0,Hokkaido
2016-06-23,18.0,34.0,Hokkaido
2016-06-24,35.0,34.0,Hokkaido
2016-06-25,34.0,34.0,Hokkaido
2016-06-26,11.0,38.0,Hokkaido
2016-06-27,48.0,38.0,Hokkaido
2016-06-28,15.0,38.0,Hokkaido
2016-06-29,26.0,38.0,Hokkaido
2016-06-30,30.0,38.0,Hokkaido
2016-07-01,25.0,38.0,Hokkaido
2016-07-02,30.0,38.0,Hokkaido
2016-07-03,39.0,40.0,Hokkaido
2016-07-04,43.0,40.0,Hokkaido
2016-07-05,44.0,40.0,Hokkaido
2016-07-06,41.0,40.0,Hokkaido
2016-07-07,51.0,40.0,Hokkaido
2016-07-08,32.0,40.0,Hokkaido
2016-07-09,27.0,40.0,Hokkaido
2016-07-10,8.0,39.0,Hokkaido
2016-07-11,31.0,39.0,Hokkaido
2016-07-12,46.0,39.0,Hokkaido
