raw_daily,raw_weekly,prefecture,date,pollen_harmonized_daily
4,3,Aichi,2018.05.27,2.6261537
4,3,Aichi,2018.05.28,2.6261537
5,3,Aichi,2018.05.29,3.2826922
4,3,Aichi,2018.05.30,2.6261537
4,3,Aichi,2018.05.31,2.6261537
2,3,Aichi,2018.06.01,1.3130769
3,3,Aichi,2018.06.02,1.9696153
7,4,Aichi,2018.06.03,6.1276917
2,4,Aichi,2018.06.04,1.7507691
3,4,Aichi,2018.06.05,2.6261537
4,4,Aichi,2018.06.06,3.5015383
6,4,Aichi,2018.06.07,5.2523074
3,4,Aichi,2018.06.08,2.6261537
1,4,Aichi,2018.06.09,.87538457
1,2,Aichi,2018.06.10,.81285709
1,2,Aichi,2018.06.11,.81285709
3,2,Aichi,2018.06.12,2.4385712
5,2,Aichi,2018.06.13,4.0642853
3,2,Aichi,2018.06.14,2.4385712
1,2,Aichi,2018.06.15,.81285709
0,2,Aichi,2018.06.16,0
3,2,Aichi,2018.06.17,2.0082352
3,2,Aichi,2018.06.18,2.0082352
3,2,Aichi,2018.06.19,2.0082352
1,2,Aichi,2018.06.20,.66941172
2,2,Aichi,2018.06.21,1.3388234
4,2,Aichi,2018.06.22,2.6776469
1,2,Aichi,2018.06.23,.66941172
2,2,Aichi,2018.06.24,2.5288887
2,2,Aichi,2018.06.25,2.5288887
3,2,Aichi,2018.06.26,3.7933333
2,2,Aichi,2018.06.27,2.5288887
0,2,Aichi,2018.06.28,0
0,2,Aichi,2018.06.29,0
0,2,Aichi,2018.06.30,0
6,1,Aichi,2018.07.01,.33145627
19,1,Aichi,2018.07.02,1.0496116
21,1,Aichi,2018.07.03,1.160097
20,1,Aichi,2018.07.04,1.1048542
13,1,Aichi,2018.07.05,.71815526
18,1,Aichi,2018.07.06,.99436879
6,1,Aichi,2018.07.07,.33145627
24,0,Aichi,2018.07.08,0
6,0,Aichi,2018.07.09,0
0,0,Aichi,2018.07.10,0
6,0,Aichi,2018.07.11,0
0,0,Aichi,2018.07.12,0
13,0,Aichi,2018.07.13,0
0,0,Aichi,2018.07.14,0
13,1,Aichi,2018.07.15,.92462486
13,1,Aichi,2018.07.16,.92462486
20,1,Aichi,2018.07.17,1.4224999
7,1,Aichi,2018.07.18,.49787498
13,1,Aichi,2018.07.19,.92462486
7,1,Aichi,2018.07.20,.49787498
7,1,Aichi,2018.07.21,.49787498
19,1,Aichi,2018.07.22,1.0199056
0,1,Aichi,2018.07.23,0
13,1,Aichi,2018.07.24,.69783014
31,1,Aichi,2018.07.25,1.6640565
12,1,Aichi,2018.07.26,.64415085
25,1,Aichi,2018.07.27,1.3419811
6,1,Aichi,2018.07.28,.32207543
12,1,Aichi,2018.07.29,.63813078
13,1,Aichi,2018.07.30,.69130832
19,1,Aichi,2018.07.31,1.0103737
19,1,Aichi,2018.08.01,1.0103737
12,1,Aichi,2018.08.02,.63813078
19,1,Aichi,2018.08.03,1.0103737
13,1,Aichi,2018.08.04,.69130832
26,1,Aichi,2018.08.05,1.0567143
19,1,Aichi,2018.08.06,.77221423
12,1,Aichi,2018.08.07,.48771426
19,1,Aichi,2018.08.08,.77221423
19,1,Aichi,2018.08.09,.77221423
13,1,Aichi,2018.08.10,.52835715
32,1,Aichi,2018.08.11,1.3005713
13,1,Aichi,2018.08.12,.69783014
19,1,Aichi,2018.08.13,1.0199056
0,1,Aichi,2018.08.14,0
24,1,Aichi,2018.08.15,1.2883017
12,1,Aichi,2018.08.16,.64415085
31,1,Aichi,2018.08.17,1.6640565
7,1,Aichi,2018.08.18,.37575468
19,1,Aichi,2018.08.19,.92401713
31,1,Aichi,2018.08.20,1.5076067
43,1,Aichi,2018.08.21,2.0911965
0,1,Aichi,2018.08.22,0
18,1,Aichi,2018.08.23,.87538457
6,1,Aichi,2018.08.24,.29179487
0,1,Aichi,2018.08.25,0
26,2,Aichi,2018.08.26,1.5738297
39,2,Aichi,2018.08.27,2.3607442
38,2,Aichi,2018.08.28,2.3002126
6,2,Aichi,2018.08.29,.36319146
25,2,Aichi,2018.08.30,1.5132977
24,2,Aichi,2018.08.31,1.4527658
30,2,Aichi,2018.09.01,1.8159572
12,2,Aichi,2018.09.02,.78482747
28,2,Aichi,2018.09.03,1.8312641
10,2,Aichi,2018.09.04,.65402293
32,2,Aichi,2018.09.05,2.0928733
