date,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.07.07,17,14,3.1906908
2017.07.08,15,14,2.8153155
2017.07.09,16,13,2.9279282
2017.07.10,20,13,3.6599102
2017.07.11,19,13,3.4769149
2017.07.12,16,13,2.9279282
2017.07.13,18,13,3.2939191
2017.07.14,15,13,2.7449327
2017.07.15,16,13,2.9279282
2017.07.16,18,19,3.4387066
2017.07.17,17,19,3.2476676
2017.07.18,19,19,3.629746
2017.07.19,17,19,3.2476676
2017.07.20,35,19,6.6863742
2017.07.21,39,19,7.450531
2017.07.22,23,19,4.3939033
2017.07.23,25,18,4.6634054
2017.07.24,25,18,4.6634054
2017.07.25,23,18,4.2903333
2017.07.26,33,18,6.1556954
2017.07.27,21,18,3.9172606
2017.07.28,19,18,3.5441883
2017.07.29,17,18,3.1711159
2017.07.30,19,14,3.5945947
2017.07.31,18,14,3.4054053
2017.08.01,17,14,3.2162163
2017.08.02,16,14,3.0270269
2017.08.03,19,14,3.5945947
2017.08.04,18,14,3.4054053
2017.08.05,18,14,3.4054053
2017.08.06,18,17,3.4006047
2017.08.07,17,17,3.2116823
2017.08.08,21,17,3.9673722
2017.08.09,24,17,4.5341396
2017.08.10,27,17,5.1009073
2017.08.11,25,17,4.7230625
2017.08.12,20,17,3.7784498
2017.08.13,22,15,4.1291289
2017.08.14,17,15,3.1906905
2017.08.15,19,15,3.5660658
2017.08.16,20,15,3.7537534
2017.08.17,20,15,3.7537534
2017.08.18,18,15,3.3783782
2017.08.19,19,15,3.5660658
2017.08.20,25,16,4.6921921
2017.08.21,18,16,3.3783784
2017.08.22,19,16,3.566066
2017.08.23,20,16,3.7537537
2017.08.24,27,16,5.0675678
2017.08.25,19,16,3.566066
2017.08.26,16,16,3.0030031
2017.08.27,22,19,4.1779947
2017.08.28,22,19,4.1779947
2017.08.29,21,19,3.9880855
2017.08.30,23,19,4.3679032
2017.08.31,25,19,4.7477212
2017.09.01,33,19,6.2669916
2017.09.02,23,19,4.3679032
2017.09.03,21,17,4.0202703
2017.09.04,25,17,4.7860365
2017.09.05,23,17,4.4031534
2017.09.06,23,17,4.4031534
2017.09.07,19,17,3.6373875
2017.09.08,20,17,3.8288288
2017.09.09,19,17,3.6373875
2017.09.10,21,14,3.762285
2017.09.11,21,14,3.762285
2017.09.12,18,14,3.2248156
2017.09.13,19,14,3.4039724
2017.09.14,20,14,3.5831287
2017.09.15,17,14,3.0456593
2017.09.16,16,14,2.866503
2017.09.17,16,14,2.9331658
2017.09.18,18,14,3.2998114
2017.09.19,19,14,3.4831345
2017.09.20,20,14,3.6664572
2017.09.21,18,14,3.2998114
2017.09.22,21,14,3.8497801
2017.09.23,17,14,3.1164887
2017.09.24,17,15,3.2145019
2017.09.25,18,15,3.4035902
2017.09.26,17,15,3.2145019
2017.09.27,24,15,4.5381203
2017.09.28,24,15,4.5381203
2017.09.29,19,15,3.5926785
2017.09.30,15,15,2.8363252
2017.10.01,17,13,3.2181969
2017.10.02,19,13,3.596808
2017.10.03,15,13,2.8395853
2017.10.04,17,13,3.2181969
2017.10.05,17,13,3.2181969
2017.10.06,15,13,2.8395853
2017.10.07,16,13,3.0288911
2017.10.08,19,14,3.6530433
2017.10.09,19,14,3.6530433
2017.10.10,17,14,3.2685125
2017.10.11,19,14,3.6530433
2017.10.12,18,14,3.460778
2017.10.13,16,14,3.076247
2017.10.14,15,14,2.8839817
2017.10.15,18,20,3.3972521
2017.10.16,31,20,5.8508229
2017.10.17,33,20,6.2282958
2017.10.18,28,20,5.2846141
2017.10.19,23,20,4.3409333
2017.10.20,27,20,5.0958781
2017.10.21,19,20,3.5859883
2017.10.22,16,13,2.9775538
2017.10.23,15,13,2.7914565
2017.10.24,20,13,3.7219422
2017.10.25,19,13,3.535845
2017.10.26,16,13,2.9775538
2017.10.27,17,13,3.163651
2017.10.28,15,13,2.7914565
2017.10.29,18,32,3.0888033
2017.10.30,32,32,5.4912057
2017.10.31,100,32,17.160019
2017.11.01,64,32,10.982411
2017.11.02,41,32,7.0356073
2017.11.03,32,32,5.4912057
2017.11.04,28,32,4.8048053
2017.11.05,24,18,4.5324826
2017.11.06,29,18,5.4767499
2017.11.07,24,18,4.5324826
2017.11.08,22,18,4.1547761
2017.11.09,22,18,4.1547761
2017.11.10,20,18,3.7770691
2017.11.11,20,18,3.7770691
2017.11.12,20,14,3.8142982
2017.11.13,18,14,3.4328685
2017.11.14,17,14,3.2421534
2017.11.15,17,14,3.2421534
2017.11.16,15,14,2.8607237
2017.11.17,19,14,3.6235833
2017.11.18,18,14,3.4328685
2017.11.19,18,13,3.3783784
2017.11.20,17,13,3.1906908
2017.11.21,14,13,2.6276278
2017.11.22,17,13,3.1906908
2017.11.23,17,13,3.1906908
2017.11.24,17,13,3.1906908
2017.11.25,17,13,3.1906908
2017.11.26,16,14,3.0270269
2017.11.27,24,14,4.5405407
2017.11.28,15,14,2.8378377
2017.11.29,17,14,3.2162163
2017.11.30,19,14,3.5945947
2017.12.01,18,14,3.4054053
2017.12.02,16,14,3.0270269
2017.12.03,14,12,2.7027028
2017.12.04,16,12,3.0888033
2017.12.05,15,12,2.8957529
2017.12.06,15,12,2.8957529
2017.12.07,16,12,3.0888033
2017.12.08,14,12,2.7027028
2017.12.09,15,12,2.8957529
2017.12.10,16,12,3.0310686
2017.12.11,15,12,2.8416269
2017.12.12,14,12,2.6521852
2017.12.13,15,12,2.8416269
2017.12.14,15,12,2.8416269
2017.12.15,17,12,3.2205102
2017.12.16,15,12,2.8416269
2017.12.17,14,30,2.4980965
2017.12.18,79,30,14.096402
2017.12.19,61,30,10.884563
2017.12.20,39,30,6.9589834
2017.12.21,34,30,6.0668058
2017.12.22,32,30,5.7099352
2017.12.23,25,30,4.4608865
2017.12.24,21,14,3.8798561
2017.12.25,18,14,3.3255911
2017.12.26,23,14,4.2493663
2017.12.27,21,14,3.8798561
2017.12.28,15,14,2.7713258
2017.12.29,15,14,2.7713258
2017.12.30,15,14,2.7713258
2017.12.31,23,17,2.6105652
2018.01.01,20,17,2.2700567
2018.01.02,34,17,3.8590965
2018.01.03,54,17,6.1291533
2018.01.04,44,17,4.9941244
2018.01.05,39,17,4.4266105
2018.01.06,39,17,4.4266105
2018.01.07,31,19,3.5156624
2018.01.08,42,19,4.7631555
2018.01.09,51,19,5.7838321
2018.01.10,41,19,4.6497474
