raw_daily,raw_weekly,prefecture,date,medication_harmonized_daily
4,6,Aichi,2018.05.10,2.8658009
8,6,Aichi,2018.05.11,5.7316017
8,6,Aichi,2018.05.12,5.7316017
0,4,Aichi,2018.05.13,0
4,4,Aichi,2018.05.14,2.1493506
12,4,Aichi,2018.05.15,6.4480515
0,4,Aichi,2018.05.16,0
0,4,Aichi,2018.05.17,0
8,4,Aichi,2018.05.18,4.2987013
8,4,Aichi,2018.05.19,4.2987013
4,7,Aichi,2018.05.20,2.7355373
4,7,Aichi,2018.05.21,2.7355373
16,7,Aichi,2018.05.22,10.942149
8,7,Aichi,2018.05.23,5.4710746
0,7,Aichi,2018.05.24,0
8,7,Aichi,2018.05.25,5.4710746
4,7,Aichi,2018.05.26,2.7355373
0,2,Aichi,2018.05.27,0
4,2,Aichi,2018.05.28,2.8658009
0,2,Aichi,2018.05.29,0
4,2,Aichi,2018.05.30,2.8658009
0,2,Aichi,2018.05.31,0
0,2,Aichi,2018.06.01,0
4,2,Aichi,2018.06.02,2.8658009
0,3,Aichi,2018.06.03,0
4,3,Aichi,2018.06.04,3.224026
0,3,Aichi,2018.06.05,0
0,3,Aichi,2018.06.06,0
0,3,Aichi,2018.06.07,0
4,3,Aichi,2018.06.08,3.224026
8,3,Aichi,2018.06.09,6.4480519
4,4,Aichi,2018.06.10,2.8658009
4,4,Aichi,2018.06.11,2.8658009
0,4,Aichi,2018.06.12,0
4,4,Aichi,2018.06.13,2.8658009
0,4,Aichi,2018.06.14,0
4,4,Aichi,2018.06.15,2.8658009
8,4,Aichi,2018.06.16,5.7316017
4,4,Aichi,2018.06.17,2.9904008
0,4,Aichi,2018.06.18,0
0,4,Aichi,2018.06.19,0
4,4,Aichi,2018.06.20,2.9904008
0,4,Aichi,2018.06.21,0
4,4,Aichi,2018.06.22,2.9904008
11,4,Aichi,2018.06.23,8.2236023
4,5,Aichi,2018.06.24,3.0705011
4,5,Aichi,2018.06.25,3.0705011
4,5,Aichi,2018.06.26,3.0705011
8,5,Aichi,2018.06.27,6.1410022
4,5,Aichi,2018.06.28,3.0705011
4,5,Aichi,2018.06.29,3.0705011
0,5,Aichi,2018.06.30,0
41,5,Aichi,2018.07.01,4.8154855
0,5,Aichi,2018.07.02,0
44,5,Aichi,2018.07.03,5.1678376
21,5,Aichi,2018.07.04,2.4664681
20,5,Aichi,2018.07.05,2.3490171
0,5,Aichi,2018.07.06,0
57,5,Aichi,2018.07.07,6.6946993
19,4,Aichi,2018.07.08,2.2376802
0,4,Aichi,2018.07.09,0
0,4,Aichi,2018.07.10,0
20,4,Aichi,2018.07.11,2.3554528
43,4,Aichi,2018.07.12,5.0642238
