date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2016.05.23,Aichi,0,8,0
2016.05.24,Aichi,18,8,7.617425
2016.05.25,Aichi,12,8,5.0782833
2016.05.26,Aichi,12,8,5.0782833
2016.05.27,Aichi,0,8,0
2016.05.28,Aichi,12,8,5.0782833
2016.05.29,Aichi,6,8,2.5391417
2016.05.30,Aichi,23,8,9.7333765
2016.05.31,Aichi,24,8,10.156567
2016.06.01,Aichi,6,8,2.5391417
2016.06.02,Aichi,6,8,2.5391417
2016.06.03,Aichi,6,8,2.5391417
2016.06.04,Aichi,0,8,0
2016.06.05,Aichi,11,9,3.8332536
2016.06.06,Aichi,17,9,5.924119
2016.06.07,Aichi,0,9,0
2016.06.08,Aichi,35,9,12.196715
2016.06.09,Aichi,11,9,3.8332536
2016.06.10,Aichi,23,9,8.0149851
2016.06.11,Aichi,0,9,0
2016.06.12,Aichi,0,6,0
2016.06.13,Aichi,0,6,0
2016.06.14,Aichi,23,6,9.0930233
2016.06.15,Aichi,17,6,6.7209301
2016.06.16,Aichi,11,6,4.3488369
2016.06.17,Aichi,0,6,0
2016.06.18,Aichi,6,6,2.3720927
2016.06.19,Aichi,6,5,2.4494438
2016.06.20,Aichi,0,5,0
2016.06.21,Aichi,6,5,2.4494438
2016.06.22,Aichi,17,5,6.9400911
2016.06.23,Aichi,6,5,2.4494438
2016.06.24,Aichi,0,5,0
2016.06.25,Aichi,11,5,4.4906468
2016.06.26,Aichi,0,3,0
2016.06.27,Aichi,12,3,4.5069771
2016.06.28,Aichi,0,3,0
2016.06.29,Aichi,6,3,2.2534885
2016.06.30,Aichi,0,3,0
2016.07.01,Aichi,6,3,2.2534885
2016.07.02,Aichi,6,3,2.2534885
2016.07.03,Aichi,17,9,2.5314517
2016.07.04,Aichi,17,9,2.5314517
2016.07.05,Aichi,52,9,7.7432642
2016.07.06,Aichi,54,9,8.0410824
2016.07.07,Aichi,52,9,7.7432642
2016.07.08,Aichi,35,9,5.2118125
2016.07.09,Aichi,0,9,0
2016.07.10,Aichi,35,5,6.2006359
2016.07.11,Aichi,0,5,0
2016.07.12,Aichi,53,5,9.389535
2016.07.13,Aichi,18,5,3.1888986
2016.07.14,Aichi,0,5,0
2016.07.15,Aichi,0,5,0
2016.07.16,Aichi,0,5,0
2016.07.17,Aichi,34,5,5.3654485
2016.07.18,Aichi,17,5,2.6827242
2016.07.19,Aichi,17,5,2.6827242
2016.07.20,Aichi,17,5,2.6827242
2016.07.21,Aichi,17,5,2.6827242
2016.07.22,Aichi,17,5,2.6827242
2016.07.23,Aichi,0,5,0
2016.07.24,Aichi,17,5,2.6167555
2016.07.25,Aichi,0,5,0
2016.07.26,Aichi,0,5,0
2016.07.27,Aichi,52,5,8.0041924
2016.07.28,Aichi,0,5,0
2016.07.29,Aichi,17,5,2.6167555
2016.07.30,Aichi,36,5,5.5413642
2016.07.31,Aichi,0,3,0
2016.08.01,Aichi,0,3,0
2016.08.02,Aichi,0,3,0
2016.08.03,Aichi,0,3,0
2016.08.04,Aichi,35,3,11.267442
2016.08.05,Aichi,0,3,0
2016.08.06,Aichi,0,3,0
2016.08.07,Aichi,0,4,0
2016.08.08,Aichi,19,4,2.4396741
2016.08.09,Aichi,0,4,0
2016.08.10,Aichi,39,4,5.0077519
2016.08.11,Aichi,39,4,5.0077519
2016.08.12,Aichi,0,4,0
2016.08.13,Aichi,20,4,2.568078
2016.08.14,Aichi,41,3,4.5739121
