date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2016.07.04,39,24,6.7216101
2016.07.05,55,24,9.4791937
2016.07.06,41,24,7.0663085
2016.07.07,74,24,12.753825
2016.07.08,25,24,4.3087249
2016.07.09,32,24,5.5151672
2016.07.10,49,24,7.9640508
2016.07.11,48,24,7.8015194
2016.07.12,73,24,11.86481
2016.07.13,24,24,3.9007597
2016.07.14,24,24,3.9007597
2016.07.15,73,24,11.86481
2016.07.16,25,24,4.0632911
2016.07.17,42,26,7.371861
2016.07.18,73,26,12.812997
2016.07.19,49,26,8.6005049
2016.07.20,33,26,5.7921767
2016.07.21,48,26,8.424984
2016.07.22,47,26,8.249464
2016.07.23,25,26,4.3880124
2016.07.24,8,24,1.308535
2016.07.25,64,24,10.46828
2016.07.26,56,24,9.1597452
2016.07.27,48,24,7.8512106
2016.07.28,47,24,7.6876435
2016.07.29,65,24,10.631846
2016.07.30,26,24,4.252739
2016.07.31,8,21,1.3073455
2016.08.01,16,21,2.614691
2016.08.02,32,21,5.229382
2016.08.03,88,21,14.3808
2016.08.04,48,21,7.8440733
2016.08.05,26,21,4.2488728
2016.08.06,57,21,9.3148365
2016.08.07,56,20,8.8442793
2016.08.08,25,20,3.9483392
2016.08.09,51,20,8.0546122
2016.08.10,18,20,2.8428044
2016.08.11,19,20,3.0007377
2016.08.12,55,20,8.6863461
2016.08.13,47,20,7.4228773
2016.08.14,19,17,3.1562557
2016.08.15,27,17,4.4852057
2016.08.16,44,17,7.3092237
2016.08.17,9,17,1.4950684
2016.08.18,54,17,8.9704113
2016.08.19,37,17,6.1463923
2016.08.20,29,17,4.8174429
2016.08.21,19,19,3.1404064
2016.08.22,25,19,4.1321139
2016.08.23,61,19,10.082357
2016.08.24,41,19,6.7766666
2016.08.25,49,19,8.0989428
2016.08.26,25,19,4.1321139
2016.08.27,26,19,4.2973986
2016.08.28,25,23,4.0610566
2016.08.29,80,23,12.99538
2016.08.30,32,23,5.1981521
2016.08.31,91,23,14.782245
2016.09.01,25,23,4.0610566
2016.09.02,25,23,4.0610566
2016.09.03,25,23,4.0610566
2016.09.04,48,22,7.5077739
2016.09.05,49,22,7.6641855
2016.09.06,24,22,3.7538869
2016.09.07,40,22,6.2564783
2016.09.08,56,22,8.7590694
2016.09.09,41,22,6.41289
2016.09.10,43,22,6.7257142
2016.09.11,8,24,1.4217302
2016.09.12,57,24,10.129827
2016.09.13,56,24,9.9521112
2016.09.14,42,24,7.4640832
2016.09.15,25,24,4.4429069
2016.09.16,67,24,11.90699
2016.09.17,34,24,6.0423532
2016.09.18,24,24,4.4823275
2016.09.19,53,24,9.8984728
2016.09.20,31,24,5.7896729
2016.09.21,42,24,7.8440728
2016.09.22,41,24,7.6573091
2016.09.23,25,24,4.6690907
2016.09.24,59,24,11.019054
2016.09.25,8,33,1.3847059
2016.09.26,58,33,10.039117
2016.09.27,92,33,15.924117
