date,raw_daily,raw_weekly,depression2_harmonized_daily
2015.12.27,59,60,32.457005
2015.12.28,64,60,35.2076
2015.12.29,58,60,31.906887
2015.12.30,78,60,42.909264
2015.12.31,48,60,26.405701
2016.01.01,50,60,27.505938
2016.01.02,64,60,35.2076
2016.01.03,67,75,38.107071
2016.01.04,74,75,42.088406
2016.01.05,77,75,43.794697
2016.01.06,74,75,42.088406
2016.01.07,78,75,44.363457
2016.01.08,71,75,40.382122
2016.01.09,68,75,38.675835
2016.01.10,69,79,38.536373
2016.01.11,87,79,48.589336
2016.01.12,87,79,48.589336
2016.01.13,82,79,45.796848
2016.01.14,78,79,43.562855
2016.01.15,74,79,41.328861
2016.01.16,69,79,38.536373
2016.01.17,73,76,41.342236
2016.01.18,75,76,42.474899
2016.01.19,73,76,41.342236
2016.01.20,84,76,47.571892
2016.01.21,76,76,43.041237
2016.01.22,73,76,41.342236
2016.01.23,64,76,36.245251
2016.01.24,72,75,40.084614
2016.01.25,78,75,43.424999
2016.01.26,76,75,42.311539
2016.01.27,77,75,42.868271
2016.01.28,77,75,42.868271
2016.01.29,73,75,40.641346
2016.01.30,67,75,37.300964
2016.01.31,79,83,43.637966
2016.02.01,91,83,50.266518
2016.02.02,92,83,50.818897
2016.02.03,77,83,42.533207
2016.02.04,93,83,51.371277
2016.02.05,76,83,41.980827
2016.02.06,72,83,39.771309
2016.02.07,79,81,43.87236
2016.02.08,89,81,49.425823
2016.02.09,88,81,48.87048
2016.02.10,75,81,41.650978
2016.02.11,78,81,43.317013
2016.02.12,77,81,42.761665
2016.02.13,77,81,42.761665
2016.02.14,80,81,44.58609
2016.02.15,80,81,44.58609
2016.02.16,76,81,42.356789
2016.02.17,88,81,49.044701
2016.02.18,81,81,45.143417
2016.02.19,74,81,41.242134
2016.02.20,82,81,45.700745
2016.02.21,84,83,46.884876
2016.02.22,87,83,48.559338
2016.02.23,88,83,49.117489
2016.02.24,87,83,48.559338
2016.02.25,89,83,49.675644
2016.02.26,72,83,40.187038
2016.02.27,67,83,37.396271
2016.02.28,78,79,42.85643
2016.02.29,79,79,43.405872
2016.03.01,81,79,44.504757
2016.03.02,78,79,42.85643
2016.03.03,92,79,50.548615
2016.03.04,73,79,40.109226
2016.03.05,74,79,40.658669
2016.03.06,78,77,43.659435
2016.03.07,80,77,44.778908
2016.03.08,77,77,43.099697
2016.03.09,83,77,46.458118
2016.03.10,78,77,43.659435
2016.03.11,62,77,34.703651
2016.03.12,73,77,40.860752
2016.03.13,79,77,43.241951
2016.03.14,79,77,43.241951
2016.03.15,81,77,44.336681
2016.03.16,79,77,43.241951
2016.03.17,79,77,43.241951
2016.03.18,77,77,42.147217
2016.03.19,69,77,37.768288
2016.03.20,74,76,41.192863
2016.03.21,79,76,43.976162
2016.03.22,78,76,43.419506
2016.03.23,73,76,40.636204
2016.03.24,81,76,45.089489
2016.03.25,77,76,42.862843
2016.03.26,65,76,36.182922
2016.03.27,72,76,40.619076
2016.03.28,77,76,43.439846
2016.03.29,84,76,47.388924
2016.03.30,81,76,45.696457
2016.03.31,68,76,38.362461
2016.04.01,72,76,40.619076
2016.04.02,66,76,37.23415
2016.04.03,74,77,40.430656
2016.04.04,85,77,46.440624
2016.04.05,84,77,45.89426
2016.04.06,75,77,40.97702
2016.04.07,80,77,43.70882
2016.04.08,83,77,45.3479
2016.04.09,63,77,34.420696
2016.04.10,76,76,41.51836
2016.04.11,80,76,43.703537
2016.04.12,83,76,45.342419
2016.04.13,88,76,48.073891
2016.04.14,71,76,38.786888
2016.04.15,73,76,39.879478
2016.04.16,66,76,36.05542
2016.04.17,78,79,43.562855
2016.04.18,80,79,44.679848
2016.04.19,89,79,49.706333
2016.04.20,80,79,44.679848
2016.04.21,74,79,41.328861
2016.04.22,71,79,39.65337
2016.04.23,74,79,41.328861
2016.04.24,85,79,47.299088
2016.04.25,84,79,46.74263
2016.04.26,86,79,47.855549
2016.04.27,88,79,48.968468
2016.04.28,69,79,38.395733
2016.04.29,65,79,36.169891
2016.04.30,71,79,39.508652
2016.05.01,61,69,33.847374
2016.05.02,74,69,41.060749
2016.05.03,56,69,31.073
2016.05.04,69,69,38.286377
2016.05.05,68,69,37.731503
2016.05.06,81,69,44.944874
2016.05.07,71,69,39.396122
2016.05.08,91,85,50.264481
2016.05.09,94,85,51.921551
2016.05.10,87,85,48.055054
2016.05.11,86,85,47.502697
2016.05.12,82,85,45.29327
2016.05.13,80,85,44.188557
2016.05.14,74,85,40.874416
2016.05.15,83,82,45.848446
2016.05.16,85,82,46.953232
2016.05.17,78,82,43.086491
2016.05.18,85,82,46.953232
