date,raw_daily,raw_weekly,prefecture
2016-05-01,35.0,30.0,Hokkaido
2016-05-02,21.0,30.0,Hokkaido
2016-05-03,25.0,30.0,Hokkaido
2016-05-04,20.0,30.0,Hokkaido
2016-05-05,24.0,30.0,Hokkaido
2016-05-06,31.0,30.0,Hokkaido
2016-05-07,23.0,30.0,Hokkaido
2016-05-08,25.0,64.0,Hokkaido
2016-05-09,63.0,64.0,Hokkaido
2016-05-10,77.0,64.0,Hokkaido
2016-05-11,61.0,64.0,Hokkaido
2016-05-12,47.0,64.0,Hokkaido
2016-05-13,44.0,64.0,Hokkaido
2016-05-14,58.0,64.0,Hokkaido
2016-05-15,36.0,43.0,Hokkaido
2016-05-16,49.0,43.0,Hokkaido
2016-05-17,32.0,43.0,Hokkaido
2016-05-18,28.0,43.0,Hokkaido
2016-05-19,21.0,43.0,Hokkaido
2016-05-20,50.0,43.0,Hokkaido
2016-05-21,35.0,43.0,Hokkaido
2016-05-22,38.0,40.0,Hokkaido
2016-05-23,18.0,40.0,Hokkaido
2016-05-24,32.0,40.0,Hokkaido
2016-05-25,56.0,40.0,Hokkaido
2016-05-26,32.0,40.0,Hokkaido
2016-05-27,29.0,40.0,Hokkaido
2016-05-28,25.0,40.0,Hokkaido
2016-05-29,28.0,35.0,Hokkaido
2016-05-30,14.0,35.0,Hokkaido
2016-05-31,34.0,35.0,Hokkaido
2016-06-01,50.0,35.0,Hokkaido
2016-06-02,21.0,35.0,Hokkaido
2016-06-03,31.0,35.0,Hokkaido
2016-06-04,20.0,35.0,Hokkaido
2016-06-05,24.0,36.0,Hokkaido
2016-06-06,24.0,36.0,Hokkaido
2016-06-07,45.0,36.0,Hokkaido
2016-06-08,37.0,36.0,Hokkaido
2016-06-09,47.0,36.0,Hokkaido
2016-06-10,11.0,36.0,Hokkaido
2016-06-11,25.0,36.0,Hokkaido
2016-06-12,34.0,47.0,Hokkaido
2016-06-13,47.0,47.0,Hokkaido
2016-06-14,31.0,47.0,Hokkaido
2016-06-15,49.0,47.0,Hokkaido
2016-06-16,34.0,47.0,Hokkaido
2016-06-17,34.0,47.0,Hokkaido
2016-06-18,41.0,47.0,Hokkaido
2016-06-19,20.0,32.0,Hokkaido
2016-06-20,10.0,32.0,Hokkaido
2016-06-21,42.0,32.0,Hokkaido
2016-06-22,21.0,32.0,Hokkaido
2016-06-23,21.0,32.0,Hokkaido
2016-06-24,34.0,32.0,Hokkaido
2016-06-25,36.0,32.0,Hokkaido
2016-06-26,17.0,36.0,Hokkaido
2016-06-27,46.0,36.0,Hokkaido
2016-06-28,18.0,36.0,Hokkaido
2016-06-29,35.0,36.0,Hokkaido
2016-06-30,32.0,36.0,Hokkaido
2016-07-01,28.0,36.0,Hokkaido
2016-07-02,35.0,36.0,Hokkaido
2016-07-03,39.0,39.0,Hokkaido
2016-07-04,44.0,39.0,Hokkaido
2016-07-05,45.0,39.0,Hokkaido
2016-07-06,42.0,39.0,Hokkaido
2016-07-07,56.0,39.0,Hokkaido
2016-07-08,32.0,39.0,Hokkaido
2016-07-09,36.0,39.0,Hokkaido
2016-07-10,9.0,37.0,Hokkaido
2016-07-11,36.0,37.0,Hokkaido
2016-07-12,46.0,37.0,Hokkaido
2016-07-13,37.0,37.0,Hokkaido
2016-07-14,44.0,37.0,Hokkaido
2016-07-15,64.0,37.0,Hokkaido
2016-07-16,45.0,37.0,Hokkaido
2016-07-17,21.0,31.0,Hokkaido
2016-07-18,50.0,31.0,Hokkaido
2016-07-19,39.0,31.0,Hokkaido
2016-07-20,9.0,31.0,Hokkaido
2016-07-21,31.0,31.0,Hokkaido
2016-07-22,30.0,31.0,Hokkaido
2016-07-23,31.0,31.0,Hokkaido
2016-07-24,69.0,41.0,Hokkaido
2016-07-25,30.0,41.0,Hokkaido
2016-07-26,59.0,41.0,Hokkaido
2016-07-27,29.0,41.0,Hokkaido
2016-07-28,36.0,41.0,Hokkaido
2016-07-29,44.0,41.0,Hokkaido
2016-07-30,46.0,41.0,Hokkaido
2016-07-31,25.0,32.0,Hokkaido
2016-08-01,50.0,32.0,Hokkaido
2016-08-02,54.0,32.0,Hokkaido
2016-08-03,46.0,32.0,Hokkaido
2016-08-04,21.0,32.0,Hokkaido
2016-08-05,22.0,32.0,Hokkaido
2016-08-06,25.0,32.0,Hokkaido
2016-08-07,20.0,31.0,Hokkaido
2016-08-08,27.0,31.0,Hokkaido
2016-08-09,22.0,31.0,Hokkaido
2016-08-10,52.0,31.0,Hokkaido
2016-08-11,24.0,31.0,Hokkaido
2016-08-12,42.0,31.0,Hokkaido
2016-08-13,43.0,31.0,Hokkaido
2016-08-14,65.0,35.0,Hokkaido
2016-08-15,40.0,35.0,Hokkaido
2016-08-16,30.0,35.0,Hokkaido
2016-08-17,33.0,35.0,Hokkaido
2016-08-18,28.0,35.0,Hokkaido
2016-08-19,37.0,35.0,Hokkaido
2016-08-20,9.0,35.0,Hokkaido
2016-08-21,31.0,41.0,Hokkaido
2016-08-22,22.0,41.0,Hokkaido
2016-08-23,40.0,41.0,Hokkaido
2016-08-24,81.0,41.0,Hokkaido
2016-08-25,59.0,41.0,Hokkaido
2016-08-26,41.0,41.0,Hokkaido
2016-08-27,34.0,41.0,Hokkaido
2016-08-28,33.0,48.0,Hokkaido
2016-08-29,46.0,48.0,Hokkaido
2016-08-30,40.0,48.0,Hokkaido
2016-08-31,41.0,48.0,Hokkaido
2016-09-01,71.0,48.0,Hokkaido
2016-09-02,54.0,48.0,Hokkaido
2016-09-03,58.0,48.0,Hokkaido
2016-09-04,61.0,43.0,Hokkaido
2016-09-05,29.0,43.0,Hokkaido
2016-09-06,24.0,43.0,Hokkaido
2016-09-07,37.0,43.0,Hokkaido
2016-09-08,66.0,43.0,Hokkaido
2016-09-09,45.0,43.0,Hokkaido
2016-09-10,55.0,43.0,Hokkaido
2016-09-11,38.0,37.0,Hokkaido
2016-09-12,39.0,37.0,Hokkaido
2016-09-13,39.0,37.0,Hokkaido
2016-09-14,39.0,37.0,Hokkaido
2016-09-15,48.0,37.0,Hokkaido
2016-09-16,48.0,37.0,Hokkaido
2016-09-17,21.0,37.0,Hokkaido
2016-09-18,42.0,33.0,Hokkaido
2016-09-19,29.0,33.0,Hokkaido
2016-09-20,13.0,33.0,Hokkaido
2016-09-21,40.0,33.0,Hokkaido
2016-09-22,22.0,33.0,Hokkaido
2016-09-23,61.0,33.0,Hokkaido
2016-09-24,30.0,33.0,Hokkaido
2016-09-25,43.0,29.0,Hokkaido
2016-09-26,27.0,29.0,Hokkaido
2016-09-27,35.0,29.0,Hokkaido
2016-09-28,17.0,29.0,Hokkaido
2016-09-29,18.0,29.0,Hokkaido
2016-09-30,27.0,29.0,Hokkaido
2016-10-01,40.0,29.0,Hokkaido
2016-10-02,38.0,36.0,Hokkaido
2016-10-03,37.0,36.0,Hokkaido
2016-10-04,9.0,36.0,Hokkaido
2016-10-05,26.0,36.0,Hokkaido
2016-10-06,44.0,36.0,Hokkaido
2016-10-07,71.0,36.0,Hokkaido
2016-10-08,55.0,36.0,Hokkaido
2016-10-09,47.0,41.0,Hokkaido
2016-10-10,50.0,41.0,Hokkaido
2016-10-11,52.0,41.0,Hokkaido
2016-10-12,18.0,41.0,Hokkaido
2016-10-13,58.0,41.0,Hokkaido
2016-10-14,50.0,41.0,Hokkaido
2016-10-15,36.0,41.0,Hokkaido
2016-10-16,35.0,52.0,Hokkaido
2016-10-17,45.0,52.0,Hokkaido
2016-10-18,95.0,52.0,Hokkaido
2016-10-19,100.0,52.0,Hokkaido
2016-10-20,48.0,52.0,Hokkaido
2016-10-21,49.0,52.0,Hokkaido
2016-10-22,14.0,52.0,Hokkaido
2016-10-23,63.0,49.0,Hokkaido
2016-10-24,92.0,49.0,Hokkaido
2016-10-25,36.0,49.0,Hokkaido
2016-10-26,41.0,49.0,Hokkaido
2016-10-27,51.0,49.0,Hokkaido
2016-10-28,33.0,49.0,Hokkaido
2016-10-29,41.0,49.0,Hokkaido
2016-10-30,41.0,40.0,Hokkaido
2016-10-31,32.0,40.0,Hokkaido
2016-11-01,28.0,40.0,Hokkaido
2016-11-02,47.0,40.0,Hokkaido
2016-11-03,26.0,40.0,Hokkaido
2016-11-04,46.0,40.0,Hokkaido
2016-11-05,68.0,40.0,Hokkaido
2016-11-06,31.0,29.0,Hokkaido
2016-11-07,43.0,29.0,Hokkaido
2016-11-08,18.0,29.0,Hokkaido
2016-11-09,32.0,29.0,Hokkaido
2016-11-10,37.0,29.0,Hokkaido
2016-11-11,29.0,29.0,Hokkaido
2016-11-12,23.0,29.0,Hokkaido
2016-11-13,75.0,42.0,Hokkaido
2016-11-14,33.0,42.0,Hokkaido
2016-11-15,24.0,42.0,Hokkaido
2016-11-16,52.0,42.0,Hokkaido
2016-11-17,71.0,42.0,Hokkaido
2016-11-18,38.0,42.0,Hokkaido
2016-11-19,23.0,42.0,Hokkaido
2016-11-20,45.0,38.0,Hokkaido
2016-11-21,37.0,38.0,Hokkaido
2016-11-22,50.0,38.0,Hokkaido
2016-11-23,61.0,38.0,Hokkaido
2016-11-24,32.0,38.0,Hokkaido
2016-11-25,41.0,38.0,Hokkaido
2016-11-26,18.0,38.0,Hokkaido
2016-11-27,55.0,41.0,Hokkaido
2016-11-28,54.0,41.0,Hokkaido
2016-11-29,31.0,41.0,Hokkaido
2016-11-30,37.0,41.0,Hokkaido
2016-12-01,13.0,41.0,Hokkaido
2016-12-02,58.0,41.0,Hokkaido
2016-12-03,57.0,41.0,Hokkaido
2016-12-04,21.0,31.0,Hokkaido
2016-12-05,31.0,31.0,Hokkaido
2016-12-06,30.0,31.0,Hokkaido
2016-12-07,31.0,31.0,Hokkaido
2016-12-08,58.0,31.0,Hokkaido
2016-12-09,30.0,31.0,Hokkaido
2016-12-10,39.0,31.0,Hokkaido
2016-12-11,21.0,30.0,Hokkaido
2016-12-12,43.0,30.0,Hokkaido
2016-12-13,56.0,30.0,Hokkaido
2016-12-14,22.0,30.0,Hokkaido
2016-12-15,18.0,30.0,Hokkaido
2016-12-16,23.0,30.0,Hokkaido
2016-12-17,36.0,30.0,Hokkaido
2016-12-18,52.0,32.0,Hokkaido
2016-12-19,49.0,32.0,Hokkaido
2016-12-20,41.0,32.0,Hokkaido
2016-12-21,23.0,32.0,Hokkaido
2016-12-22,31.0,32.0,Hokkaido
2016-12-23,25.0,32.0,Hokkaido
2016-12-24,18.0,32.0,Hokkaido
2016-12-25,48.0,35.0,Hokkaido
2016-12-26,22.0,35.0,Hokkaido
2016-12-27,43.0,35.0,Hokkaido
2016-12-28,49.0,35.0,Hokkaido
2016-12-29,35.0,35.0,Hokkaido
2016-12-30,22.0,35.0,Hokkaido
2016-12-31,39.0,35.0,Hokkaido
2017-01-01,23.0,19.0,Hokkaido
2017-01-02,22.0,19.0,Hokkaido
2017-01-03,18.0,19.0,Hokkaido
2017-01-04,21.0,19.0,Hokkaido
2017-01-05,17.0,19.0,Hokkaido
2017-01-06,13.0,19.0,Hokkaido
2017-01-07,34.0,19.0,Hokkaido
2017-01-08,46.0,35.0,Hokkaido
2017-01-09,62.0,35.0,Hokkaido
2017-01-10,34.0,35.0,Hokkaido
2017-01-11,8.0,35.0,Hokkaido
2017-01-12,55.0,35.0,Hokkaido
2017-01-13,69.0,35.0,Hokkaido
2017-01-14,9.0,35.0,Hokkaido
2017-01-15,54.0,43.0,Hokkaido
2017-01-16,34.0,43.0,Hokkaido
2017-01-17,35.0,43.0,Hokkaido
2017-01-18,64.0,43.0,Hokkaido
2017-01-19,49.0,43.0,Hokkaido
2017-01-20,44.0,43.0,Hokkaido
2017-01-21,52.0,43.0,Hokkaido
2017-01-22,33.0,29.0,Hokkaido
2017-01-23,56.0,29.0,Hokkaido
2017-01-24,18.0,29.0,Hokkaido
2017-01-25,40.0,29.0,Hokkaido
2017-01-26,27.0,29.0,Hokkaido
2017-01-27,22.0,29.0,Hokkaido
2017-01-28,30.0,29.0,Hokkaido
2017-01-29,42.0,40.0,Hokkaido
2017-01-30,35.0,40.0,Hokkaido
2017-01-31,44.0,40.0,Hokkaido
2017-02-01,18.0,40.0,Hokkaido
2017-02-02,31.0,40.0,Hokkaido
2017-02-03,89.0,40.0,Hokkaido
2017-02-04,47.0,40.0,Hokkaido
2017-02-05,43.0,34.0,Hokkaido
