date,prefecture,raw_daily,raw_weekly,suicide2_harmonized_daily
2016.05.24,Aichi,41,50,21.885452
2016.05.25,Aichi,24,50,12.810997
2016.05.26,Aichi,31,50,16.547537
2016.05.27,Aichi,28,50,14.946162
2016.05.28,Aichi,46,50,24.554409
2016.05.29,Aichi,16,44,8.9002705
2016.05.30,Aichi,15,44,8.3440046
2016.05.31,Aichi,34,44,18.913074
2016.06.01,Aichi,30,44,16.688009
2016.06.02,Aichi,30,44,16.688009
2016.06.03,Aichi,38,44,21.138144
2016.06.04,Aichi,27,44,15.019207
2016.06.05,Aichi,18,45,9.5845823
2016.06.06,Aichi,44,45,23.428978
2016.06.07,Aichi,25,45,13.311919
2016.06.08,Aichi,29,45,15.441826
2016.06.09,Aichi,22,45,11.714489
2016.06.10,Aichi,37,45,19.701641
2016.06.11,Aichi,28,45,14.909349
2016.06.12,Aichi,28,62,15.501781
2016.06.13,Aichi,39,62,21.591768
2016.06.14,Aichi,56,62,31.003563
2016.06.15,Aichi,57,62,31.557199
2016.06.16,Aichi,27,62,14.948147
2016.06.17,Aichi,44,62,24.359941
2016.06.18,Aichi,18,62,9.9654312
2016.06.19,Aichi,40,47,21.402258
2016.06.20,Aichi,21,47,11.236185
2016.06.21,Aichi,40,47,21.402258
2016.06.22,Aichi,38,47,20.332144
2016.06.23,Aichi,21,47,11.236185
2016.06.24,Aichi,35,47,18.726976
2016.06.25,Aichi,16,47,8.5609026
2016.06.26,Aichi,35,45,19.011293
2016.06.27,Aichi,26,45,14.122675
2016.06.28,Aichi,34,45,18.468113
2016.06.29,Aichi,21,45,11.406776
2016.06.30,Aichi,23,45,12.493135
2016.07.01,Aichi,20,45,10.863596
2016.07.02,Aichi,40,45,21.727192
2016.07.03,Aichi,44,36,12.768006
2016.07.04,Aichi,30,36,8.7054586
2016.07.05,Aichi,51,36,14.799279
2016.07.06,Aichi,67,36,19.44219
2016.07.07,Aichi,28,36,8.1250954
2016.07.08,Aichi,45,36,13.058188
2016.07.09,Aichi,33,36,9.576005
2016.07.10,Aichi,44,40,13.294431
2016.07.11,Aichi,31,40,9.3665304
2016.07.12,Aichi,35,40,10.575115
2016.07.13,Aichi,63,40,19.035206
2016.07.14,Aichi,38,40,11.481554
2016.07.15,Aichi,45,40,13.596577
2016.07.16,Aichi,62,40,18.733061
2016.07.17,Aichi,48,41,13.702196
2016.07.18,Aichi,58,41,16.55682
2016.07.19,Aichi,52,41,14.844046
2016.07.20,Aichi,59,41,16.842283
2016.07.21,Aichi,48,41,13.702196
2016.07.22,Aichi,52,41,14.844046
2016.07.23,Aichi,28,41,7.9929481
2016.07.24,Aichi,44,36,13.07514
2016.07.25,Aichi,31,36,9.2120304
2016.07.26,Aichi,30,36,8.9148684
2016.07.27,Aichi,58,36,17.235413
2016.07.28,Aichi,34,36,10.103518
2016.07.29,Aichi,62,36,18.424061
2016.07.30,Aichi,32,36,9.5091925
2016.07.31,Aichi,62,39,18.556501
2016.08.01,Aichi,44,39,13.16913
2016.08.02,Aichi,49,39,14.665623
2016.08.03,Aichi,59,39,17.658606
2016.08.04,Aichi,35,39,10.475445
2016.08.05,Aichi,40,39,11.971936
2016.08.06,Aichi,24,39,7.1831622
2016.08.07,Aichi,31,34,8.8215094
2016.08.08,Aichi,40,34,11.382592
2016.08.09,Aichi,48,34,13.659111
2016.08.10,Aichi,34,34,9.6752033
2016.08.11,Aichi,35,34,9.9597683
2016.08.12,Aichi,55,34,15.651065
2016.08.13,Aichi,44,34,12.520851
2016.08.14,Aichi,40,35,11.92513
2016.08.15,Aichi,20,35,5.9625649
2016.08.16,Aichi,54,35,16.098925
2016.08.17,Aichi,54,35,16.098925
2016.08.18,Aichi,31,35,9.2419758
2016.08.19,Aichi,59,35,17.589565
2016.08.20,Aichi,24,35,7.155077
2016.08.21,Aichi,48,45,14.253994
2016.08.22,Aichi,46,45,13.660077
2016.08.23,Aichi,52,45,15.441826
2016.08.24,Aichi,66,45,19.599241
2016.08.25,Aichi,52,45,15.441826
2016.08.26,Aichi,38,45,11.284411
2016.08.27,Aichi,62,45,18.411407
2016.08.28,Aichi,53,43,15.164263
2016.08.29,Aichi,56,43,16.022617
2016.08.30,Aichi,81,43,23.175571
2016.08.31,Aichi,29,43,8.2974272
2016.09.01,Aichi,54,43,15.45038
2016.09.02,Aichi,52,43,14.878144
2016.09.03,Aichi,36,43,10.300254
2016.09.04,Aichi,28,41,8.3059244
2016.09.05,Aichi,42,41,12.458886
2016.09.06,Aichi,53,41,15.721929
2016.09.07,Aichi,74,41,21.951372
2016.09.08,Aichi,70,41,20.764812
2016.09.09,Aichi,29,41,8.6025648
2016.09.10,Aichi,36,41,10.679046
2016.09.11,Aichi,32,38,9.3919849
2016.09.12,Aichi,18,38,5.2829914
2016.09.13,Aichi,39,38,11.446482
2016.09.14,Aichi,58,38,17.022972
2016.09.15,Aichi,32,38,9.3919849
2016.09.16,Aichi,54,38,15.848974
2016.09.17,Aichi,78,38,22.892963
2016.09.18,Aichi,91,41,26.832611
2016.09.19,Aichi,33,41,9.7305079
2016.09.20,Aichi,35,41,10.320235
2016.09.21,Aichi,62,41,18.281559
2016.09.22,Aichi,45,41,13.268874
2016.09.23,Aichi,29,41,8.5510521
2016.09.24,Aichi,39,41,11.49969
2016.09.25,Aichi,61,45,17.443542
2016.09.26,Aichi,44,45,12.582228
2016.09.27,Aichi,59,45,16.871624
2016.09.28,Aichi,54,45,15.441826
2016.09.29,Aichi,33,45,9.4366713
2016.09.30,Aichi,75,45,21.44698
2016.10.01,Aichi,52,45,14.869905
2016.10.02,Aichi,52,49,15.856097
2016.10.03,Aichi,38,49,11.587149
2016.10.04,Aichi,56,49,17.075796
2016.10.05,Aichi,59,49,17.990572
2016.10.06,Aichi,36,49,10.977299
2016.10.07,Aichi,64,49,19.515196
2016.10.08,Aichi,81,49,24.698919
2016.10.09,Aichi,61,47,17.841221
2016.10.10,Aichi,57,47,16.671305
