date,raw_daily,calc_weekly,raw_weekly,weight,weighted_daily,normalized_weighted_daily
2018-12-30,4,3.7142857142857144,6.0,1.6153846153846154,6.461538461538462,3.572307692307693
2018-12-31,3,3.7142857142857144,6.0,1.6153846153846154,4.846153846153847,2.6792307692307693
2019-01-01,4,3.7142857142857144,6.0,1.6153846153846154,6.461538461538462,3.572307692307693
2019-01-02,3,3.7142857142857144,6.0,1.6153846153846154,4.846153846153847,2.6792307692307693
2019-01-03,2,3.7142857142857144,6.0,1.6153846153846154,3.230769230769231,1.7861538461538464
2019-01-04,3,3.7142857142857144,6.0,1.6153846153846154,4.846153846153847,2.6792307692307693
2019-01-05,7,3.7142857142857144,6.0,1.6153846153846154,11.307692307692308,6.251538461538463
2019-01-06,6,5.571428571428571,4.0,0.717948717948718,4.3076923076923075,2.381538461538461
2019-01-07,5,5.571428571428571,4.0,0.717948717948718,3.58974358974359,1.9846153846153847
2019-01-08,2,5.571428571428571,4.0,0.717948717948718,1.435897435897436,0.7938461538461539
2019-01-09,6,5.571428571428571,4.0,0.717948717948718,4.3076923076923075,2.381538461538461
2019-01-10,7,5.571428571428571,4.0,0.717948717948718,5.0256410256410255,2.7784615384615385
2019-01-11,9,5.571428571428571,4.0,0.717948717948718,6.461538461538462,3.572307692307693
2019-01-12,4,5.571428571428571,4.0,0.717948717948718,2.871794871794872,1.5876923076923077
2019-01-13,4,5.285714285714286,5.0,0.9459459459459459,3.7837837837837838,2.091891891891892
2019-01-14,4,5.285714285714286,5.0,0.9459459459459459,3.7837837837837838,2.091891891891892
2019-01-15,7,5.285714285714286,5.0,0.9459459459459459,6.621621621621622,3.6608108108108115
2019-01-16,8,5.285714285714286,5.0,0.9459459459459459,7.5675675675675675,4.183783783783784
2019-01-17,4,5.285714285714286,5.0,0.9459459459459459,3.7837837837837838,2.091891891891892
2019-01-18,4,5.285714285714286,5.0,0.9459459459459459,3.7837837837837838,2.091891891891892
2019-01-19,6,5.285714285714286,5.0,0.9459459459459459,5.675675675675675,3.1378378378378375
2019-01-20,2,6.142857142857143,9.0,1.4651162790697674,2.9302325581395348,1.6199999999999999
2019-01-21,8,6.142857142857143,9.0,1.4651162790697674,11.720930232558139,6.4799999999999995
2019-01-22,9,6.142857142857143,9.0,1.4651162790697674,13.186046511627907,7.290000000000001
2019-01-23,7,6.142857142857143,9.0,1.4651162790697674,10.25581395348837,5.669999999999999
2019-01-24,7,6.142857142857143,9.0,1.4651162790697674,10.25581395348837,5.669999999999999
2019-01-25,8,6.142857142857143,9.0,1.4651162790697674,11.720930232558139,6.4799999999999995
2019-01-26,2,6.142857142857143,9.0,1.4651162790697674,2.9302325581395348,1.6199999999999999
2019-01-27,6,7.714285714285714,9.0,1.1666666666666667,7.0,3.8699999999999997
2019-01-28,10,7.714285714285714,9.0,1.1666666666666667,11.666666666666668,6.45
2019-01-29,5,7.714285714285714,9.0,1.1666666666666667,5.833333333333334,3.225
2019-01-30,9,7.714285714285714,9.0,1.1666666666666667,10.5,5.805
2019-01-31,9,7.714285714285714,9.0,1.1666666666666667,10.5,5.805
2019-02-01,6,7.714285714285714,9.0,1.1666666666666667,7.0,3.8699999999999997
2019-02-02,9,7.714285714285714,9.0,1.1666666666666667,10.5,5.805
2019-02-03,13,13.142857142857142,15.0,1.141304347826087,14.836956521739129,8.202717391304347
2019-02-04,16,13.142857142857142,15.0,1.141304347826087,18.26086956521739,10.095652173913043
2019-02-05,14,13.142857142857142,15.0,1.141304347826087,15.978260869565217,8.833695652173914
