date,花粉症_trend,prefecture
2019-05-17,18.75986945994315,Hokkaido
2019-05-18,92.0939046215391,Hokkaido
2019-05-19,36.987404211091274,Hokkaido
2019-05-20,24.27298401352865,Hokkaido
2019-05-21,0.0,Hokkaido
2019-05-22,36.987404211091274,Hokkaido
2019-05-23,12.714420197562626,Hokkaido
2019-05-24,0.0,Hokkaido
2019-05-25,89.00094138293838,Hokkaido
2019-05-26,59.30786236607902,Hokkaido
2019-05-27,61.221019216597696,Hokkaido
2019-05-28,40.17629386089223,Hokkaido
2019-05-29,0.0,Hokkaido
2019-05-30,63.134176067116364,Hokkaido
2019-05-31,0.0,Hokkaido
2019-06-01,0.0,Hokkaido
2019-06-02,12.674008943984008,Hokkaido
2019-06-03,26.61541878236641,Hokkaido
2019-06-04,12.674008943984008,Hokkaido
2019-06-05,12.674008943984008,Hokkaido
2019-06-06,0.0,Hokkaido
2019-06-07,13.941409838382409,Hokkaido
2019-06-08,13.941409838382409,Hokkaido
2019-06-09,11.191967575534264,Hokkaido
2019-06-10,24.622328666175385,Hokkaido
2019-06-11,0.0,Hokkaido
2019-06-12,0.0,Hokkaido
2019-06-13,0.0,Hokkaido
2019-06-14,0.0,Hokkaido
2019-06-15,0.0,Hokkaido
2019-06-16,7.767940965667617,Hokkaido
2019-06-17,8.544735062234379,Hokkaido
2019-06-18,8.544735062234379,Hokkaido
2019-06-19,16.312676027901997,Hokkaido
2019-06-20,7.767940965667617,Hokkaido
2019-06-21,0.0,Hokkaido
2019-06-22,7.767940965667617,Hokkaido
2019-06-23,0.0,Hokkaido
2019-06-24,13.736990339285892,Hokkaido
2019-06-25,0.0,Hokkaido
2019-06-26,13.736990339285892,Hokkaido
2019-06-27,13.08284794217704,Hokkaido
2019-06-28,0.0,Hokkaido
2019-06-29,7.195566368197372,Hokkaido
2019-06-30,0.0,Hokkaido
2019-07-01,0.0,Hokkaido
2019-07-02,7.701999191765515,Hokkaido
2019-07-03,0.0,Hokkaido
2019-07-04,0.0,Hokkaido
2019-07-05,0.0,Hokkaido
2019-07-06,16.174198302707584,Hokkaido
2019-07-07,0.0,Hokkaido
2019-07-08,0.0,Hokkaido
2019-07-09,0.0,Hokkaido
2019-07-10,0.0,Hokkaido
2019-07-11,0.0,Hokkaido
2019-07-12,0.0,Hokkaido
2019-07-13,0.0,Hokkaido
2019-07-14,0.0,Hokkaido
2019-07-15,23.876197494473097,Hokkaido
2019-07-16,0.0,Hokkaido
2019-07-17,0.0,Hokkaido
2019-07-18,0.0,Hokkaido
2019-07-19,0.0,Hokkaido
2019-07-20,0.0,Hokkaido
2019-07-21,0.0,Hokkaido
2019-07-22,6.050817173256881,Hokkaido
2019-07-23,0.0,Hokkaido
2019-07-24,5.887281573979668,Hokkaido
2019-07-25,0.0,Hokkaido
2019-07-26,0.0,Hokkaido
2019-07-27,0.0,Hokkaido
2019-07-28,0.0,Hokkaido
2019-07-29,0.0,Hokkaido
2019-07-30,0.0,Hokkaido
2019-07-31,0.0,Hokkaido
2019-08-01,0.0,Hokkaido
2019-08-02,0.0,Hokkaido
2019-08-03,0.0,Hokkaido
2019-08-04,0.0,Hokkaido
2019-08-05,0.0,Hokkaido
2019-08-06,0.0,Hokkaido
2019-08-07,11.938098747236552,Hokkaido
2019-08-08,0.0,Hokkaido
2019-08-09,0.0,Hokkaido
2019-08-10,0.0,Hokkaido
2019-08-11,0.0,Hokkaido
2019-08-12,10.053135787146568,Hokkaido
2019-08-13,0.0,Hokkaido
2019-08-14,0.0,Hokkaido
2019-08-15,9.738975293798237,Hokkaido
2019-08-16,0.0,Hokkaido
2019-08-17,10.053135787146568,Hokkaido
2019-08-18,0.0,Hokkaido
2019-08-19,0.0,Hokkaido
2019-08-20,26.727086747544515,Hokkaido
2019-08-21,0.0,Hokkaido
2019-08-22,0.0,Hokkaido
2019-08-23,17.907148120854824,Hokkaido
2019-08-24,9.087209494165135,Hokkaido
2019-08-25,0.0,Hokkaido
2019-08-26,0.0,Hokkaido
2019-08-27,0.0,Hokkaido
2019-08-28,0.0,Hokkaido
2019-08-29,0.0,Hokkaido
2019-08-30,0.0,Hokkaido
2019-08-31,0.0,Hokkaido
2019-09-01,32.82977155490052,Hokkaido
2019-09-02,0.0,Hokkaido
2019-09-03,0.0,Hokkaido
2019-09-04,0.0,Hokkaido
2019-09-05,0.0,Hokkaido
2019-09-06,0.0,Hokkaido
2019-09-07,0.0,Hokkaido
2019-09-08,0.0,Hokkaido
2019-09-09,0.0,Hokkaido
2019-09-10,0.0,Hokkaido
2019-09-11,0.0,Hokkaido
2019-09-12,0.0,Hokkaido
2019-09-13,0.0,Hokkaido
2019-09-14,11.938098747236552,Hokkaido
2019-09-15,0.0,Hokkaido
2019-09-16,0.0,Hokkaido
2019-09-17,0.0,Hokkaido
2019-09-18,0.0,Hokkaido
2019-09-19,0.0,Hokkaido
2019-09-20,0.0,Hokkaido
2019-09-21,0.0,Hokkaido
2019-09-22,0.0,Hokkaido
2019-09-23,0.0,Hokkaido
2019-09-24,11.938098747236548,Hokkaido
2019-09-25,0.0,Hokkaido
2019-09-26,0.0,Hokkaido
2019-09-27,0.0,Hokkaido
2019-09-28,0.0,Hokkaido
2019-09-29,5.110193348637227,Hokkaido
2019-09-30,0.0,Hokkaido
2019-10-01,10.520986306017821,Hokkaido
2019-10-02,5.260493153008911,Hokkaido
2019-10-03,0.0,Hokkaido
2019-10-04,0.0,Hokkaido
2019-10-05,0.0,Hokkaido
2019-10-06,10.29444747044311,Hokkaido
2019-10-07,0.0,Hokkaido
2019-10-08,0.0,Hokkaido
2019-10-09,10.597225337220848,Hokkaido
2019-10-10,0.0,Hokkaido
