date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2016.05.26,Aichi,33,38,32.484573
2016.05.27,Aichi,16,38,15.750095
2016.05.28,Aichi,51,38,50.20343
2016.05.29,Aichi,0,35,0
2016.05.30,Aichi,30,35,30.222219
2016.05.31,Aichi,37,35,37.274071
2016.06.01,Aichi,18,35,18.133333
2016.06.02,Aichi,29,35,29.214813
2016.06.03,Aichi,34,35,34.251854
2016.06.04,Aichi,41,35,41.303703
2016.06.05,Aichi,39,44,35.226566
2016.06.06,Aichi,40,44,36.12981
2016.06.07,Aichi,47,44,42.452526
2016.06.08,Aichi,20,44,18.064905
2016.06.09,Aichi,29,44,26.194113
2016.06.10,Aichi,39,44,35.226566
2016.06.11,Aichi,51,44,46.06551
2016.06.12,Aichi,13,40,10.477037
2016.06.13,Aichi,47,40,37.878517
2016.06.14,Aichi,62,40,49.967407
2016.06.15,Aichi,40,40,32.237038
2016.06.16,Aichi,25,40,20.148149
2016.06.17,Aichi,40,40,32.237038
2016.06.18,Aichi,43,40,34.654816
2016.06.19,Aichi,17,30,14.227692
2016.06.20,Aichi,27,30,22.596922
2016.06.21,Aichi,48,30,40.172306
2016.06.22,Aichi,40,30,33.476921
2016.06.23,Aichi,0,30,0
2016.06.24,Aichi,47,30,39.335384
2016.06.25,Aichi,16,30,13.390769
2016.06.26,Aichi,100,51,90.077919
2016.06.27,Aichi,39,51,35.13039
2016.06.28,Aichi,51,51,45.939739
2016.06.29,Aichi,45,51,40.535065
2016.06.30,Aichi,26,51,23.420259
2016.07.01,Aichi,16,51,14.412467
2016.07.02,Aichi,31,51,27.924154
2016.07.03,Aichi,35,41,25.678947
2016.07.04,Aichi,45,41,33.015793
2016.07.05,Aichi,17,41,12.472632
2016.07.06,Aichi,52,41,38.151581
2016.07.07,Aichi,80,41,58.694744
2016.07.08,Aichi,35,41,25.678947
2016.07.09,Aichi,40,41,29.347372
2016.07.10,Aichi,38,34,36.798325
2016.07.11,Aichi,39,34,37.766701
2016.07.12,Aichi,31,34,30.019684
2016.07.13,Aichi,25,34,24.209423
2016.07.14,Aichi,14,34,13.557278
2016.07.15,Aichi,19,34,18.399162
2016.07.16,Aichi,25,34,24.209423
2016.07.17,Aichi,52,43,41.514812
2016.07.18,Aichi,28,43,22.35413
2016.07.19,Aichi,35,43,27.942659
2016.07.20,Aichi,74,43,59.078773
2016.07.21,Aichi,30,43,23.950851
2016.07.22,Aichi,40,43,31.934469
2016.07.23,Aichi,34,43,27.144299
2016.07.24,Aichi,39,37,33.403912
2016.07.25,Aichi,15,37,12.847659
2016.07.26,Aichi,21,37,17.986721
2016.07.27,Aichi,34,37,29.121359
2016.07.28,Aichi,47,37,40.255997
2016.07.29,Aichi,39,37,33.403912
2016.07.30,Aichi,40,37,34.260422
2016.07.31,Aichi,33,31,29.290108
2016.08.01,Aichi,21,31,18.63916
2016.08.02,Aichi,33,31,29.290108
2016.08.03,Aichi,33,31,29.290108
2016.08.04,Aichi,34,31,30.177687
2016.08.05,Aichi,11,31,9.7633696
2016.08.06,Aichi,25,31,22.189476
2016.08.07,Aichi,32,33,30.234949
2016.08.08,Aichi,23,33,21.731371
2016.08.09,Aichi,27,33,25.510738
2016.08.10,Aichi,24,33,22.676212
2016.08.11,Aichi,17,33,16.062317
2016.08.12,Aichi,25,33,23.621056
2016.08.13,Aichi,42,33,39.683372
2016.08.14,Aichi,18,40,20.945456
2016.08.15,Aichi,29,40,33.745457
2016.08.16,Aichi,37,40,43.054546
2016.08.17,Aichi,22,40,25.6
2016.08.18,Aichi,19,40,22.109093
2016.08.19,Aichi,27,40,31.418184
2016.08.20,Aichi,35,40,40.727276
2016.08.21,Aichi,24,30,14.836363
2016.08.22,Aichi,23,30,14.218182
2016.08.23,Aichi,43,30,26.581818
2016.08.24,Aichi,24,30,14.836363
2016.08.25,Aichi,33,30,20.4
2016.08.26,Aichi,45,30,27.81818
2016.08.27,Aichi,72,30,44.50909
2016.08.28,Aichi,21,45,21.969233
2016.08.29,Aichi,39,45,40.799999
2016.08.30,Aichi,49,45,51.261539
2016.08.31,Aichi,23,45,24.061539
2016.09.01,Aichi,39,45,40.799999
2016.09.02,Aichi,27,45,28.246155
