date,raw_daily,raw_weekly,symptoms_harmonized_daily
2018.07.17,56,39,32.971745
2018.07.18,61,39,35.915653
2018.07.19,51,39,30.02784
2018.07.20,51,39,30.02784
2018.07.21,51,39,30.02784
2018.07.22,54,40,32.609421
2018.07.23,55,40,33.213295
2018.07.24,60,40,36.232685
2018.07.25,56,40,33.817173
2018.07.26,58,40,35.024933
2018.07.27,50,40,30.193907
2018.07.28,47,40,28.382273
2018.07.29,45,38,27.478991
2018.07.30,48,38,29.310925
2018.07.31,54,38,32.974789
2018.08.01,53,38,32.364147
2018.08.02,54,38,32.974789
2018.08.03,50,38,30.532213
2018.08.04,53,38,32.364147
2018.08.05,55,37,33.644016
2018.08.06,56,37,34.255726
2018.08.07,52,37,31.808887
2018.08.08,53,37,32.420597
2018.08.09,53,37,32.420597
2018.08.10,36,37,22.021536
2018.08.11,42,37,25.691793
2018.08.12,47,39,28.344023
2018.08.13,57,39,34.374664
2018.08.14,46,39,27.740955
2018.08.15,47,39,28.344023
2018.08.16,51,39,30.756281
2018.08.17,56,39,33.771603
2018.08.18,67,39,40.405308
2018.08.19,69,36,41.425339
2018.08.20,51,36,30.618729
2018.08.21,51,36,30.618729
2018.08.22,53,36,31.81946
2018.08.23,39,36,23.41432
2018.08.24,39,36,23.41432
2018.08.25,42,36,25.215422
2018.08.26,58,35,34.151871
2018.08.27,49,35,28.852444
2018.08.28,44,35,25.908318
2018.08.29,45,35,26.497143
2018.08.30,44,35,25.908318
2018.08.31,53,35,31.207747
2018.09.01,48,35,28.263618
2018.09.02,52,34,31.017544
2018.09.03,43,34,25.649124
2018.09.04,44,34,26.245613
2018.09.05,50,34,29.824562
2018.09.06,48,34,28.631578
2018.09.07,38,34,22.666666
2018.09.08,52,34,31.017544
2018.09.09,60,42,36.415218
2018.09.10,50,42,30.346014
2018.09.11,54,42,32.773697
2018.09.12,63,42,38.235981
2018.09.13,57,42,34.59446
2018.09.14,60,42,36.415218
2018.09.15,53,42,32.166779
2018.09.16,56,48,34.575405
2018.09.17,64,48,39.514748
2018.09.18,59,48,36.427658
2018.09.19,70,48,43.219257
2018.09.20,71,48,43.836674
2018.09.21,66,48,40.749584
2018.09.22,60,48,37.045074
2018.09.23,58,47,34.907661
2018.09.24,66,47,39.722507
2018.09.25,63,47,37.916943
2018.09.26,64,47,38.518799
2018.09.27,66,47,39.722507
2018.09.28,63,47,37.916943
2018.09.29,68,47,40.92622
2018.09.30,58,53,35.270103
2018.10.01,73,53,44.391685
2018.10.02,84,53,51.080841
2018.10.03,78,53,47.432209
2018.10.04,76,53,46.216
2018.10.05,66,53,40.134949
2018.10.06,65,53,39.52684
2018.10.07,63,54,38.800671
2018.10.08,76,54,46.807156
2018.10.09,75,54,46.191277
2018.10.10,75,54,46.191277
2018.10.11,64,54,39.416553
2018.10.12,73,54,44.959507
2018.10.13,77,54,47.423042
2018.10.14,95,65,58.169132
2018.10.15,90,65,55.107597
2018.10.16,94,65,57.556828
2018.10.17,78,65,47.759918
2018.10.18,87,65,53.270676
2018.10.19,78,65,47.759918
2018.10.20,87,65,53.270676
2018.10.21,91,66,55.843552
2018.10.22,97,66,59.525547
2018.10.23,95,66,58.298218
2018.10.24,81,66,49.706902
2018.10.25,85,66,52.16156
2018.10.26,86,66,52.775227
2018.10.27,82,66,50.320564
2018.10.28,90,68,55.377724
2018.10.29,100,68,61.530804
2018.10.30,88,68,54.147106
2018.10.31,86,68,52.916489
2018.11.01,97,68,59.684875
2018.11.02,85,68,52.301182
2018.11.03,88,68,54.147106
2018.11.04,95,59,58.146477
2018.11.05,85,59,52.025795
2018.11.06,72,59,44.068909
2018.11.07,78,59,47.741318
2018.11.08,78,59,47.741318
2018.11.09,77,59,47.12925
2018.11.10,68,59,41.620636
2018.11.11,79,59,48.353386
2018.11.12,84,59,51.413727
2018.11.13,88,59,53.861996
2018.11.14,74,59,45.293045
2018.11.15,76,59,46.517181
2018.11.16,74,59,45.293045
2018.11.17,78,59,47.741318
2018.11.18,74,58,45.345352
2018.11.19,80,58,49.022007
2018.11.20,74,58,45.345352
2018.11.21,78,58,47.796455
2018.11.22,73,58,44.732578
2018.11.23,80,58,49.022007
2018.11.24,84,58,51.473106
2018.11.25,91,59,55.001976
2018.11.26,90,59,54.397556
2018.11.27,83,59,50.166637
2018.11.28,71,59,42.913628
2018.11.29,80,59,48.353382
2018.11.30,77,59,46.540134
2018.12.01,68,59,41.100376
2018.12.02,71,51,43.367649
2018.12.03,81,51,49.475769
2018.12.04,73,51,44.589275
2018.12.05,68,51,41.535213
2018.12.06,63,51,38.481152
2018.12.07,55,51,33.594658
2018.12.08,68,51,41.535213
2018.12.09,74,56,45.455971
2018.12.10,81,56,49.755863
2018.12.11,76,56,46.684509
2018.12.12,70,56,42.99889
2018.12.13,82,56,50.370129
2018.12.14,73,56,44.841702
2018.12.15,67,56,41.156082
2018.12.16,84,58,51.284214
2018.12.17,82,58,50.06316
2018.12.18,79,58,48.231583
2018.12.19,82,58,50.06316
2018.12.20,79,58,48.231583
2018.12.21,72,58,43.957897
2018.12.22,67,58,40.905266
2018.12.23,58,57,35.450466
2018.12.24,65,57,39.728973
2018.12.25,86,57,52.564484
2018.12.26,89,57,54.398125
2018.12.27,75,57,45.841122
2018.12.28,77,57,47.063549
2018.12.29,85,57,51.95327
2018.12.30,49,61,51.804901
2018.12.31,38,61,40.175228
2019.01.01,49,61,51.804901
2019.01.02,47,61,49.690411
2019.01.03,45,61,47.575928
2019.01.04,49,61,51.804901
2019.01.05,54,61,57.091114
2019.01.06,45,63,46.601566
2019.01.07,52,63,53.8507
2019.01.08,56,63,57.993061
2019.01.09,52,63,53.8507
2019.01.10,51,63,52.815109
2019.01.11,50,63,51.779518
2019.01.12,43,63,44.530384
2019.01.13,41,63,42.951488
2019.01.14,49,63,51.332268
2019.01.15,48,63,50.284672
2019.01.16,58,63,60.760647
2019.01.17,50,63,52.379868
2019.01.18,48,63,50.284672
2019.01.19,51,63,53.427464
2019.01.20,49,59,50.874874
2019.01.21,47,59,48.798351
2019.01.22,47,59,48.798351
2019.01.23,51,59,52.951405
2019.01.24,46,59,47.760086
2019.01.25,45,59,46.721825
2019.01.26,41,59,42.568775
2019.01.27,41,55,41.596718
2019.01.28,49,55,49.713154
2019.01.29,45,55,45.654938
2019.01.30,49,55,49.713154
2019.01.31,41,55,41.596718
2019.02.01,39,55,39.567612
2019.02.02,47,55,47.684044
2019.02.03,46,52,46.83456
2019.02.04,43,52,43.780132
2019.02.05,40,52,40.725704
2019.02.06,47,52,47.852703
2019.02.07,39,52,39.707561
2019.02.08,43,52,43.780132
2019.02.09,35,52,35.634991
2019.02.10,41,51,40.941082
2019.02.11,39,51,38.943954
2019.02.12,45,51,44.935333
2019.02.13,43,51,42.938206
2019.02.14,44,51,43.936771
2019.02.15,41,51,40.941082
2019.02.16,40,51,39.94252
2019.02.17,45,62,47.354404
2019.02.18,41,62,43.145126
2019.02.19,44,62,46.302086
2019.02.20,46,62,48.406723
2019.02.21,58,62,61.034569
2019.02.22,48,62,50.511364
2019.02.23,56,62,58.929928
2019.02.24,55,80,56.218494
2019.02.25,63,80,64.395729
2019.02.26,81,80,82.79451
2019.02.27,66,80,67.462196
2019.02.28,53,80,54.174187
2019.03.01,55,80,56.218494
2019.03.02,76,80,77.683739
2019.03.03,67,95,67
2019.03.04,65,95,65
2019.03.05,81,95,81
2019.03.06,75,95,75
2019.03.07,69,95,69
2019.03.08,88,95,88
2019.03.09,100,95,100
2019.03.10,73,84,72.086708
2019.03.11,67,84,66.161774
2019.03.12,69,84,68.136757
2019.03.13,79,84,78.011642
2019.03.14,81,84,79.986626
2019.03.15,62,84,61.224331
2019.03.16,57,84,56.286884
2019.03.17,56,76,56.913754
2019.03.18,59,76,59.9627
2019.03.19,57,76,57.930073
2019.03.20,58,76,58.946388
2019.03.21,61,76,61.995342
2019.03.22,77,76,78.256416
2019.03.23,61,76,61.995342
2019.03.24,60,70,61.623371
2019.03.25,60,70,61.623371
2019.03.26,51,70,52.379864
2019.03.27,58,70,59.56926
2019.03.28,61,70,62.650425
2019.03.29,53,70,54.433979
2019.03.30,48,70,49.298695
2019.03.31,39,58,40.051659
2019.04.01,40,58,41.078625
2019.04.02,43,58,44.159519
2019.04.03,44,58,45.186485
2019.04.04,41,58,42.105591
2019.04.05,53,58,54.429176
2019.04.06,64,58,65.7258
2019.04.07,59,63,61.808243
2019.04.08,54,63,56.570255
2019.04.09,43,63,45.046684
2019.04.10,48,63,50.284672
2019.04.11,47,63,49.237076
2019.04.12,47,63,49.237076
2019.04.13,47,63,49.237076
2019.04.14,49,64,50.965263
2019.04.15,50,64,52.005371
2019.04.16,50,64,52.005371
2019.04.17,57,64,59.286125
2019.04.18,52,64,54.085587
2019.04.19,47,64,48.885048
2019.04.20,48,64,49.925156
2019.04.21,53,63,56.009693
2019.04.22,58,63,61.293629
2019.04.23,54,63,57.066479
2019.04.24,50,63,52.839336
2019.04.25,41,63,43.328255
2019.04.26,41,63,43.328255
2019.04.27,45,63,47.555401
2019.04.28,47,63,48.533684
2019.04.29,53,63,54.729473
2019.04.30,43,63,44.403156
2019.05.01,51,63,52.664211
2019.05.02,45,63,46.468422
2019.05.03,52,63,53.696838
2019.05.04,59,63,60.925259
2019.05.05,51,65,52.68042
2019.05.06,51,65,52.68042
2019.05.07,57,65,58.878113
2019.05.08,51,65,52.68042
2019.05.09,48,65,49.58157
2019.05.10,55,65,56.812214
2019.05.11,48,65,49.58157
2019.05.12,49,56,51.782551
2019.05.13,48,56,50.725765
2019.05.14,40,56,42.271469
2019.05.15,41,56,43.328259
2019.05.16,42,56,44.385044
2019.05.17,43,56,45.44183
2019.05.18,41,56,43.328259
2019.05.19,46,60,47.406239
2019.05.20,42,60,43.283958
2019.05.21,47,60,48.43681
2019.05.22,43,60,44.314529
2019.05.23,59,60,60.803658
2019.05.24,47,60,48.43681
2019.05.25,50,60,51.528522
2019.05.26,48,53,49.641243
2019.05.27,47,53,48.607052
2019.05.28,39,53,40.333511
2019.05.29,44,53,45.504475
2019.05.30,40,53,41.367702
2019.05.31,37,53,38.265125
2019.06.01,39,53,40.333511
2019.06.02,34,41,35.229771
2019.06.03,35,41,36.265945
2019.06.04,36,41,37.302113
2019.06.05,31,41,32.121265
2019.06.06,33,41,34.193604
2019.06.07,30,41,31.085094
2019.06.08,28,41,29.012754
2019.06.09,33,40,32.781956
2019.06.10,33,40,32.781956
