date,raw_daily,raw_weekly,sleepingdrug1_harmonized_daily
2015.12.27,48,45,15.72
2015.12.28,53,45,17.3575
2015.12.29,53,45,17.3575
2015.12.30,42,45,13.755
2015.12.31,37,45,12.1175
2016.01.01,60,45,19.65
2016.01.02,67,45,21.942501
2016.01.03,67,63,21.899048
2016.01.04,87,63,28.436077
2016.01.05,80,63,26.148117
2016.01.06,83,63,27.128674
2016.01.07,49,63,16.015722
2016.01.08,85,63,27.782377
2016.01.09,54,63,17.649979
2016.01.10,56,61,17.971727
2016.01.11,70,61,22.464657
2016.01.12,56,61,17.971727
2016.01.13,100,61,32.092369
2016.01.14,83,61,26.636665
2016.01.15,78,61,25.032047
2016.01.16,55,61,17.650803
2016.01.17,45,47,15.057879
2016.01.18,55,47,18.404076
2016.01.19,57,47,19.073315
2016.01.20,54,47,18.069456
2016.01.21,74,47,24.761848
2016.01.22,30,47,10.038587
2016.01.23,53,47,17.734837
2016.01.24,59,53,19.506523
2016.01.25,40,53,13.224762
2016.01.26,77,53,25.457666
2016.01.27,65,53,21.490238
2016.01.28,56,53,18.514668
2016.01.29,57,53,18.845285
2016.01.30,66,53,21.820858
2016.01.31,71,55,23.848719
2016.02.01,60,55,20.153847
2016.02.02,55,55,18.47436
2016.02.03,51,55,17.13077
2016.02.04,56,55,18.810257
2016.02.05,59,55,19.817949
2016.02.06,77,55,25.864101
2016.02.07,66,57,21.334286
2016.02.08,75,57,24.243507
2016.02.09,61,57,19.718054
2016.02.10,64,57,20.687794
2016.02.11,59,57,19.07156
2016.02.12,70,57,22.627274
2016.02.13,67,57,21.657534
2016.02.14,65,59,21.242495
2016.02.15,64,59,20.915688
2016.02.16,60,59,19.608458
2016.02.17,99,59,32.353954
2016.02.18,32,59,10.457844
2016.02.19,66,59,21.569304
2016.02.20,87,59,28.432262
2016.02.21,80,68,26.296679
2016.02.22,98,68,32.213432
2016.02.23,74,68,24.324429
2016.02.24,76,68,24.981844
2016.02.25,64,68,21.037344
2016.02.26,80,68,26.296679
2016.02.27,70,68,23.009594
2016.02.28,71,53,22.928047
2016.02.29,46,53,14.854792
2016.03.01,51,53,16.469442
2016.03.02,76,53,24.542698
2016.03.03,54,53,17.438232
2016.03.04,67,53,21.636326
2016.03.05,65,53,20.990465
2016.03.06,51,54,16.62553
2016.03.07,74,54,24.12332
2016.03.08,61,54,19.885439
2016.03.09,58,54,18.907465
2016.03.10,63,54,20.53742
2016.03.11,47,54,15.321568
2016.03.12,80,54,26.079264
2016.03.13,59,57,19.154478
2016.03.14,61,57,19.803783
2016.03.15,53,57,17.206564
2016.03.16,83,57,26.946131
2016.03.17,69,57,22.400999
2016.03.18,56,57,18.180523
2016.03.19,79,57,25.647522
2016.03.20,50,49,16.672728
2016.03.21,59,49,19.673819
2016.03.22,51,49,17.006182
2016.03.23,66,49,22.007999
2016.03.24,51,49,17.006182
2016.03.25,52,49,17.339636
2016.03.26,56,49,18.673454
2016.03.27,49,49,16.554264
2016.03.28,54,49,18.243473
2016.03.29,58,49,19.594843
2016.03.30,64,49,21.621895
2016.03.31,66,49,22.297579
2016.04.01,39,49,13.175843
2016.04.02,50,49,16.892107
2016.04.03,68,56,22.07292
2016.04.04,53,56,17.203896
2016.04.05,66,56,21.423717
2016.04.06,68,56,22.07292
2016.04.07,61,56,19.800709
2016.04.08,78,56,25.318939
2016.04.09,58,56,18.826902
2016.04.10,83,54,26.810137
2016.04.11,66,54,21.318905
2016.04.12,63,54,20.349863
2016.04.13,53,54,17.119726
2016.04.14,59,54,19.057808
2016.04.15,54,54,17.442739
2016.04.16,60,54,19.380823
2016.04.17,55,53,17.885948
2016.04.18,50,53,16.259954
2016.04.19,74,53,24.064732
2016.04.20,64,53,20.81274
2016.04.21,58,53,18.861546
2016.04.22,73,53,23.739531
2016.04.23,53,53,17.23555
2016.04.24,68,60,22.504423
2016.04.25,71,60,23.497267
2016.04.26,70,60,23.166317
2016.04.27,75,60,24.821056
2016.04.28,61,60,20.18779
2016.04.29,72,60,23.828213
2016.04.30,58,60,19.194948
2016.05.01,64,52,21.370981
2016.05.02,55,52,18.365688
2016.05.03,48,52,16.028236
2016.05.04,45,52,15.026471
2016.05.05,73,52,24.376278
2016.05.06,57,52,19.033531
2016.05.07,66,52,22.038824
2016.05.08,58,59,19.406147
2016.05.09,59,59,19.740736
2016.05.10,78,59,26.097921
2016.05.11,78,59,26.097921
2016.05.12,67,59,22.417446
2016.05.13,58,59,19.406147
2016.05.14,64,59,21.413679
2016.05.15,57,59,18.907856
2016.05.16,67,59,22.225021
2016.05.17,74,59,24.547041
2016.05.18,62,59,20.566439
2016.05.19,70,59,23.220173
